"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"abcl_scr_sub_use_tobacco_r","Float","","Recommended","Tobacco (Raw Score)","","",""
"abcl_scr_sub_use_tobacco_t","Float","","Recommended","Tobacco (T-Score)","","",""
"abcl_scr_sub_use_alcohol_r","Float","","Recommended","Alcohol (Raw Score)","","",""
"abcl_scr_sub_use_alcohol_t","Float","","Recommended","Alcohol (T-Score)","","",""
"abcl_scr_sub_use_drugs_r","Float","","Recommended","Drugs (Raw Score)","","",""
"abcl_scr_sub_use_drugs_t","Float","","Recommended","Drugs (T-Score)","","",""
"abcl_scr_sub_use_r_mean","Float","","Recommended","Mean Substance Use (Raw Score)","","",""
"abcl_scr_sub_use_t_mean","Float","","Recommended","Mean Substance Use (T-Score)","","",""
"abcl_scr_sub_use_nm_mean","Float","","Recommended","Mean Substance Use (Number Missing)","","",""
"abcl_scr_sub_use_total_mean","Float","","Recommended","Mean Substance Use (Number Total)","","",""
"abcl_scr_adapt_friends_r","Float","","Recommended","Adaptive Scale: Friends (Raw Score)","","",""
"abcl_scr_adapt_friends_t","Float","","Recommended","Adaptive Scale: Friends (T-Score)","","",""
"abcl_scr_adapt_friends_nm","Float","","Recommended","Adaptive Scale: Friends (Number Missing)","","",""
"abcl_scr_adapt_friends_nt","Float","","Recommended","Adaptive Scale: Friends (Number Total)","","",""
"abcl_scr_prob_anxious_r","Float","","Recommended","Anxious/Depressed Syndrome Scale (Raw Score)","","",""
"abcl_scr_prob_anxious_t","Float","","Recommended","Anxious/Depressed Syndrome Scale (T-Score)","","",""
"abcl_scr_prob_anxious_nm","Float","","Recommended","Anxious/Depressed Syndrome Scale (Number Missing)","","",""
"abcl_scr_prob_anxious_nt","Float","","Recommended","Anxious/Depressed Syndrome Scale (Number Total)","","",""
"abcl_scr_prob_withdrawn_r","Float","","Recommended","Withdrawn/Depressed Syndrome Scale (Raw Score)","","",""
"abcl_scr_prob_withdrawn_t","Float","","Recommended","Withdrawn/Depressed Syndrome Scale (T-Score)","","",""
"abcl_scr_prob_withdrawn_nm","Float","","Recommended","Withdrawn/Depressed Syndrome Scale (Number Missing)","","",""
"abcl_scr_prob_withdrawn_nt","Float","","Recommended","Withdrawn/Depressed Syndrome Scale (Number Total)","","",""
"abcl_scr_prob_somatic_r","Float","","Recommended","Somatic Complaints Syndrome Scale (Raw Score)","","",""
"abcl_scr_prob_somatic_t","Float","","Recommended","Somatic Complaints Syndrome Scale (T-Score)","","",""
"abcl_scr_prob_somatic_nm","Float","","Recommended","Somatic Complaints Syndrome Scale (Number Missing)","","",""
"abcl_scr_prob_somatic_nt","Float","","Recommended","Somatic Complaints Syndrome Scale (Number Total)","","",""
"abcl_scr_prob_thought_r","Float","","Recommended","Thought Problems Syndrome Scale (Raw Score)","","",""
"abcl_scr_prob_thought_t","Float","","Recommended","Thought Problems Syndrome Scale (T-Score)","","",""
"abcl_scr_prob_thought_nm","Float","","Recommended","Thought Problems Syndrome Scale (Number Missing)","","",""
"abcl_scr_prob_thought_nt","Float","","Recommended","Thought Problems Syndrome Scale (Number Total)","","",""
"abcl_scr_prob_attention_r","Float","","Recommended","Attention Problems Syndrome Scale (Raw Score)","","",""
"abcl_scr_prob_attention_t","Float","","Recommended","Attention Problems Syndrome Scale (T-Score)","","",""
"abcl_scr_prob_attention_nm","Float","","Recommended","Attention Problems Syndrome Scale (Number Missing)","","",""
"abcl_scr_prob_attention_nt","Float","","Recommended","Attention Problems Syndrome Scale (Number Total)","","",""
"abcl_scr_prob_aggressive_r","Float","","Recommended","Aggressive Behavior Syndrome Scale (Raw Score)","","",""
"abcl_scr_prob_aggressive_t","Float","","Recommended","Aggressive Behavior Syndrome Scale (T-Score)","","",""
"abcl_scr_prob_aggressive_nm","Float","","Recommended","Aggressive Behavior Syndrome Scale (Number Missing)","","",""
"abcl_scr_prob_aggressive_nt","Float","","Recommended","Aggressive Behavior Syndrome Scale (Number Total)","","",""
"abcl_scr_prob_rulebreak_r","Float","","Recommended","Rule-Breaking Behavior Syndrome Scale (Raw Score)","","",""
"abcl_scr_prob_rulebreak_t","Float","","Recommended","Rule-Breaking Behavior Syndrome Scale (T-Score)","","",""
"abcl_scr_prob_rulebreak_nm","Float","","Recommended","Rule-Breaking Behavior Syndrome Scale (Number Missing)","","",""
"abcl_scr_prob_rulebreak_nt","Float","","Recommended","Rule-Breaking Behavior Syndrome Scale (Number Total)","","",""
"abcl_scr_prob_intrusive_r","Float","","Recommended","Intrusive Syndrome Scale (Raw Score)","","",""
"abcl_scr_prob_intrusive_t","Float","","Recommended","Intrusive Syndrome Scale (T-Score)","","",""
"abcl_scr_prob_intrusive_nm","Float","","Recommended","Intrusive Syndrome Scale (Number Missing)","","",""
"abcl_scr_prob_intrusive_nt","Float","","Recommended","Intrusive Syndrome Scale (Number Total)","","",""
"abcl_scr_prob_other_r","Float","","Recommended","Other Problems (Raw Score)","","",""
"abcl_scr_prob_other_nm","Float","","Recommended","Other Problems (Number Missing)","","",""
"abcl_scr_prob_other_nt","Float","","Recommended","Other Problems (Number Total)","","",""
"abcl_scr_prob_internal_r","Float","","Recommended","Internalizing (Raw Score)","","",""
"abcl_scr_prob_internal_t","Float","","Recommended","Internalizing (T-Score)","","",""
"abcl_scr_prob_internal_nm","Float","","Recommended","Internalizing (Number Missing)","","",""
"abcl_scr_prob_internal_nt","Float","","Recommended","Internalizing (Number Total)","","",""
"abcl_scr_prob_external_t","Float","","Recommended","Externalizing (T-Score)","","",""
"abcl_scr_prob_external_r","Float","","Recommended","Externalizing (Raw Score)","","",""
"abcl_scr_prob_external_nm","Float","","Recommended","Externalizing (Number Missing)","","",""
"abcl_scr_prob_external_nt","Float","","Recommended","Externalizing (Number Total)","","",""
"abcl_scr_prob_total_r","Float","","Recommended","Total Problems (Raw Score)","","",""
"abcl_scr_prob_total_t","Float","","Recommended","Total Problems (T-Score)","","",""
"abcl_scr_prob_total_nm","Float","","Recommended","Total Problems (Number Missing)","","",""
"abcl_scr_prob_total_nt","Float","","Recommended","Total Problems (Number Total)","","",""
"abcl_scr_prob_critical_r","Float","","Recommended","Critical Items (Raw Score)","","",""
"abcl_scr_prob_critical_t","Float","","Recommended","Critical Items (T-Score)","","",""
"abcl_scr_prob_critical_nm","Float","","Recommended","Critical Items (Number Missing)","","",""
"abcl_scr_prob_critical_nt","Float","","Recommended","Critical Items (Number Total)","","",""
