"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"abcl_select_language___1","Integer","","Recommended","Speak Spanish","0 ; 1","0 = No; 1 = Yes","abcl_select_language_p"
"abcl_about_p","Integer","","Recommended","Your current relationship with this adult:","0;2;3;4;5;6","0= Not Applicable/ No Aplica; 2= Spouse/ Cnyuge; 3=Former Spouse/Ex Cnyuge; 4 = Partner (never married) /Pareja (nunca casado); 5=  Former Partner (never married)/Ex Pareja (nunca casado); 6 = Other /Otro - por favor describa:=",""
"abcl_about_other_p","String","50","Recommended","Your current relationship with this adult: Other","","",""
"abcl_about_rel_p","Integer","","Recommended","Who this person is in relationship to the child","1::14","1=Biological Mothe ; 2=Biological Father ; 3=Adoptive Mother ; 4=Adoptive Father ; 5=Custodial Mother ; 6=Custodial Father ; 7= Paternal Grandfather ; 8=Maternal Grandfather  ; 9=Paternal Grandmother ; 10=Maternal Grandmother ; 11=Other Female Relative ; 12=Other Male Relative ; 13=Other Female ; 14=Other Male",""
"abcl_about_age_p","Integer","","Recommended","How old is this adult?","","",""
"abcl_about_gender_p","Integer","","Recommended","What is this adult's gender identity?","1;2","1= male/ masculino; 2= female/ feminino",""
"abcl_num_friends_p","Integer","","Recommended","About how many close friends does he/she have? (Do not include family members.)","0::3","0= None  ; 1= 1; 2= 2 or 3; 3= 4 or more",""
"abcl_contact_p","Integer","","Recommended","About how many times a month does he/she have contact with any close friends? (Include in-person contacts  phone  letters  e-mail.","0::3","0=Less than 1; 1=1 or 2 ; 2=3 or 4 ; 3=5 or more",""
"abcl_get_along_p","Integer","","Recommended","How well does he/she get along with close friends?","0::3","0= Not well ; 1= Average/ Promedio; 2= Above average/ Mas que el promedio; 3= Far above average /Bastante mas que el promedio",""
"abcl_visited_p","Integer","","Recommended","About how many times a month do any friends or family visit him/her?","0::3","0=Less than 1 ; 1=1 or 2 ; 2=3 or 4 ; 3=5 or more",""
"abcl_q01_p","Integer","","Recommended","Is too forgetful","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q02_p","Integer","","Recommended","Makes good use of his/her opportunities","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q03_p","Integer","","Recommended","Argues a lot","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q04_p","Integer","","Recommended","Works up to ability","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q05_p","Integer","","Recommended","Blames others for own problems","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q06_p","Integer","","Recommended","Uses drugs (other than alcohol or nicotine) for non medical purposes (describe):","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q07_p","Integer","","Recommended","Bragging  boasting","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q08_p","Integer","","Recommended","Can't concentrate  can't pay attention for long","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q09_p","Integer","","Recommended","Can't get mind off certain thoughts; obsessions (describe):","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q10_p","Integer","","Recommended","Can't sit still  restless  or hyperactive","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q11_p","Integer","","Recommended","Too dependent on others","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q12_p","Integer","","Recommended","Complains of loneliness","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q13_p","Integer","","Recommended","Confused or seems to be in a fog","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q14_p","Integer","","Recommended","Cries a lot","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q15_p","Integer","","Recommended","Is pretty honest","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q16_p","Integer","","Recommended","Cruelty  bullying  or meanness to others","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q17_p","Integer","","Recommended","Daydreams or gets lost in his/her thoughts","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
"abcl_q18_p","Integer","","Recommended","Deliberately harms self or attempts suicide","0::2","0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo",""
