"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"anthro_1_height_in","String","30","Recommended","","STANDING HEIGHT #1 (in inches)","","1 ft = 12 inches, 2 ft = 24 inches, 3 ft = 36 inches, 4 ft = 48 inches, 5 ft = 60 inches, 6 ft = 72 inches, 7 ft = 84 inches",""
"anthro2heightin","String","30","Recommended","","STANDING HEIGHT #2 (in inches)","","1 ft = 12 inches, 2 ft = 24 inches, 3 ft = 36 inches, 4 ft = 48 inches, 5 ft = 60 inches, 6 ft = 72 inches, 7 ft = 84 inches","anthro_2_height_in"
"anthro3heightin","String","30","Recommended"," (  (  ( anthro_1_height_in  -  anthro2heightin )  > 0.25)  ||  ( ( anthro_1_height_in  -  anthro2heightin )  < -0.25 ) )","STANDING HEIGHT #3 (in inches)","","1 ft = 12 inches, 2 ft = 24 inches, 3 ft = 36 inches, 4 ft = 48 inches, 5 ft = 60 inches, 6 ft = 72 inches, 7 ft = 84 inches","anthro_3_height_in"
"anthroheightcalc","String","30","Recommended","","Standing Height Average (inches): If three measurements were obtained, the two closest measurements will be averaged. Should the third measurement fall equally between the first two measurements, all three will be averaged.","","Calculation: if([anthro_3_height_in] <> '',  mean([anthro_1_height_in], [anthro_2_height_in], [anthro_3_height_in]), mean([anthro_1_height_in], [anthro_2_height_in]))","anthro_height_calc"
"anthroweightcast","Integer","","Recommended","","Participant Wearing a Cast or Medical Prosthesis?","0 ; 1","1 = Yes; 0 = No","anthro_weight_cast"
"anthro_weight_a_location","String","50","Recommended","anthroweightcast ==1","Location of Cast or Medical Prosthesis","","",""
"anthroweight1lb","String","30","Recommended","","Make sure shoes and unnecessary layers of clothes (jackets or hats) have been removed before taking weight measurement.) 1. Okay, make sure you empty your pockets for this next measurement. Please stand completely still in the center of the scale with your feet close together, your hands at your side, and your head looking straight ahead. Please stay as still as possible while I measure your weight. (OBTAIN & RECORD WEIGHT #1 (in lbs))","","WEIGHT #1 (measured to the nearest 0.1 pounds)","anthro_weight1_lb"
"anthroweight2lb","String","30","Recommended","","2.  Ok, you can relax and step away from the scale. 3. Now step back on the scale again for another measurement and remember to stand completely still in the center of the scale with your feet close together, your hands at your side, and your head looking straight ahead. Please stay as still as possible while I measure your weight. (OBTAIN & RECORD WEIGHT #2 (in lbs))","","WEIGHT #2 (measured to the nearest 0.1 pounds )","anthro_weight2_lb"
"anthroweight3lb","String","30","Recommended"," (  (  ( anthroweight1lb  -  anthroweight2lb )  > 0.1)  ||  ( ( anthroweight1lb  -  anthroweight2lb )  < -0.1 ) )","If measurements differ by > 0.1 pounds, the program will prompt you to take a third measurement. 4.  Ok, you can relax and step away from the scale. 5.  Please step back on the scale again for another measurement and remember to stand completely still in the center of the scale with your feet close together, your hands at your side, and your head looking straight ahead. Please stay as still as possible while I measure your weight. (OBTAIN & RECORD WEIGHT #3 (in lbs))","","WEIGHT #3 (imeasured to the nearest 0.1 pounds","anthro_weight3_lb"
"anthroweightcalc","String","30","Recommended","","Average Measured Weight (lbs):If three measurements were obtained, the two closest measurements will be averaged. Should the third measurement fall equally between the first two measurements, all three will be averaged.","","Calculation: if([anthro_weight3_lb] <> '',mean([anthro_weight3_lb],[anthro_weight2_lb],[anthro_weight1_lb]), mean([anthro_weight1_lb],[anthro_weight2_lb]))","anthro_weight_calc"
"anthro_waist_cm","String","30","Recommended","","Measured circumference (in inches):","","If necessary, Please adjust or unfold your pants to remove any additional thickness or bunching. 1. Now I'd like you to take your thumbs and find the two pointy bones on the front of your body where a belt might go. Once you find them, trace that bone all the way up to its highest point. (Demonstrate the desired position of the arms. RA can do this to their own body as they're talking, so the participant has more guidance.) 2. Once you find the top part of the bone, keep your fingers there while I place the tape measure across your stomach so it's in line with those points. (RA touches the hip area OVER t-shirt to ensure accuracy of location and places tape measure across stomach in line with participant's fingers.) 3. Please cross your arms, and place your hands on opposite shoulders. Think of giving yourself a hug. I'm now going to reach around you to grab the other end of the tape measure, so that I can get a full measurement of your waist. (Extend the measuring tape around the waist. Take the measurement to the nearest 0.1 cm.)",""
"anthro_timestamp","String","30","Recommended","","Current Time:","","",""
"anthro_weight3_hybrid_lb","String","30","Recommended","","If measurements differ by > 0.1 pounds, the program will prompt you to take a third measurement","","(  (  ([anthro_weight1_hybrid_lb] - [anthro_weight2_hybrid_lb])  > 0.1) and ([anthro_weight2_hybrid_lb] > '') or  ( ([anthro_weight1_hybrid_lb] - [anthro_weight2_hybrid_lb])  < -0.1 ) ) and ([sched_hybrid] = '1')",""
"anthro_weight1_hybrid_lb","String","30","Recommended","","Make sure shoes and unnecessary layers of clothes (jackets or hats) have been removed before taking weight measurement.)","","[sched_hybrid] = '1'",""
"anthro_waist_hybrid_cm","String","30","Recommended","","Please adjust or unfold your pants to remove any additional thickness or bunching. 1. Now I'd like you to take your thumb and find the pointy bone on the front of your left side body where a belt might go. Once you find it, trace that bone all the way up to its highest point. (Demonstrate the desired position of the arms. RA can do this to their own body as they're talking, so the participant has more guidance.)2. Once you find the top part of the bone, keep your left fingers there while, with your right hand, you place the tape measure across your stomach then wrap it around yourself so it's in line with those points.? 3. Ok, I am going to make sure it is in the right location and write down the number.</font><font color=''maroon''> (Take the measurement to the nearest 0.1 inch.)","","[sched_hybrid] = '1'",""
"anthro_weight2_hybrid_lb","String","30","Recommended","","2. Ok, you can relax and step away from the scale. 3. Now step back on the scale again for another measurement and remember to stand completely still in the center of the scale with your feet close together, and your head looking straight ahead. You are going to keep one hand at your side and with your other hand your are going to move the blocks. Stay as still as possible while you measure your weight.  Please move the big bottom block first to 50 then move the upper smaller block at the top until you are able to balance the arrow on the right. (Ask youth to adjust the blocks as necessary. OBTAIN & RECORD WEIGHT #2 (in lbs))","","[sched_hybrid] = '1'",""
