"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"asr_scr_perstr_r","Integer","","Recommended","Personal Strength ASR Adaptive Functioning Scale (raw score)","0 :: 22","",""
"asr_scr_perstr_t","Integer","","Recommended","Personal Strength ASR Adaptive Functioning Scale (t-score)","20 :: 60"," T-scores in relation to norms for each gender at ages 18-35 and 36-59, based on national probability samples.",""
"asr_scr_perstr_total","Integer","","Recommended","Personal Strength ASR Adaptive Functioning Scale (number of dependent raw scores)","0 :: 11","",""
"asr_scr_perstr_nm","Integer","","Recommended","Personal Strength ASR Adaptive Functioning Scale (number of dependent raw scores missing)","0 :: 11","",""
"asr_scr_anxdep_r","Integer","","Recommended","Anxious/Depressed ASR Syndrome Scale (raw score)","0 :: 36","",""
"asr_scr_anxdep_t","Integer","","Recommended","Anxious/Depressed ASR Syndrome Scale (t-score)","50 :: 100"," T-scores in relation to norms for each gender at ages 18-35 and 36-59, based on national probability samples.",""
"asr_scr_anxdep_total","Integer","","Recommended","Anxious/Depressed ASR Syndrome Scale (number of dependent raw scores)","0 :: 18","",""
"asr_scr_anxdep_nm","Integer","","Recommended","Anxious/Depressed ASR Syndrome Scale (number of dependent raw scores missing)","0 :: 18","",""
"asr_scr_withdrawn_r","Integer","","Recommended","Withdrawn ASR Syndrome Scale (raw score)","0 :: 18","",""
"asr_scr_withdrawn_t","Integer","","Recommended","Withdrawn ASR Syndrome Scale (t-score)","50 :: 100"," T-scores in relation to norms for each gender at ages 18-35 and 36-59, based on national probability samples.",""
"asr_scr_withdrawn_total","Integer","","Recommended","Withdrawn ASR Syndrome Scale (number of dependent raw scores)","0 :: 9","",""
"asr_scr_withdrawn_nm","Integer","","Recommended","Withdrawn ASR Syndrome Scale (number of dependent raw scores missing)","0 :: 9","",""
"asr_scr_somatic_r","Integer","","Recommended","Somatic Complaints ASR Syndrome Scale (raw score)","0 :: 24","",""
"asr_scr_somatic_t","Integer","","Recommended","Somatic Complaints ASR Syndrome Scale (t-score)","50 :: 100"," T-scores in relation to norms for each gender at ages 18-35 and 36-59, based on national probability samples.",""
"asr_scr_somatic_total","Integer","","Recommended","Somatic Complaints ASR Syndrome Scale (number of dependent raw scores)","0 :: 12","",""
"asr_scr_somatic_nm","Integer","","Recommended","Somatic Complaints ASR Syndrome Scale (number of dependent raw scores missing)","0 :: 12","",""
"asr_scr_thought_r","Integer","","Recommended","Thought Problems ASR Syndrome Scale (raw score)","0 :: 20","",""
"asr_scr_thought_t","Integer","","Recommended","Thought Problems ASR Syndrome Scale (t-score)","50 :: 100"," T-scores in relation to norms for each gender at ages 18-35 and 36-59, based on national probability samples.",""
"asr_scr_thought_total","Integer","","Recommended","Thought Problems ASR Syndrome Scale (number of dependent raw scores)","0 :: 10","",""
"asr_scr_thought_nm","Integer","","Recommended","Thought Problems ASR Syndrome Scale (number of dependent raw scores missing)","0 :: 10","",""
"asr_scr_attention_r","Integer","","Recommended","Attention Problems ASR Syndrome Scale (raw score)","0 :: 30","",""
"asr_scr_attention_t","Integer","","Recommended","Attention Problems ASR Syndrome Scale (t-score)","50 :: 100"," T-scores in relation to norms for each gender at ages 18-35 and 36-59, based on national probability samples.",""
"asr_scr_attention_total","Integer","","Recommended","Attention Problems ASR Syndrome Scale (number of dependent raw scores)","0 :: 15","",""
"asr_scr_attention_nm","Integer","","Recommended","Attention Problems ASR Syndrome Scale (number of dependent raw scores missing)","0 :: 15","",""
"asr_scr_aggressive_r","Integer","","Recommended","Aggressive Behavior ASR Syndrome Scale (raw score)","0 :: 30","",""
"asr_scr_aggressive_t","Integer","","Recommended","Aggressive Behavior ASR Syndrome Scale (t-score)","50 :: 100"," T-scores in relation to norms for each gender at ages 18-35 and 36-59, based on national probability samples.",""
"asr_scr_aggressive_total","Integer","","Recommended","Aggressive Behavior ASR Syndrome Scale (number of dependent raw scores)","0 :: 15","",""
"asr_scr_aggressive_nm","Integer","","Recommended","Aggressive Behavior ASR Syndrome Scale (number of dependent raw scores missing)","0 :: 15","",""
"asr_scr_rulebreak_r","Integer","","Recommended","Rule-Breaking Behavior ASR Syndrome Scale (raw score)","0 :: 28","",""
"asr_scr_rulebreak_t","Integer","","Recommended","Rule-Breaking Behavior ASR Syndrome Scale (t-score)","50 :: 100"," T-scores in relation to norms for each gender at ages 18-35 and 36-59, based on national probability samples.",""
"asr_scr_rulebreak_total","Integer","","Recommended","Rule-Breaking Behavior ASR Syndrome Scale (number of dependent raw scores)","0 :: 14","",""
"asr_scr_rulebreak_nm","Integer","","Recommended","Rule-Breaking Behavior ASR Syndrome Scale (number of dependent raw scores missing)","0 :: 14","",""
"asr_scr_intrusive_r","Integer","","Recommended","Intrusive ASR Syndrome Scale (raw score)","0 :: 12","",""
"asr_scr_intrusive_t","Integer","","Recommended","Intrusive ASR Syndrome Scale (t-score)","50 :: 80"," T-scores in relation to norms for each gender at ages 18-35 and 36-59, based on national probability samples.",""
"asr_scr_intrusive_total","Integer","","Recommended","Intrusive ASR Syndrome Scale (number of dependent raw scores)","0 :: 6","",""
"asr_scr_intrusive_nm","Integer","","Recommended","Intrusive ASR Syndrome Scale (number of dependent raw scores missing)","0 :: 6","",""
"asr_scr_internal_r","Integer","","Recommended","Interalizing Problems ASR Syndrome Scale (raw score)","0 :: 78","",""
"asr_scr_internal_t","Integer","","Recommended","Interalizing Problems ASR Syndrome Scale (t-score)","30 :: 100"," T-scores in relation to norms for each gender at ages 18-35 and 36-59, based on national probability samples.",""
"asr_scr_internal_total","Integer","","Recommended","Interalizing Problems ASR Syndrome Scale (number of dependent raw scores)","0 :: 39","",""
"asr_scr_internal_nm","Integer","","Recommended","Interalizing Problems ASR Syndrome Scale (number of dependent raw scores missing)","0 :: 39","",""
"asr_scr_external_r","Integer","","Recommended","Externalizing Problems ASR Syndrome Scale (raw score)","0 :: 70","",""
"asr_scr_external_t","Integer","","Recommended","Externalizing Problems ASR Syndrome Scale (t-score)","30 :: 100"," T-scores in relation to norms for each gender at ages 18-35 and 36-59, based on national probability samples.",""
"asr_scr_external_total","Integer","","Recommended","Externalizing Problems ASR Syndrome Scale (number of dependent raw scores)","0 :: 35","",""
"asr_scr_external_nm","Integer","","Recommended","Externalizing Problems ASR Syndrome Scale (number of dependent raw scores missing)","0 :: 35","",""
"asr_scr_totprob_r","Integer","","Recommended","Total Problems ASR Syndrome Scale (raw score)","0 :: 240","",""
