"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"visit","String","60","Recommended","Visit name","","","apqc_visitid"
"apqc_smri_topo_ndefect","Integer","","Recommended","Number of topology defects for left and right hemispheres before topology correction","0 :: 10000","",""
"apqc_dmri_fov_cutoff_dorsal","Float","","Recommended","Maximum dorsal cutoff score in dMRI FM images","0 :: 1000","",""
"apqc_dmri_fov_cutoff_ventral","Float","","Recommended","Maximum ventral cutoff score in dMRI FM images","0 :: 1000","",""
"apqc_dmri_bounwarp_flag","Integer","","Recommended","Scans available for dMRI B0 unwarp","0;1","0 = missing scans required for B0 unwarp; 1 = scans available for B0 unwarp",""
"apqc_dmri_pepolar_diff","Float","","Recommended","Phase-encode polarity difference score for dMRI fieldmap","-100 :: 100","Negative score indicates fieldmaps with reversed phase-encode polarity; Near-zero scores indicate fieldmaps with same phase-encode polarity",""
"apqc_dmri_b0dx_rms","Float","","Recommended","Root mean square of estimated B0 displacements in phase-encode direction for dMRI fieldmap","0 :: 1000","",""
"apqc_fmri_fov_cutoff_dorsal","Float","","Recommended","Maximum dorsal cutoff score in fMRI FM images","0 :: 1000","",""
"apqc_fmri_fov_cutoff_ventral","Float","","Recommended","Maximum ventral cutoff score in fMRI FM images","0 :: 1000","",""
"apqc_fmri_bounwarp_flag","Integer","","Recommended","Scans available for fMRI B0 unwarp","0;1","0 = missing scans required for B0 unwarp; 1 = scans available for B0 unwarp",""
"apqc_fmri_pepolar_diff","Float","","Recommended","Phase-encode polarity difference score for fMRI fieldmap","-100 :: 100","Negative score indicates fieldmaps with reversed phase-encode polarity; Near-zero scores indicate fieldmaps with same phase-encode polarity",""
"apqc_fmri_b0dx_rms","Float","","Recommended","Root mean square of estimated B0 displacements in phase-encode direction for fMRI fieldmap","0 :: 1000","",""
"apqc_fmri_intra_tsnr","Float","","Recommended","Intrascan temporal signal to noise ratio averaged across runs and averaged within brain mask","","",""
"apqc_fmri_inter_tsnr","Float","","Recommended","Interrscan temporal signal to noise ratio averaged within brain mask","0 :: 100000","",""
"apqc_smri_t2w_regt1_rigid","Float","","Recommended","Normalized score indicating displacement and rotation of T2w volume relative to T1w volume","0 :: 100","",""
"apqc_smri_t2w_regt1_warp","Float","","Recommended","Normalized score indicating stretching of T2w volume relative to T1w volume","0 :: 100","",""
"apqc_dmri_regt1_rigid","Float","","Recommended","Normalized score indicating displacement and rotation of dMRI fieldmap relative to T1w volume","0 :: 100","",""
"apqc_dmri_regt1_warp","Float","","Recommended","Normalized score indicating stretching of dMRI fieldmap relative to T1w volume","0 :: 100","",""
"apqc_fmri_regt1_rigid","Float","","Recommended","Normalized score indicating displacement and rotation of fMRI fieldmap relative to T1w volume","0 :: 100","",""
"apqc_fmri_regt1_warp","Float","","Recommended","Normalized score indicating stretching of fMRI fieldmap relative to T1w volume","0 :: 100","",""
