"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"bpm_1_y","Integer","","Recommended","I act too young for my age","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_1,bpmy_1"
"bpm_2_y","Integer","","Recommended","I argue a lot","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_2,bpmy_2"
"bpm_3_y","Integer","","Recommended","I fail to finish things I start","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_3,bpmy_3"
"bpm_4_y","Integer","","Recommended","I have trouble concentrating or paying attention","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_4,bpmy_4"
"bpm_5_y","Integer","","Recommended","I have trouble sitting still","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_5,bpmy_5"
"bpm_6_y","Integer","","Recommended","I destroy things belonging to others","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_6,bpmy_6"
"bpm_7_y","Integer","","Recommended","I disobey my parents","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_7,bpmy_7"
"bpm_8_y","Integer","","Recommended","I disobey at school. (Interviewer: Please select ""Not True"" when participant is not in school at the time of the assessment.)","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_8,bpmy_8"
"bpm_9_y","Integer","","Recommended","I feel worthless or inferior  Definition of inferior: less good","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_9,bpmy_9"
"bpm_10_y","Integer","","Recommended","I act without stopping to think","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_10,bpmy_10"
"bpm_11_y","Integer","","Recommended","I am too fearful or anxious","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_11,bpmy_11"
"bpm_12_y","Integer","","Recommended","I feel too guilty","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_12,bpmy_12"
"bpm_13_y","Integer","","Recommended","I am self-conscious or easily embarrassed","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_13,bpmy_13"
"bpm_14_y","Integer","","Recommended","I am inattentive or easily distracted","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_14,bpmy_14"
"bpm_15_y","Integer","","Recommended","I am stubborn","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_15,bpmy_15"
"bpm_16_y","Integer","","Recommended","I have a hot temper  Definition of ""hot temper"": bad temper, get mad easily","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_16,bpmy_16"
"bpm_17_y","Integer","","Recommended","I threaten to hurt people","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_17,bpmy_17"
"bpm_18_y","Integer","","Recommended","I am unhappy, sad, or depressed","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_18,bpmy_18"
"bpm_19_y","Integer","","Recommended","I worry a lot","0 ; 1 ; 2 ; 777 ; 999","0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know","bpm_19,bpmy_19"
"bpm_admin","Integer","","Recommended","Please indicate how instrument was administered:","1::3","1=RA-Administered ; 2=Youth Self-Administered ; 3=Combination [event-name] = 3_year_follow_up_y_arm_1''''",""
