"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"su_select_language___1","Integer","","Recommended","","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","su_crpf_avail_select_language_p"
"su_risk_p_1","Integer","","Recommended","","If your child wanted to get some beer, wine, or hard liquor (for example vodka, whiskey, or gin), how easy would it be for them to get some?","0 ; 1 ; 2 ; 3 ; 4","0 = Very hard Muy difícil; 1 = Sort of hard Algo difícil; 2 = Sort of easy Algo fácil; 3 = Very easy Muy fácil; 4 = Don't know No lo sé; Now I am going to ask you about how easy it is to get certain substances. /Ahora le voy a preguntar quÃ© tan fÃ¡cil es conseguir ciertas sustancias.","su_crpf_avail_1_p"
"su_risk_p_2","Integer","","Recommended","","If your child wanted to get some cigarettes, how easy would it be for them to get some?","0 ; 1 ; 2 ; 3 ; 4","0 = Very hard Muy difícil; 1 = Sort of hard Algo difícil; 2 = Sort of easy Algo fácil; 3 = Very easy Muy fácil; 4 = Don't know No lo sé; Now I am going to ask you about how easy it is to get certain substances. /Ahora le voy a preguntar quÃ© tan fÃ¡cil es conseguir ciertas sustancias.","su_crpf_avail_2_p"
"su_risk_p_3","Integer","","Recommended","","If your child wanted to get some electronic nicotine or vaping products, such as e-cigarettes, vape pens, or Juuls, how easy would it be for them to get some?","0 ; 1 ; 2 ; 3 ; 4","0 = Very hard Muy difícil; 1 = Sort of hard Algo difícil; 2 = Sort of easy Algo fácil; 3 = Very easy Muy fácil; 4 = Don't know No lo sé; Now I am going to ask you about how easy it is to get certain substances. /Ahora le voy a preguntar quÃ© tan fÃ¡cil es conseguir ciertas sustancias.","su_crpf_avail_3_p"
"su_risk_p_4","Integer","","Recommended","","If your child wanted to get some marijuana, how easy would it be for them to get some?","0 ; 1 ; 2 ; 3 ; 4","0 = Very hard Muy difícil; 1 = Sort of hard Algo difícil; 2 = Sort of easy Algo fácil; 3 = Very easy Muy fácil; 4 = Don't know No lo sé; Now I am going to ask you about how easy it is to get certain substances. /Ahora le voy a preguntar quÃ© tan fÃ¡cil es conseguir ciertas sustancias.","su_crpf_avail_4_p"
"su_risk_p_5","Integer","","Recommended","","If your child wanted to get a drug like cocaine, LSD, or amphetamines, how easy would it be for them to get some?","0 ; 1 ; 2 ; 3 ; 4","0 = Very hard Muy difícil; 1 = Sort of hard Algo difícil; 2 = Sort of easy Algo fácil; 3 = Very easy Muy fácil; 4 = Don't know No lo sé; Now I am going to ask you about how easy it is to get certain substances. /Ahora le voy a preguntar quÃ© tan fÃ¡cil es conseguir ciertas sustancias.","su_crpf_avail_5_p"
"su_risk_p_6","Integer","","Recommended","","Is ""medical marijuana"" (marijuana prescribed by a doctor) legal in your state?  ¿Es la ""marihuana medicinal"" (marihuana recetada por un médico) legal en su estado?","0 ; 1 ; 2","0 = Yes Sí; 1 = No No; 2 = I do not know No lo sé; Now I am going to ask you about how easy it is to get certain substances. /Ahora le voy a preguntar quÃ© tan fÃ¡cil es conseguir ciertas sustancias.","su_crpf_avail_6_p"
"su_risk_p_7","Integer","","Recommended"," su_risk_p_6   == 0","If your child wanted to get medical marijuana from someone with a prescription, how easy would it be?  Si su niño(a) quisiera conseguir marihuana de alguien con una receta para uso medicinal, ¿qué tan fácil le sería?","0 ; 1 ; 2 ; 3 ; 4","0 = Very hard Muy difícil; 1 = Sort of hard Algo difícil; 2 = Sort of easy Algo fácil; 3 = Very easy Muy fácil; 4 = Don't know No lo sé; Now I am going to ask you about how easy it is to get certain substances. /Ahora le voy a preguntar quÃ© tan fÃ¡cil es conseguir ciertas sustancias.","su_crpf_avail_7_p"
"su_risk_p_8","Integer","","Recommended"," su_risk_p_6   == 0","If your child wanted to get a prescription for medical marijuana, how easy would it be? Si su niño(a) quisiera conseguir una receta de marihuana medicinal, ¿qué tan fácil le sería?","0 ; 1 ; 2 ; 3 ; 4","0 = Very hard Muy difícil; 1 = Sort of hard Algo difícil; 2 = Sort of easy Algo fácil; 3 = Very easy Muy fácil; 4 = Don't know No lo sé; Now I am going to ask you about how easy it is to get certain substances. /Ahora le voy a preguntar quÃ© tan fÃ¡cil es conseguir ciertas sustancias.","su_crpf_avail_8_p"
"su_risk_p_9","Integer","","Recommended"," su_risk_p_6   == 0","How many of your friends or family members have a medical marijuana prescription? ¿Cuántos de sus amigos(as) o familiares tienen una receta para marihuana medicinal?","0 ; 8 ; 9 ; 10 ; 11 ; 999","0 = 0; 8 = 1-3; 9 = 4-6; 10 = 7-9; 11 = 10 or more people 10 o más personas; 999 = Don't know No lo sé; Now I am going to ask you about how easy it is to get certain substances. /Ahora le voy a preguntar quÃ© tan fÃ¡cil es conseguir ciertas sustancias.","su_crpf_avail_9_p"
"su_risk_p_10","Integer","","Recommended","event_name_number > 11","If your child wanted to get liquid, sprays, and gases that people sniff or inhale to get high (such as gasoline, glue, and nitrous oxide), how easy would it be for them to get some?","0;1;2;3;4;","0 = Very hard; 1 = Sort of hard; 2 = Sort of easy; 3 = Very easy; 4 = Don't know","su_crpf_avail_10_p"
"su_risk_p_11","Integer","","Recommended","event_name_number > 11","If your child wanted to get prescription anxiolytics or tranquillizers (such as Xanax and Ativan) that were not prescribed to them by a doctor</u>, how easy would it be for your child to get some?","0;1;2;3;4;","0 = Very hard; 1 = Sort of hard; 2 = Sort of easy; 3 = Very easy; 4 = Don't know","su_crpf_avail_11_p"
"su_risk_p_12","Integer","","Recommended","event_name_number > 11","If your child wanted to get prescription pain relievers (such as Vicodin, hydrocodone, or Oxycontin; not over the counter drugs like Tylenol) that were not prescribed to them by a doctor</u>, how easy would it be for your child to get some?","0;1;2;3;4","0 = Very hard; 1 = Sort of hard; 2 = Sort of easy; 3 = Very easy; 4 = Don't know","su_crpf_avail_12_p"
"su_risk_p_13","Integer","","Recommended","event_name_number > 11","If your child wanted to get prescription stimulants (such as Adderall or Ritalin) <u>that were not prescribed to them by a doctor, how easy would it be for your child to get some?","0;1;2;3;4;","0 = Very hard; 1 = Sort of hard; 2 = Sort of easy; 3 = Very easy; 4 = Don't know","su_crpf_avail_13_p"
