"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"dmri_dti_visitid","String","60","Recommended","Visit name","","","dmri_dti_visitid"
"dmri_dti_meanmotion","Float","","Recommended","Average framewise displacement in mm","","","dmri_dti_mean.motion"
"dmri_dti_meantrans","Float","","Recommended","Average framewise translation in mm","","","dmri_dti_mean.trans"
"dmri_dti_meanrot","Float","","Recommended","Average framewise rotation in radians","","","dmri_dti_mean.rot"
"dmri_dtifa_fiberat_fxrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right fornix","","","dmri_dti.fa_fiber.at_fx.rh"
"dmri_dtifa_fiberat_fxlh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left fornix","","","dmri_dti.fa_fiber.at_fx.lh"
"dmri_dtifa_fiberat_cgcrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right cingulate cingulum","","","dmri_dti.fa_fiber.at_cgc.rh"
"dmri_dtifa_fiberat_cgclh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left cingulate cingulum","","","dmri_dti.fa_fiber.at_cgc.lh"
"dmri_dtifa_fiberat_cghrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right parahippocampal cingulum","","","dmri_dti.fa_fiber.at_cgh.rh"
"dmri_dtifa_fiberat_cghlh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left parahippocampal cingulum","","","dmri_dti.fa_fiber.at_cgh.lh"
"dmri_dtifa_fiberat_cstrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right corticospinal/pyramidal","","","dmri_dti.fa_fiber.at_cst.rh"
"dmri_dtifa_fiberat_cstlh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left corticospinal/pyramidal","","","dmri_dti.fa_fiber.at_cst.lh"
"dmri_dtifa_fiberat_atrrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right anterior thalamic radiations","","","dmri_dti.fa_fiber.at_atr.rh"
"dmri_dtifa_fiberat_atrlh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left anterior thalamic radiations","","","dmri_dti.fa_fiber.at_atr.lh"
"dmri_dtifa_fiberat_uncrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right uncinate","","","dmri_dti.fa_fiber.at_unc.rh"
"dmri_dtifa_fiberat_unclh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left uncinate","","","dmri_dti.fa_fiber.at_unc.lh"
"dmri_dtifa_fiberat_ilfrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right inferior longitudinal fasiculus","","","dmri_dti.fa_fiber.at_ilf.rh"
"dmri_dtifa_fiberat_ilflh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left inferior longitudinal fasiculus","","","dmri_dti.fa_fiber.at_ilf.lh"
"dmri_dtifa_fiberat_iforh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right inferior-fronto-occipital fasiculus","","","dmri_dti.fa_fiber.at_ifo.rh"
"dmri_dtifa_fiberat_ifolh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left inferior-fronto-occipital fasiculus","","","dmri_dti.fa_fiber.at_ifo.lh"
"dmri_dtifa_fiberat_fmaj","Float","","Recommended","Average fractional anisotropy within DTI atlas tract foreceps major","","","dmri_dti.fa_fiber.at_fmaj"
"dmri_dtifa_fiberat_fmin","Float","","Recommended","Average fractional anisotropy within DTI atlas tract foreceps minor","","","dmri_dti.fa_fiber.at_fmin"
"dmri_dtifa_fiberat_cc","Float","","Recommended","Average fractional anisotropy within DTI atlas tract corpus callosum","","","dmri_dti.fa_fiber.at_cc"
"dmri_dtifa_fiberat_slfrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right superior longitudinal fasiculus","","","dmri_dti.fa_fiber.at_slf.rh"
"dmri_dtifa_fiberat_slflh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left superior longitudinal fasiculus","","","dmri_dti.fa_fiber.at_slf.lh"
"dmri_dtifa_fiberat_tslfrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right  temporal superior longitudinal fasiculus","","","dmri_dti.fa_fiber.at_tslf.rh"
"dmri_dtifa_fiberat_tslflh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left  temporal superior longitudinal fasiculus","","","dmri_dti.fa_fiber.at_tslf.lh"
"dmri_dtifa_fiberat_pslfrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right parietal superior longitudinal fasiculus","","","dmri_dti.fa_fiber.at_pslf.rh"
"dmri_dtifa_fiberat_pslflh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left parietal superior longitudinal fasiculus","","","dmri_dti.fa_fiber.at_pslf.lh"
"dmri_dtifa_fiberat_scsrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right superior corticostriate","","","dmri_dti.fa_fiber.at_scs.rh"
"dmri_dtifa_fiberat_scslh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left superior corticostriate","","","dmri_dti.fa_fiber.at_scs.lh"
"dmri_dtifa_fiberat_fscsrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right superior corticostriate-frontal cortex only","","","dmri_dti.fa_fiber.at_fscs.rh"
"dmri_dtifa_fiberat_fscslh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left superior corticostriate-frontal cortex only","","","dmri_dti.fa_fiber.at_fscs.lh"
"dmri_dtifa_fiberat_pscsrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right superior corticostriate-parietal cortex only","","","dmri_dti.fa_fiber.at_pscs.rh"
"dmri_dtifa_fiberat_pscslh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left superior corticostriate-parietal cortex only","","","dmri_dti.fa_fiber.at_pscs.lh"
"dmri_dtifa_fiberat_sifcrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right striatal inferior frontal cortex","","","dmri_dti.fa_fiber.at_sifc.rh"
"dmri_dtifa_fiberat_sifclh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left striatal inferior frontal cortex","","","dmri_dti.fa_fiber.at_sifc.lh"
"dmri_dtifa_fiberat_ifsfcrh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract right inferior frontal superior frontal cortex","","","dmri_dti.fa_fiber.at_ifsfc.rh"
"dmri_dtifa_fiberat_ifsfclh","Float","","Recommended","Average fractional anisotropy within DTI atlas tract left inferior frontal superior frontal cortex","","","dmri_dti.fa_fiber.at_ifsfc.lh"
