"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"fitpo_physical","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion, compared to other kids your age, how much physical activity do you do?","1 :: 5","1=Much less; 2=A little Less; 3=About the same; 4=A little more; 5=Much More","fitbit_post_physical"
"fitpo_physical_healthy","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion, do you think the amount of physical activity you do is healthy?","1 ; 0","1=Yes; 0=No","fitbit_post_physical_healthy"
"fitpo_sedentary","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion, compared to other kids your age, how many sedentary behaviors do you do?","1 :: 5","1=Much less; 2=A little less; 3=About the same; 4=A little more; 5=Much more","fitbit_post_sedentary"
"fitpo_sendentary_healthy","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion, do you think the amount of sedentary behaviors you do is healthy?","1 ; 0","1=Yes; 0=No","fitbit_post_sendentary_healthy"
"fitpo_sleep","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion, compared to other kids your age, how much sleep do you get?","1 :: 5","1=Much less; 2=A little less; 3=About the same; 4=A little more; 5=Much more","fitbit_post_sleep"
"fitpo_sleep_health","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion, do you think the amount of sleep you get is healthy?","1 ; 0","1=Yes; 0=No","fitbit_post_sleep_health"
"fitpo_enjoy","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","Did you enjoy using the Fitbit?","1 ; 0","1=Yes; 0=No","fitbit_post_enjoy"
"fitpo_use_app","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","Did you use the app and website to see your Fitbit activity?","1 ; 0","1=Yes; 0=No","fitbit_post_use_app"
"fitpo_potential_app","Integer","","Recommended","fitpo_use_app == 0 && fitbit_assent == 1 && fitbit_permission == 1","Would you have liked to use the app and website to see your Fitbit activity?","1 ; 0","1=Yes; 0=No","fitbit_post_potential_app"
"fitpo_see_activity","Integer","","Recommended","fitpo_use_app == 1 && fitbit_assent == 1 && fitbit_permission == 1","Did you like seeing your Fitbit activity?","1 ; 0","1=Yes; 0=No","fitbit_post_see_activity"
"fitpo_change","Integer","","Recommended","fitpo_use_app == 1 && fitbit_assent == 1 && fitbit_permission == 1","Did you change your level of physical activity or amount of sleep based on the recorded activity on the app or website?","1 ; 0","1=Yes; 0=No","fitbit_post_change"
"fitpo_wear_longer","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","If you were asked to wear the Fitbit for longer, would you do it?","1 ; 0","1=Yes; 0=No","fitbit_post_wear_longer"
