"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"fitpr_select_language","Integer","","Recommended","","¿Español?","0 ; 1","0 = No; 1 = Yes","fitbit_pre_select_language,fitpr_select_language___1"
"fitpr_physical_p","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion compared to other kids your child's age how much physical activity does your child engage in? / En su opiniÃ³n en comparaciÃ³n con otros niÃ±os(as) de la edad de su hijo/a Â¿cuÃ¡nta actividad fÃ­sica realiza su hijo/a?","1 :: 5","1= Much less / Mucho menos; 2 = A little less / Un poco menos; 3 =About the same / MÃ¡s o menos la misma; 4=  A little more / Un poco mÃ¡s; 5  =Much more / Mucho mÃ¡s","fitbit_pre_physical_p"
"fitpr_physical_health_p","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion do you think the amount of physical activity your child does is healthy? / En su opiniÃ³n Â¿cree usted que la cantidad de actividad fÃ­sica que su hijo/a hace es saludable?","1 ; 0","1=Yes /Si; 0 = No / No","fitbit_pre_physical_health_p"
"fitpr_sedentary_p","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion compared to other kids your child's age how many sedentary behaviors does your child engage in? / En su opiniÃ³n en comparaciÃ³n con otros niÃ±os de la edad de su hijo/a Â¿en cuÃ¡ntas conductas sedentarias participa su hijo/a?","1 :: 5","1= Much less / Mucho menos; 2 = A little less / Un poco menos; 3 =About the same / MÃ¡s o menos la misma; 4=  A little more / Un poco mÃ¡s; 5  =Much more / Mucho mÃ¡s","fitbit_pre_sedentary_p"
"fitpr_sedentary_health_p","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion do you think the amount of sedentary behaviors your child engages in is healthy? / En su opiniÃ³n Â¿cree usted que la cantidad de conductas sedentarias en las que su hijo/a participa es saludable?","1 ; 0","1=Yes /Si; 0 = No / No","fitbit_pre_sedentary_health_p"
"fitpr_worn_tracker_p","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","Has your child ever worn a Fitbit or other activity tracker? / Â¿Alguna vez su hijo/a ha usado un Fitbit u otro dispositivo de seguimiento de actividades?","1 ; 0","1=Yes /Si; 0 = No / No","fitbit_pre_worn_tracker_p"
"fitpr_consistent_p","Integer","","Recommended","fitpr_worn_tracker_p == 1  && 
fitbit_assent == 1 && fitbit_permission == 1","Did s/he wear it consistently? / Â¿Lo usÃ³ constantemente?","1 ; 0","1=Yes /Si; 0 = No / No","fitbit_pre_consistent_p"
"fitpr_remove_amt_p","Integer","","Recommended","fitpr_worn_tracker_p == 1  && ","How often did he/she have to remove it? / Â¿Con quÃ© frecuencia tenÃ­a que quitÃ¡rselo?","1 :: 4","1= Often / Con frecuencia; 2=  Sometimes / A veces; 3=  Infrequently / Con poca frecuencia; 4=  Never / Nunca","fitbit_pre_remove_amt_p"
"fitpr_sports_p","String","250","Recommended","fitpr_remove_p == 1  && fitbit_assent == 1 && fitbit_permission == 1","Please clarify which sports: / Aclare quÃ© deportes:","","","fitbit_pre_sports_p"
"fitpr_other_p","String","250","Recommended","fitpr_remove_p == 1  && ","If Other  please describe: / Si es otro descrÃ­balo:","","","fitbit_pre_other_p"
"fitpr_check_amt_p","Integer","","Recommended","fitpr_worn_tracker_p == 1  && 
fitbit_assent == 1 && fitbit_permission == 1","How often did s/he check the activity tracker throughout the day (while awake)? / Â¿Con quÃ© frecuencia revisaba el rastreador de actividades durante el dÃ­a (mientras estaba despierto/a)?","1 :: 4","1= Several time per day / Varias veces al dÃ­a; 2  =About once per day / Aproximadamente una vez al dÃ­a; 3 = Several time per week / Varias veces a la semana; 4=  About once per week / Aproximadamente una vez a la semana","fitbit_pre_check_amt_p"
"fitpr_change_p","Integer","","Recommended","fitpr_worn_tracker_p == 1  && 
fitbit_assent == 1 && fitbit_permission == 1","Has s/he changed her activity based on the Information from the tracker? / Â¿El/ella ha modificado su actividad segÃºn la InformaciÃ³n del dispositivo de seguimiento?","1 ; 0","1=Yes /Si; 0 = No / No","fitbit_pre_change_p"
"fitpr_remove_p___1","Integer","","Recommended","fitpr_worn_tracker_p == 1  && fitbit_assent == 1 && fitbit_permission == 1","When did s/he take it off (during what activities)? Shower/Bath ","1;0","1 =Yes; 0= No","fitbit_pre_remove___1_p"
"fitpr_remove_p___2","Integer","","Recommended","fitpr_worn_tracker_p == 1  && fitbit_assent == 1 && fitbit_permission == 1","When did s/he take it off (during what activities)? Sports ","1;0","1 =Yes; 0= No","fitbit_pre_remove___2_p"
"fitpr_remove_p___3","Integer","","Recommended","fitpr_worn_tracker_p == 1  && fitbit_assent == 1 && fitbit_permission == 1","When did s/he take it off (during what activities)? Swimming","1;0","1 =Yes; 0= No","fitbit_pre_remove___3_p"
"fitpr_remove_p___4","Integer","","Recommended","fitpr_worn_tracker_p == 1  && fitbit_assent == 1 && fitbit_permission == 1","When did s/he take it off (during what activities)? Sleep","1;0","1 =Yes; 0= No","fitbit_pre_remove___4_p"
"fitpr_remove_p___5","Integer","","Recommended","fitpr_worn_tracker_p == 1  && fitbit_assent == 1 && fitbit_permission == 1","When did s/he take it off (during what activities)? Others","1;0","1 =Yes; 0= No","fitbit_pre_remove___5_p"
