"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"fitpr_physical","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion, compared to other kids your age, how much physical activity do you do?","1 :: 5","1=Much less; 2=A little less; 3=About the same; 4=A little more; 5=Much more","fitbit_pre_physical"
"fitpr_physical_health","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion, do you think the amount of physical activity you do is healthy?","1 ; 0","1=Yes; 0=No","fitbit_pre_physical_health"
"fitpr_sedentary","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion, compared to other kids your age, how many sedentary behaviors do you do?","1 :: 5","1=Much less; 2=A little less; 3=About the same; 4=A little more; 5=Much more","fitbit_pre_sedentary"
"fitpr_sedentary_health","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion, do you think the amount of sedentary behaviors you do is healthy?","1 ; 0","1=Yes; 0=No","fitbit_pre_sedentary_health"
"fitpr_sleep","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion, compared to other kids your age, how much sleep do you get?","1 :: 5","1=Much less; 2=A little less; 3=About the same; 4=A little more; 5=Much more","fitbit_pre_sleep"
"fitpr_sleep_health","Integer","","Recommended","fitbit_assent == 1 && fitbit_permission == 1","In your opinion, do you think the amount of sleep you get is healthy?","1 ; 0","1=Yes; 0=No","fitbit_pre_sleep_health"
