"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"visit","String","60","Recommended","Visit name","","","imgincl_visitid"
"imgincl_t1w_include","Integer","","Recommended","T1w data recommended for inclusion","0;1","0=No; 1=Yes",""
"imgincl_t2w_include","Integer","","Recommended","T2w data recommended for inclusion","0;1","0=No; 1=Yes",""
"imgincl_dmri_include","Integer","","Recommended","dMRI (DTI/RSI) data recommended for inclusion","0;1","0=No; 1=Yes",""
"imgincl_rsfmri_include","Integer","","Recommended","rs-fMRI data recommended for inclusion","0;1","0=No; 1=Yes",""
"imgincl_mid_include","Integer","","Recommended","MID task-fMRI data recommended for inclusion","0;1","0=No; 1=Yes",""
"imgincl_nback_include","Integer","","Recommended","nBack task-fMRI data recommended for inclusion","0;1","0=No; 1=Yes",""
"imgincl_sst_include","Integer","","Recommended","SST task-fMRI data recommended for inclusion","0;1","0=No; 1=Yes",""
