"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"irmasubirmaparent_select_lg_1","Integer","","Recommended","","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","irma_substudy_irma_parent_select_language___1"
"irma_gatea_p","Integer","","Recommended","","Were you and your child living in Florida at the time that Hurricane Irma hit the United States (September 2017)? ¿Estaban usted y su hijo(a)  viviendo en Florida  en el momento en que el huracán Irma llegA a los Estados Unidos (Septiembre de 2017)?","1 ; 0","1 = Yes  Si; 0 = No No",""
"irma_gateb_p","Integer","","Recommended","","Were you and your child living in South Carolina at the time that Hurricane Irma hit the United States (September 2017)?  ¿Estaban usted y su hijo(a)  viviendo en la Carolina del Sur  en el momento en que el huracán Irma llegA a los Estados Unidos (Septiembre de 2017)?","1 ; 0","1 = Yes  Si; 0 = No No",""
"irmasubirmap2_select_lg_1","Integer","","Recommended","","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","irma_substudy_irma_p2_select_language___1"
"irma_hurtep_b1a","Integer","","Recommended"," irma_gatea_p   == 1 ||  irma_gateb_p   == 1","Did your child leave (evacuate) your home for the hurricane? ¿Su hijo(a) dejo (evacuo) su hogar por el huracán?","1 ; 0","1 = Yes  Si; 0 = No No",""
"irma_hurtep_b1b","Integer","","Recommended"," irma_gatea_p   == 1 ||  irma_gateb_p   == 1","Did you leave (evacuate) your home for the hurricane? ¿Usted dejo (evacuo) su hogar por el huracán?","1 ; 0","1 = Yes  Si; 0 = No No",""
"irma_hurtep_b1c","Integer","","Recommended"," irma_hurtep_b1a   == 1 &&  irma_hurtep_b1b   == 1","Were you with your child during the evacuation? Estabas con tu hijo(a) durante la evacuaciAn?","1 ; 0","1 = Yes  Si; 0 = No No",""
"irma_hurtep_b2","Integer","","Recommended"," irma_hurtep_b1a   == 1","When your child evacuated your home, where did he or she go?   ¿Cuando tu hijo(a) evacuA de su casa, a dAnde fue?","1 ; 2 ; 3 ; 4","1 = To a friend or relative's home nearby (less than an hour away)  Para la casa de un amigo o familiar cercano (a menos de una hora de distancia); 2 = To a shelter nearby (less than an hour away)  A un refugio cercano (a menos de una hora de distancia); 3 = To another place in the state A otro lugar en el estado; 4 = Left the state Salió del estado",""
"irma_hurtep_b3","Integer","","Recommended"," irma_hurtep_b1a   == 1","When your child evacuated, how long was he or she away from your home? Cuando tu hijo(a) evacuA, ¿cuánto tiempo estuvo lejos de su casa?","1 ; 2 ; 3 ; 4","1 = Less than a day  Menos de un día; 2 = 1-2 days  1-2 días; 3 = 3-6 days  3-6 día; 4 = A week or more Una semana o más",""
"irma_hurtep_b4","Integer","","Recommended"," irma_hurtep_b1a   == 1","When your child evacuated, did he or she stay in more than one place during the evacuation? Cuando tu hijo evacuA, ¿se quedA en más de un lugar durante la evacuaciAn?","0 ; 1 ; 2","0 = No  No; 1 = Yes; 2 = Yes",""
"irma_hurtep_b5","Integer","","Recommended"," irma_hurtep_b1a   == 1","How many hours in total did your child spend traveling before the hurricane? ¿Cuántas horas en total paso tu hijo viajando antes del huracán?","1 ; 2 ; 3 ; 4","1 = Under 2 hours  Menos de 2 horas; 2 = 2-5 hours  2-5 horas; 3 = 5-10 hours  5-10 horas; 4 = More than 10 hours total Más de 10 horas en total",""
"irma_hurtep_b6","Integer","","Recommended"," irma_hurtep_b1a   == 1","How many hours in total did your child spend traveling to get back home after the hurricane? ¿Cuántas horas en total paso tu hijo(a) viajando para regresar a su casa después del huracán?","1 ; 2 ; 3 ; 4","1 = Under 2 hours  Menos de 2 horas; 2 = 2-5 hours  2-5 horas; 3 = 5-10 hours  5-10 horas; 4 = More than 10 hours total Más de 10 horas en total",""
"irma_hurtep_b7___1","Integer","","Recommended","","How did you get news of information about Hurricane Irma? Check all that apply. ¿CAmo obtuvo noticias de informaciAn sobre el huracán? Marque todo lo que corresponda. (1, TV (e.g.,  weather channel,  news reports)  TV (e.g.,  Canal de clima,  reportes de noticia))","0 ; 1","0 = No; 1 = Yes",""
"irma_hurtep_b7___2","Integer","","Recommended","","How did you get news of information about Hurricane Irma? Check all that apply. ¿CAmo obtuvo noticias de informaciAn sobre el huracán? Marque todo lo que corresponda. (2, Internet (e.g.,  online news)  Internet (e.g.,  noticias del internet))","0 ; 1","0 = No; 1 = Yes",""
"irma_hurtep_b7___3","Integer","","Recommended","","How did you get news of information about Hurricane Irma? Check all that apply. ¿CAmo obtuvo noticias de informaciAn sobre el huracán? Marque todo lo que corresponda. (3, Social media (e.g.,  Facebook,  Twitter,  Instagram)  Medios de ComunicaciAn social (e.g.,  Facebook,  Twitter,  Instagram))","0 ; 1","0 = No; 1 = Yes",""
"irma_hurtep_b7___4","Integer","","Recommended","","How did you get news of information about Hurricane Irma? Check all that apply. ¿CAmo obtuvo noticias de informaciAn sobre el huracán? Marque todo lo que corresponda. (4, From family and friends  De familia y amigos)","0 ; 1","0 = No; 1 = Yes",""
"irma_hurtep_b7___5","Integer","","Recommended","","How did you get news of information about Hurricane Irma? Check all that apply. ¿CAmo obtuvo noticias de informaciAn sobre el huracán? Marque todo lo que corresponda. (5, Other  Otro)","0 ; 1","0 = No; 1 = Yes",""
"irma_hurtep_b7___6","Integer","","Recommended","","How did you get news of information about Hurricane Irma? Check all that apply. ¿CAmo obtuvo noticias de informaciAn sobre el huracán? Marque todo lo que corresponda. (6, I did not get news or information about Hurricane Irma No recibí noticias o informaciAn sobre el huracán Irma)","0 ; 1","0 = No; 1 = Yes",""
"irma_hurtep_b8","Integer","","Recommended","","How often did you check reports about the hurricane in the days before the storm? ¿Con qué frecuencia revisA los reportes sobre el huracán en los días antes de la tormenta?","0 ; 1 ; 2 ; 3","0 = Not at all  De ningun modo; 1 = A little  Un poco; 2 = A lot  Mucho; 3 = A whole lot Muchisimo",""
"irma_hurtep_b9","Integer","","Recommended","","Overall, how scared or upset were you before the hurricane? En general, ¿qué tan asustado o enojado estaba usted antes del huracán?","0 ; 1 ; 2 ; 3","0 = Not at all  De ningun modo; 1 = A little  Un poco; 2 = A lot  Mucho; 3 = A whole lot Muchisimo",""
"irma_hurtep_b10","Integer","","Recommended","","Overall, how scared or upset do you think your child was before the hurricane? En general, ¿qué tan asustado o molesto estaba su hijo(a) antes del huracán?","0 ; 1 ; 2 ; 3","0 = Not at all  De ningun modo; 1 = A little  Un poco; 2 = A lot  Mucho; 3 = A whole lot Muchisimo",""
