"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","","The event name for which the data was collected","","",""
"tbi_l_select_language___1","Integer","","Recommended","","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","brain_injury_select_language_p_l,brain_injury_select_language_p_l___1,tbi_p_l_sep_lect_p_language"
"tbi_1_l","Integer","","Recommended","","Since we last saw you on [asnt_timestamp_c], has your child been hospitalized or treated in an emergency room following an injury to their head or neck?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_1_l,tbi_1_p_l"
"tbi_1b_l","Integer","","Recommended"," tbi_1_l   == '1'","Was your child knocked out or did they lose consciousness (LOC)? If yes, how long?","0 ; 1 ; 2 ; 3","0 = No LOC Sin pérdida de conocimiento; 1 = < 30min < 30min; 2 = 30min-24hrs 30min-24hrs; 3 = >24 hrs >24 hrs","brain_injury_1b_l,tbi_1b_p_l"
"tbi_1c_l","Integer","","Recommended"," tbi_1_l   == '1'","Was your child dazed or did they have a gap in their memory from the injury?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_1c_l,tbi_1c_p_l"
"tbi_1d_l","Float","","Recommended"," tbi_1_l   == '1'","How old was your child?","0 :: 20","","brain_injury_1d_l,tbi_1d_p_l"
"tbi_2_l","Integer","","Recommended","","Since we last saw you on [asnt_timestamp_c], has your child injured their head or neck in a car accident or from crashing some other moving vehicle like a bicycle, motorcyle, or ATV?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_2_l,tbi_2_p_l"
"tbi_2b_l","Integer","","Recommended"," tbi_2_l   == '1'","Was your child knocked out or did they lose consciousness (LOC)? If yes, how long?","0 ; 1 ; 2 ; 3","0 = No LOC Sin pérdida de conocimiento; 1 = < 30min < 30min; 2 = 30min-24hrs 30min-24hrs; 3 = >24 hrs >24 hrs","brain_injury_2b_l,tbi_2b_p_l"
"tbi_2c_l","Integer","","Recommended"," tbi_2_l   == '1'","Was your child dazed or did they have a gap in their memory from the injury?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_2c_l,tbi_2c_p_l"
"tbi_2d_l","Float","","Recommended"," tbi_2_l   == '1'","How old was your child?","0 :: 20","","brain_injury_2d_l,tbi_2d_p_l"
"tbi_3_l","Integer","","Recommended","","Since we last saw you on [asnt_timestamp_c], has your child injured their head or neck in a fall or from being hit by something? (For example, falling from a bike or horse, rollerblading, falling on ice, being hit by a rock). In the past year, has your child injured their head or neck playing sports or on the playground?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_3_l,tbi_3_p_l"
"tbi_3b_l","Integer","","Recommended"," tbi_3_l   == '1'","Was your child knocked out or did they lose consciousness (LOC)? If yes, how long?","0 ; 1 ; 2 ; 3","0 = No LOC Sin pérdida de conocimiento; 1 = < 30min < 30min; 2 = 30min-24hrs 30min-24hrs; 3 = >24 hrs >24 hrs","brain_injury_3b_l,tbi_3b_p_l"
"tbi_3c_l","Integer","","Recommended"," tbi_3_l   == '1'","Was your child dazed or did they have a gap in their memory from the injury?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_3c_l,tbi_3c_p_l"
"tbi_3d_l","Float","","Recommended"," tbi_3_l   == '1'","How old was your child?","0 :: 20","","brain_injury_3d_l,tbi_3d_p_l"
"tbi_4_l","Integer","","Recommended","","Since we last saw you on [asnt_timestamp_c], has your child injured their head or neck in a fight, from being hit by something, or from being shaken violently? In the past year, has your child been shot in the head?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_4_l,tbi_4_p_l"
"tbi_4b_l","Integer","","Recommended"," tbi_4_l   == '1'","Was your child knocked out or did they lose consciousness (LOC)? If yes, how long?","0 ; 1 ; 2 ; 3","0 = No LOC Sin pérdida de conocimiento; 1 = < 30min < 30min; 2 = 30min-24hrs 30min-24hrs; 3 = >24 hrs >24 hrs","brain_injury_4b_l,tbi_4b_p_l"
"tbi_4c_l","Integer","","Recommended"," tbi_4_l   == '1'","Was your child dazed or did they have a gap in their memory from the injury?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_4c_l,tbi_4c_p_l"
"tbi_4d_l","Float","","Recommended"," tbi_4_l   == '1'","How old was your child?","0 :: 20","","brain_injury_4d_l,tbi_4d_p_l"
"tbi_5_l","Integer","","Recommended","","Since we last saw you on [asnt_timestamp_c], has your child been nearby when an explosion or blast has occurred? Desde la última vez que nos vimos en [asnt_timestamp_c], ¿ha estado su niño/a cerca de una explosión o un estallido?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_5_l,tbi_5_p_l"
"tbi_5b_l","Integer","","Recommended"," tbi_5_l   == '1'","Was your child knocked out or did they lose consciousness (LOC)? If yes, how long?","0 ; 1 ; 2 ; 3","0 = No LOC Sin pérdida de conocimiento; 1 = < 30min < 30min; 2 = 30min-24hrs 30min-24hrs; 3 = >24 hrs >24 hrs","brain_injury_5b_l,tbi_5b_p_l"
"tbi_5c_l","Integer","","Recommended"," tbi_5_l   == '1'","Was your child dazed or did they have a gap in their memory from the injury?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_5c_l,tbi_5c_p_l"
"tbi_5d_l","Float","","Recommended"," tbi_5_l   == '1'","How old was your child?","0 :: 20","","brain_injury_5d_l,tbi_5d_p_l"
"tbi_6o_l","Integer","","Recommended","","Do you want to report any more injuries with loss of consciousness since we last saw you on [asnt_timestamp_c]? Desde la última vez que nos vimos en [baseline_year_1_arm_1][asnt_timestamp] ¿quisiera reportar otras lesiones que hayan resultado en la pérdida de conocimiento ?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_6o_l,tbi_6o_p_l"
"tbi_6p_l","Float","","Recommended"," tbi_6o_l   == '1'","If yes, how many more? ¿Si la respuesta fue sí, cuantas más?","","","brain_injury_6p_l,tbi_6p_p_l"
"tbi_6q_l","Float","","Recommended"," tbi_6o_l   == '1'","How many minutes was the longest knock out? ¿Cuántos minutos duró el tiempo más largo que estuvo inconsciente?","","","brain_injury_6q_l,tbi_6q_p_l"
"tbi_6r_l","Float","","Recommended"," tbi_6o_l   == '1'","How many were more than or equal to 30 min? ¿Cuántas veces ha estado inconsciente por ≥ 30 min o más?","","","brain_injury_6r_l,tbi_6r_p_l"
"tbi_6s_l","Float","","Recommended"," tbi_6o_l   == '1'","What was their youngest age? ¿A qué edad fue la primera vez que estuvo inconsciente?","0 :: 20","","brain_injury_6s_l,tbi_6s_p_l"
