"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"meim_select_language___1","Integer","","Recommended","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","meim_select_language_p"
"meim_1_p","Integer","","Recommended","I have spent time trying to find out more about my ethnic group, such as its history, traditions, and customs. He pasado tiempo intentando saber más sobre mi grupo étnico, como su historia, tradiciones y costumbres.","1 ; 2 ; 3 ; 4 ; 5","1 = Strongly Agree Estoy totalmente de acuerdo; 2 = Agree Estoy  de acuerdo; 3 = Neutral Ni uno ni lo otro; 4 = Disagree No estoy de acuerdo; 5 = Strongly Disagree No estoy totalmente de acuerdo; In this country, people come from many different countries and cultures, and there are many different words to describe the different backgrounds or ethnic groups that people come from. Some examples of the names of ethnic groups are Hispanic or Latino, Black or African American, Asian American, Chinese, Filipino, American Indian, Mexican American, Caucasian or White, Italian American, and many others. These questions are about your ethnicity or your ethnic group and how you feel about it or react to it. En Estados Unidos, la gente viene de muchos paÃ­ses y culturas diferentes y existen muchas palabras diferentes para describir los distintos orÃ­genes o grupos Ã©tnicos de los que vienen las personas. Algunos ejemplos de nombres de grupos Ã©tnicos son hispano o latino, negro o africano americano, asiÃ¡tico americano, chino, filipino, indio americano, mexicano americano, cÃ¡sico o blanco, italiano americano, y muchos otros. Estas preguntas se relacionan con su etnia o su grupo Ã©tnico y con la forma en que usted se siente o reacciona a ello.",""
"meim_2_p","Integer","","Recommended","I have a strong sense of belonging to my own ethnic group. Tengo un fuerte sentido de pertenecer con mi propio grupo étnico.","1 ; 2 ; 3 ; 4 ; 5","1 = Strongly Agree Estoy totalmente de acuerdo; 2 = Agree Estoy  de acuerdo; 3 = Neutral Ni uno ni lo otro; 4 = Disagree No estoy de acuerdo; 5 = Strongly Disagree No estoy totalmente de acuerdo; In this country, people come from many different countries and cultures, and there are many different words to describe the different backgrounds or ethnic groups that people come from. Some examples of the names of ethnic groups are Hispanic or Latino, Black or African American, Asian American, Chinese, Filipino, American Indian, Mexican American, Caucasian or White, Italian American, and many others. These questions are about your ethnicity or your ethnic group and how you feel about it or react to it. En Estados Unidos, la gente viene de muchos paÃ­ses y culturas diferentes y existen muchas palabras diferentes para describir los distintos orÃ­genes o grupos Ã©tnicos de los que vienen las personas. Algunos ejemplos de nombres de grupos Ã©tnicos son hispano o latino, negro o africano americano, asiÃ¡tico americano, chino, filipino, indio americano, mexicano americano, cÃ¡sico o blanco, italiano americano, y muchos otros. Estas preguntas se relacionan con su etnia o su grupo Ã©tnico y con la forma en que usted se siente o reacciona a ello.",""
"meim_3_p","Integer","","Recommended","I understand pretty well what my ethnic group membership means to me. Entiendo bastante bien lo que significa para mí pertenecer a mi grupo étnico.","1 ; 2 ; 3 ; 4 ; 5","1 = Strongly Agree Estoy totalmente de acuerdo; 2 = Agree Estoy  de acuerdo; 3 = Neutral Ni uno ni lo otro; 4 = Disagree No estoy de acuerdo; 5 = Strongly Disagree No estoy totalmente de acuerdo; In this country, people come from many different countries and cultures, and there are many different words to describe the different backgrounds or ethnic groups that people come from. Some examples of the names of ethnic groups are Hispanic or Latino, Black or African American, Asian American, Chinese, Filipino, American Indian, Mexican American, Caucasian or White, Italian American, and many others. These questions are about your ethnicity or your ethnic group and how you feel about it or react to it. En Estados Unidos, la gente viene de muchos paÃ­ses y culturas diferentes y existen muchas palabras diferentes para describir los distintos orÃ­genes o grupos Ã©tnicos de los que vienen las personas. Algunos ejemplos de nombres de grupos Ã©tnicos son hispano o latino, negro o africano americano, asiÃ¡tico americano, chino, filipino, indio americano, mexicano americano, cÃ¡sico o blanco, italiano americano, y muchos otros. Estas preguntas se relacionan con su etnia o su grupo Ã©tnico y con la forma en que usted se siente o reacciona a ello.",""
"meim_4_p","Integer","","Recommended","I have often done things that will help me understand my ethnic background better. Muchas veces he hecho cosas que me ayudarán a comprender mejor a mi grupo étnico.","1 ; 2 ; 3 ; 4 ; 5","1 = Strongly Agree Estoy totalmente de acuerdo; 2 = Agree Estoy  de acuerdo; 3 = Neutral Ni uno ni lo otro; 4 = Disagree No estoy de acuerdo; 5 = Strongly Disagree No estoy totalmente de acuerdo; In this country, people come from many different countries and cultures, and there are many different words to describe the different backgrounds or ethnic groups that people come from. Some examples of the names of ethnic groups are Hispanic or Latino, Black or African American, Asian American, Chinese, Filipino, American Indian, Mexican American, Caucasian or White, Italian American, and many others. These questions are about your ethnicity or your ethnic group and how you feel about it or react to it. En Estados Unidos, la gente viene de muchos paÃ­ses y culturas diferentes y existen muchas palabras diferentes para describir los distintos orÃ­genes o grupos Ã©tnicos de los que vienen las personas. Algunos ejemplos de nombres de grupos Ã©tnicos son hispano o latino, negro o africano americano, asiÃ¡tico americano, chino, filipino, indio americano, mexicano americano, cÃ¡sico o blanco, italiano americano, y muchos otros. Estas preguntas se relacionan con su etnia o su grupo Ã©tnico y con la forma en que usted se siente o reacciona a ello.",""
"meim_5_p","Integer","","Recommended","I have often talked to other people in order to learn more about my ethnic group. Con frecuencia he hablado con otras personas para aprender más sobre mi grupo étnico.","1 ; 2 ; 3 ; 4 ; 5","1 = Strongly Agree Estoy totalmente de acuerdo; 2 = Agree Estoy  de acuerdo; 3 = Neutral Ni uno ni lo otro; 4 = Disagree No estoy de acuerdo; 5 = Strongly Disagree No estoy totalmente de acuerdo; In this country, people come from many different countries and cultures, and there are many different words to describe the different backgrounds or ethnic groups that people come from. Some examples of the names of ethnic groups are Hispanic or Latino, Black or African American, Asian American, Chinese, Filipino, American Indian, Mexican American, Caucasian or White, Italian American, and many others. These questions are about your ethnicity or your ethnic group and how you feel about it or react to it. En Estados Unidos, la gente viene de muchos paÃ­ses y culturas diferentes y existen muchas palabras diferentes para describir los distintos orÃ­genes o grupos Ã©tnicos de los que vienen las personas. Algunos ejemplos de nombres de grupos Ã©tnicos son hispano o latino, negro o africano americano, asiÃ¡tico americano, chino, filipino, indio americano, mexicano americano, cÃ¡sico o blanco, italiano americano, y muchos otros. Estas preguntas se relacionan con su etnia o su grupo Ã©tnico y con la forma en que usted se siente o reacciona a ello.",""
