"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"tfmri_mid_beh_visitid","String","60","Recommended","Visit name","","","tfmri_mid_beh_visitid"
"tfmri_mid_beh_switchflag","Integer","","Recommended","Whether the button box responses were switched","0;1","1= switch;0= no switch","tfmri_mid_beh_switch.flag"
"tfmri_mid_beh_performflag","Integer","","Recommended","Whether the participant had an acceptable performance in the task; must have at least 20 responses per run","0;1","1= acceptable; 0= not acceptable","tfmri_mid_beh_perform.flag"
"tfmri_mid_beh_nruns","Integer","","Recommended","Number of valid runs in the file","","","tfmri_mid_beh_nruns"
"tfmri_mid_all_beh_t_nt","Integer","","Recommended","Total number of trials","","","tfmri_mid_all_beh_total_numtrials"
"tfmri_mid_r1_beh_t_nt","Integer","","Recommended","Total number of trials for run 1","","","tfmri_mid_run1_beh_total_numtrials"
"tfmri_mid_r2_beh_t_nt","Integer","","Recommended","Total number of trials for run 2","","","tfmri_mid_run2_beh_total_numtrials"
"tfmri_mid_all_beh_srw_nt","Integer","","Recommended","Total number of small reward trials for run 1 and run 2","","","tfmri_mid_all_beh_small.reward_numtrials,tfmri_mid_all_beh_smallreward_numtrials"
"tfmri_mid_all_beh_srw_mrt","Float","","Recommended","Average reaction time for small reward trials for run 1 and run 2","","","tfmri_mid_all_beh_small.reward_mean.rt,tfmri_mid_all_beh_smallreward_meanrt"
"tfmri_mid_all_beh_srw_stdrt","Float","","Recommended","Standard deviation of average reaction time for small reward trials for run 1 and run 2","","","tfmri_mid_all_beh_small.reward_std.rt,tfmri_mid_all_beh_smallreward_stdrt"
"tfmri_mid_r1_beh_srw_nt","Integer","","Recommended","Total number of small reward trials shown for run 1","","","tfmri_mid_run1_beh_small.reward_numtrials,tfmri_mid_run1_beh_smallreward_numtrials"
"tfmri_mid_r1_beh_srw_mrt","Float","","Recommended","Average reaction time for small reward trials for run 1","","","tfmri_mid_run1_beh_small.reward_mean.rt,tfmri_mid_run1_beh_smallreward_meanrt"
"tfmri_mid_r1_beh_srw_stdrt","Float","","Recommended","Standard deviation of average reaction time for small reward trials for run 1","","","tfmri_mid_run1_beh_small.reward_std.rt,tfmri_mid_run1_beh_smallreward_stdrt"
"tfmri_mid_r2_beh_srw_nt","Integer","","Recommended","Total number of small reward trials shown for run 2","","","tfmri_mid_run2_beh_small.reward_numtrials,tfmri_mid_run2_beh_smallreward_numtrials"
"tfmri_mid_r2_beh_srw_mrt","Float","","Recommended","Average reaction time for small reward trials for run 2","","","tfmri_mid_run2_beh_small.reward_mean.rt,tfmri_mid_run2_beh_smallreward_meanrt"
"tfmri_mid_r2_beh_srw_stdrt","Float","","Recommended","Standard deviation of average reaction time for small reward trials for run 2","","","tfmri_mid_run2_beh_small.reward_std.rt,tfmri_mid_run2_beh_smallreward_stdrt"
"tfmri_mid_all_beh_srwpfb_nt","Integer","","Recommended","Total number of small reward trials answered correctly for run 1 and run 2","","","tfmri_mid_all_beh_small.reward.pos.feedback_numtrials,tfmri_mid_all_beh_smallrewardposfeedback_numtrials"
"tfmri_mid_all_beh_srwpfb_rate","Float","","Recommended","Number of small reward trials that yielded positive feedback in run 1 and run 2 combined divided by the total number of small reward trials","","","tfmri_mid_all_beh_small.reward.pos.feedback_rate,tfmri_mid_all_beh_smallrewardposfeedback_rate"
"tfmri_mid_all_beh_srwpfb_mrt","Float","","Recommended","Average reaction time for small reward trials with positive feedback for run 1 and run 2","","","tfmri_mid_all_beh_small.reward.pos.feedback_mean.rt,tfmri_mid_all_beh_smallrewardposfeedback_meanrt"
"tfmri_mid_all_beh_srwpfb_stdrt","Float","","Recommended","Standard deviation of average reaction time for small reward trials with positive feedback run 1 and run 2","","","tfmri_mid_all_beh_small.reward.pos.feedback_std.rt,tfmri_mid_all_beh_smallrewardposfeedback_stdrt"
"tfmri_mid_r1_beh_srwpfb_nt","Integer","","Recommended","Total number of small reward trials answered correctly for run 1","","","tfmri_mid_run1_beh_small.reward.pos.feedback_numtrials,tfmri_mid_run1_beh_smallrewardposfeedback_numtrials"
"tfmri_mid_r1_beh_srwpfb_rate","Float","","Recommended","Number of small reward trials that yielded positive feedback in run 1 divided by the total number of small reward trials","","","tfmri_mid_run1_beh_small.reward.pos.feedback_rate,tfmri_mid_run1_beh_smallrewardposfeedback_rate"
"tfmri_mid_r1_beh_srwpfb_mrt","Float","","Recommended","Average reaction time for small reward trials with positive feedback run 1","","","tfmri_mid_run1_beh_small.reward.pos.feedback_mean.rt,tfmri_mid_run1_beh_smallrewardposfeedback_meanrt"
"tfmri_mid_r1_beh_srwpfb_stdrt","Float","","Recommended","Standard deviation of average reaction time for small reward with positive feedback run 1","","","tfmri_mid_run1_beh_small.reward.pos.feedback_std.rt,tfmri_mid_run1_beh_smallrewardposfeedback_stdrt"
"tfmri_mid_r2_beh_srwpfb_nt","Integer","","Recommended","Total number of small reward trials answered correctly for run 2","","","tfmri_mid_run2_beh_small.reward.pos.feedback_numtrials,tfmri_mid_run2_beh_smallrewardposfeedback_numtrials"
"tfmri_mid_r2_beh_srwpfb_rate","Float","","Recommended","Number of small reward trials that yielded positive feedback in run 2 divided by the total number of small reward trials","","","tfmri_mid_run2_beh_small.reward.pos.feedback_rate,tfmri_mid_run2_beh_smallrewardposfeedback_rate"
"tfmri_mid_r2_beh_srwpfb_mrt","Float","","Recommended","Average reaction time for small reward trials with positive feedback run 2","","","tfmri_mid_run2_beh_small.reward.pos.feedback_mean.rt,tfmri_mid_run2_beh_smallrewardposfeedback_meanrt"
"tfmri_mid_r2_beh_srwpfb_stdrt","Float","","Recommended","Standard deviation of average reaction time for small reward with positive feedback run 2","","","tfmri_mid_run2_beh_small.reward.pos.feedback_std.rt,tfmri_mid_run2_beh_smallrewardposfeedback_stdrt"
"tfmri_mid_all_beh_srwnfb_nt","Integer","","Recommended","Total number of small reward trials answered incorrectly for run 1 and run 2","","","tfmri_mid_all_beh_small.reward.neg.feedback_numtrials,tfmri_mid_all_beh_smallrewardnegfeedback_numtrials"
"tfmri_mid_all_beh_srwnfb_rate","Float","","Recommended","Number of small reward trials that yielded negative feedback in run 1 and run 2 combined divided by the total number of small reward trials","","","tfmri_mid_all_beh_small.reward.neg.feedback_rate,tfmri_mid_all_beh_smallrewardnegfeedback_rate"
"tfmri_mid_all_beh_srwnfb_mrt","Float","","Recommended","Average reaction time for small reward trials with negative feedback for run 1 and run 2","","","tfmri_mid_all_beh_small.reward.neg.feedback_mean.rt,tfmri_mid_all_beh_smallrewardnegfeedback_meanrt"
