"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"tfmrimr1_972","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere posterior-ventral part of the cingulate gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.cingul.post.ventral.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_gcingulpostventralrh"
"tfmrimr1_973","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere cuneus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.cuneus.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_gcuneusrh"
"tfmrimr1_974","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere opercular part of the inferior frontal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.front.inf.opercular.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_gfrontinfopercularrh"
"tfmrimr1_975","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere orbital part of the inferior frontal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.front.inf.orbital.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_gfrontinforbitalrh"
"tfmrimr1_976","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere triangular part of the inferior frontal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.front.inf.triangul.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_gfrontinftriangulrh"
"tfmrimr1_977","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere middle frontal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.front.middle.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_gfrontmiddlerh"
"tfmrimr1_978","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere superior frontal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.front.sup.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_gfrontsuprh"
"tfmrimr1_979","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere long insular gyrus and central sulcus of the insula","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.ins.lg.and.s.cent.ins.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_ginslgandscentinsrh"
"tfmrimr1_980","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere short insular gyri","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.insular.short.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_ginsularshortrh"
"tfmrimr1_981","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere middle occipital gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.occipital.middle.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_goccipitalmiddlerh"
"tfmrimr1_982","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere superior occipital gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.occipital.sup.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_goccipitalsuprh"
"tfmrimr1_983","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere lateral occipito-temporal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.oc.temp.lat.fusifor.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_goctemplatfusiforrh"
"tfmrimr1_984","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere lingual gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.oc.temp.med.lingual.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_goctempmedlingualrh"
"tfmrimr1_985","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere parahippocampal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.oc.temp.med.parahip.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_goctempmedparahiprh"
"tfmrimr1_986","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere orbital gyri","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.orbital.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_gorbitalrh"
"tfmrimr1_987","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere angular gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.pariet.inf.angular.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_gparietinfangularrh"
"tfmrimr1_988","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere supramarginal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.pariet.inf.supramar.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_gparietinfsupramarrh"
"tfmrimr1_989","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere superior parietal lobule","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.parietal.sup.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_gparietalsuprh"
"tfmrimr1_990","Float","","Recommended","Beta weight for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere postcentral gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_beta_cort.destrieux_g.postcentral.rh,tfmri_mid_run1_anticlargevssmallreward_beta_cortdestrieux_gpostcentralrh"
