"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"mid_intro_y","String","30","Recommended","Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","","Descriptive field",""
"midq_exc_1a_y","Integer","","Recommended","How EXCITED were you when: You saw a circle saying you could win $5?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_exc_1a"
"midq_exc_1b_y","Integer","","Recommended","How EXCITED were you when: You saw a circle saying you could win $0.20?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_exc_1b"
"midq_exc_1c_y","Integer","","Recommended","How EXCITED were you when: You saw a square saying you could lose $5?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_exc_1c"
"midq_exc_1d_y","Integer","","Recommended","How EXCITED were you when: You saw a square saying you could lose $0.20?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_exc_1d"
"midq_exc_1e_y","Integer","","Recommended","How EXCITED were you when: You saw a triangle saying there was no money at stake?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_exc_1e"
"midq_nerv_1a_y","Integer","","Recommended","How NERVOUS were you when:You saw a circle saying you could win $5?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_nerv_1a"
"midq_nerv_1b_y","Integer","","Recommended","How NERVOUS were you when: You saw a circle saying you could win $0.20?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_nerv_1b"
"midq_nerv_1c_y","Integer","","Recommended","How NERVOUS were you when: You saw a square saying you could lose $5?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_nerv_1c"
"midq_nerv_1d_y","Integer","","Recommended","How NERVOUS were you when: You saw a square saying you could lose $0.20?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_nerv_1d"
"midq_nerv_1e_y","Integer","","Recommended","How NERVOUS were you when: You saw a triangle saying there was no money at stake?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_nerv_1e"
"midq_try_1a_y","Integer","","Recommended","How hard did you try: to win $5?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_try_1a"
"midq_try_1b_y","Integer","","Recommended","How hard did you try: to win $0.20?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_try_1b"
"midq_try_1c_y","Integer","","Recommended","How hard did you try: to not lose $5?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_try_1c"
"midq_try_1d_y","Integer","","Recommended","How hard did you try: to not lose $0.20?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_try_1d"
"midq_try_1e_y","Integer","","Recommended","How hard did you try: on the ""no money at stake"" trials?","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.","mid_questions_try_1e"
"midq_2","Integer","","Recommended","While the game was being explained to you, did you think about what you would like to do with the money you might win during the game?","1 ; 2","1 = Yes; 2 = No","mid_questions_2"
