"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"mt_pil_pguid","GUID","","Recommended","Participant ID","","","mobil_pilot_pguid"
"mt_pil_ears_act_goog_avg","Float","","Recommended","Average daily duration Google Play Store category: Game - Action (minutes)","","","mobil_pilot_ears_action_game_google_avg"
"mt_pil_ears_act_goog_tot","Float","","Recommended","Total duration Google Play Store category: Game - Action (minutes)","","","mobil_pilot_ears_action_game_google_total"
"mt_pil_ears_act_goog_wday_avg","Float","","Recommended","Average daily Weekday duration Google Play Store category: Game - Action (minutes)","","","mobil_pilot_ears_action_game_google_wkday_avg"
"mt_pil_ears_act_goog_wday_tot","Float","","Recommended","Total weekday duration Google Play Store category: Game - Action (minutes)","","","mobil_pilot_ears_action_game_google_wkday_total"
"mt_pil_ears_act_goog_wend_avg","Float","","Recommended","Average daily Weekend duration Google Play Store category: Game - Action (minutes)","","","mobil_pilot_ears_action_game_google_wkend_avg"
"mt_pil_ears_act_goog_wend_tot","Float","","Recommended","Total weekend duration Google Play Store category: Game - Action (minutes)","","","mobil_pilot_ears_action_game_google_wkend_total"
"mt_pil_ears_adv_goog_avg","Float","","Recommended","Average daily duration Google Play Store category: Game - Adventure (minutes)","","","mobil_pilot_ears_adventure_game_google_avg"
"mt_pil_ears_adv_goog_tot","Float","","Recommended","Total duration Google Play Store category: Game - Adventure (minutes)","","","mobil_pilot_ears_adventure_game_google_total"
"mt_pil_ears_adv_goog_wday_avg","Float","","Recommended","Average daily Weekday duration Google Play Store category: Game - Adventure (minutes)","","","mobil_pilot_ears_adventure_game_google_wkday_avg"
"mt_pil_ears_adv_goog_wday_tot","Float","","Recommended","Total weekday duration Google Play Store category: Game - Adventure (minutes)","","","mobil_pilot_ears_adventure_game_google_wkday_total"
"mt_pil_ears_adv_goog_wend_avg","Float","","Recommended","Average daily Weekend duration Google Play Store category: Game - Adventure (minutes)","","","mobil_pilot_ears_adventure_game_google_wkend_avg"
"mt_pil_ears_adv_goog_wend_tot","Float","","Recommended","Total weekend duration Google Play Store category: Game - Adventure (minutes)","","","mobil_pilot_ears_adventure_game_google_wkend_total"
"mt_pil_ears_app_dur_avg","Float","","Recommended","Average per Day duration across all apps (minutes)","","","mobil_pilot_ears_app_duration_avg"
"mt_pil_ears_app_dur_tot","Float","","Recommended","Total duration across all apps (minutes)","","","mobil_pilot_ears_app_duration_total"
"mt_pil_ears_app_dur_wday_avg","Float","","Recommended","Average per Weekday Day duration across all apps (minutes)","","","mobil_pilot_ears_app_duration_wkday_avg"
"mt_pil_ears_app_dur_wend_avg","Float","","Recommended","Average per Weekend Day duration across all apps (minutes)","","","mobil_pilot_ears_app_duration_wkend_avg"
"mt_pil_ears_app_dur_wend_tot","Float","","Recommended","Total weekend duration across all apps (minutes)","","","mobil_pilot_ears_app_duration_wkend_total"
"mt_pil_ears_app_open_cnt","Float","","Recommended","Total number of times apps were opened across all apps over duration (count)","","","mobil_pilot_ears_app_open_count"
"mt_pil_ears_app_open_cnt_avg","Float","","Recommended","Average per Day number of times apps were opened across all apps (count)","","","mobil_pilot_ears_app_open_count_avg"
"mt_pil_ears_app_unique_cnt","Float","","Recommended","Total number of unique apps used over duration (count)","","","mobil_pilot_ears_apps_unique_count"
"mt_pil_ears_app_unique_cnt_avg","Float","","Recommended","Average per day number of unique apps used over duration (count)","","","mobil_pilot_ears_apps_unique_count_avg"
"mt_pil_ears_app_wday_dur_tot","Float","","Recommended","Total weekday duration across all apps (minutes)","","","mobil_pilot_ears_app_wkday_duration_total"
"mt_pil_ears_arc_goog_avg","Float","","Recommended","Average daily duration Google Play Store category: Game - Arcade (minutes)","","","mobil_pilot_ears_arcade_game_google_avg"
"mt_pil_ears_arc_goog_tot","Float","","Recommended","Total duration Google Play Store category: Game - Arcade (minutes)","","","mobil_pilot_ears_arcade_game_google_total"
"mt_pil_ears_arc_goog_wday_avg","Float","","Recommended","Average daily Weekday duration Google Play Store category: Game - Arcade (minutes)","","","mobil_pilot_ears_arcade_game_google_wkday_avg"
"mt_pil_ears_arc_goog_wday_tot","Float","","Recommended","Total weekday duration Google Play Store category: Game - Arcade (minutes)","","","mobil_pilot_ears_arcade_game_google_wkday_total"
"mt_pil_ears_arc_goog_wend_avg","Float","","Recommended","Average daily Weekend duration Google Play Store category: Game - Arcade (minutes)","","","mobil_pilot_ears_arcade_game_google_wkend_avg"
"mt_pil_ears_arc_goog_wend_tot","Float","","Recommended","Total weekend duration Google Play Store category: Game - Arcade (minutes)","","","mobil_pilot_ears_arcade_game_google_wkend_total"
"mt_pil_ears_art_goog_wday_avg","Float","","Recommended","Average daily Weekday duration Google Play Store category: Art & Design (minutes)","","","mobil_pilot_ears_art_google_wkday_avg"
"mt_pil_ears_art_goog_wday_tot","Float","","Recommended","Total weekday duration Google Play Store category: Art & Design (minutes)","","","mobil_pilot_ears_art_google_wkday_total"
"mt_pil_ears_art_goog_wend_avg","Float","","Recommended","Average daily Weekend duration Google Play Store category: Art & Design (minutes)","","","mobil_pilot_ears_art_google_wkend_avg"
"mt_pil_ears_art_goog_wend_tot","Float","","Recommended","Total weekend duration Google Play Store category: Art & Design (minutes)","","","mobil_pilot_ears_art_google_wkend_total"
"mt_pil_ears_artdes_goog_avg","Float","","Recommended","Average daily duration Google Play Store category: Art & Design (minutes)","","","mobil_pilot_ears_artdesign_google_avg"
"mt_pil_ears_artdes_goog_tot","Float","","Recommended","Total duration Google Play Store category: Art & Design (minutes)","","","mobil_pilot_ears_artdesign_google_total"
"mt_pil_ears_beau_goog_avg","Float","","Recommended","Average daily duration Google Play Store category: Beauty (minutes)","","","mobil_pilot_ears_beauty_google_avg"
"mt_pil_ears_beau_goog_tot","Float","","Recommended","Total duration Google Play Store category: Beauty (minutes)","","","mobil_pilot_ears_beauty_google_total"
"mt_pil_ears_beau_goog_wday_avg","Float","","Recommended","Average daily Weekday duration Google Play Store category: Beauty (minutes)","","","mobil_pilot_ears_beauty_google_wkday_avg"
"mt_pil_ears_beau_goog_wday_tot","Float","","Recommended","Total weekday duration Google Play Store category: Beauty (minutes)","","","mobil_pilot_ears_beauty_google_wkday_total"
"mt_pil_ears_beau_goog_wend_avg","Float","","Recommended","Average daily Weekend duration Google Play Store category: Beauty (minutes)","","","mobil_pilot_ears_beauty_google_wkend_avg"
"mt_pil_ears_beau_goog_wend_tot","Float","","Recommended","Total weekend duration Google Play Store category: Beauty (minutes)","","","mobil_pilot_ears_beauty_google_wkend_total"
