"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"mtpr_start_time","Date","","Recommended","","Time of page loads","","","mobil_pilot_pre_start_time"
"mtpr_1_wkdy_hrs","Integer","","Recommended","","On a typical WEEKDAY (Monday- Friday), how much TIME per day do you spend in TOTAL on a computer, cell phone, tablet, iPod, or other electronic device? 

Please do NOT include time spent on school related work, but do include watching TV, shows or videos, texting or chatting, playing games, or visiting social networking sites (Facebook, Twitter, Instagram).

For example, if on a typical weekday, total screen time equals 2 hours/day, you would enter 2"" for hours and ""0"" for minutes.""

Hours:","0 :: 23","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10; 11=11; 12=12; 13=13; 14=14; 15=15; 16=16; 17=17; 18=18; 19=19; 20=20; 21=21; 22=22; 23=23","mobil_pilot_pre_1_wkdy_hrs"
"mtpr_1_wkdy_mins","Integer","","Recommended","","On a typical WEEKDAY (Monday- Friday), how much TIME per day do you spend in TOTAL on a computer, cell phone, tablet, iPod, or other electronic device? 

Please do NOT include time spent on school related work, but do include watching TV, shows or videos, texting or chatting, playing games, or visiting social networking sites (Facebook, Twitter, Instagram).

For example, if on a typical weekday, total screen time equals 2 hours/day, you would enter 2"" for hours and ""0"" for minutes.""
Minutes:","0 ; 15 ; 30 ; 45","0=0; 15=15; 30=30; 45=45","mobil_pilot_pre_1_wkdy_mins"
"mtpr_2_wknd_hrs","Integer","","Recommended","","On a typical WEEKEND DAY (Saturday-Sunday), how much TIME per day do you spend in TOTAL on a computer, cellphone, tablet, iPod, or other electronic device?

Please do NOT include time spent on school related work, but do include watching TV, shows or videos, texting or chatting, playing games, or visiting social networking sites (Facebook, Twitter, Instagram).
Hours:","0 :: 23","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10; 11=11; 12=12; 13=13; 14=14; 15=15; 16=16; 17=17; 18=18; 19=19; 20=20; 21=21; 22=22; 23=23","mobil_pilot_pre_2_wknd_hrs"
"mtpr_2_wknd_mins","Integer","","Recommended","","On a typical WEEKEND DAY (Saturday-Sunday), how much TIME per day do you spend in TOTAL on a computer, cellphone, tablet, iPod, or other electronic device?

Please do NOT include time spent on school related work, but do include watching TV, shows or videos, texting or chatting, playing games, or visiting social networking sites (Facebook, Twitter, Instagram). 
Minutes:","0 ; 15 ; 30 ; 45","0=0; 15=15; 30=30; 45=45","mobil_pilot_pre_2_wknd_mins"
"mtpr_3_total_wkdy_hrs","Integer","","Recommended","","How much of ___ (total time estimate for weekday) do you spend on your mobile device specifically?

For example, if on a typical weekday, total screen time equals 2 hours/day and you spend thirty minutes of that time on your mobile device, you would enter 0"" for hours and ""30"" for minutes.""
Hours:","0 :: 23","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10; 11=11; 12=12; 13=13; 14=14; 15=15; 16=16; 17=17; 18=18; 19=19; 20=20; 21=21; 22=22; 23=23","mobil_pilot_pre_3_total_wkdy_hrs"
"mtpr_3_total_wkdy_mins","Integer","","Recommended","","How much of ___ (total time estimate for weekday) do you spend on your mobile device specifically?

For example, if on a typical weekday, total screen time equals 2 hours/day and you spend thirty minutes of that time on your mobile device, you would enter 0"" for hours and ""30"" for minutes.""
Minutes:","0 ; 15 ; 30 ; 45","0=0; 15=15; 30=30; 45=45","mobil_pilot_pre_3_total_wkdy_mins"
"mtpr_4_wknd_hrs","Integer","","Recommended","","How much of ___ (total time estimate for weekend) do you spend on a mobile device specifically? Hours:","0 :: 23","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10; 11=11; 12=12; 13=13; 14=14; 15=15; 16=16; 17=17; 18=18; 19=19; 20=20; 21=21; 22=22; 23=23","mobil_pilot_pre_4_wknd_hrs"
"mtpr_4_wknd_mins","Integer","","Recommended","","How much of ___ (total time estimate for weekend) do you spend on a mobile device specifically? Minutes:","0 ; 15 ; 30 ; 45","0=0; 15=15; 30=30; 45=45","mobil_pilot_pre_4_wknd_mins"
"mtpr_5","Integer","","Recommended","","In your opinion, compared to other boys/girls your age, how much do you use your mobile device?","1 :: 5","1=Much less; 2=A little less; 3=About the same; 4=A little more; 5=Much more","mobil_pilot_pre_5"
"mtpr_6","Integer","","Recommended","","In your opinion, do you do think the amount of time you spend on your device is healthy?","1 ; 0","1=Yes; 0=No","mobil_pilot_pre_6"
"mtpr_pr_1","Integer","","Recommended","","Do your parents limit the amount of time you can use screens?","1 ; 0","1=Yes; 0=No","mobil_pilot_pre_pr_1"
"mtpr_pr_2","Integer","","Recommended","","Do your parents limit the amount of time you can use your mobile device?","1 ; 0","1=Yes; 0=No","mobil_pilot_pre_pr_2"
"mtpr_pr_3","Integer","","Recommended","","Do you often break these rules (use more than supposed to)?","1 ; 0","1=Yes; 0=No","mobil_pilot_pre_pr_3"
"mtpr_pr_4","Integer","","Recommended","","If you break the rules, is there any punishment?","1 ; 0","1=Yes; 0=No","mobil_pilot_pre_pr_4"
"mtpr_pr_5","Integer","","Recommended","","In your opinion, how do your parents rules compare to other boys/girls your age?","1 :: 5 ; 999","1=Much less; 2=A little less; 3=About the same; 4=A little more; 5=Much more; 999=Don't Know","mobil_pilot_pre_pr_5"
"mtpr_hx_1","Integer","","Recommended","","How often do your parents look at your mobile device?","0::5;999","0=never; 1=less than weekly; 2=weekly; 3=a couple times a week; 4=3-4 times a week; 5=daily; 999=Don't Know","mobil_pilot_pre_hx_1"
"mtpr_hx_2","Integer","","Recommended","","Have your parents ever installed or used an app on your device to monitor your phone use?","1 ; 0 ; 999","1=Yes; 0=No; 999=Don't Know","mobil_pilot_pre_hx_2"
"mtpr_hx_3","Integer","","Recommended","","Do any of your friends' devices have applications on it that their parents use to monitor their device use?","1 ; 0 ; 999","1=Yes; 0=No; 999=Don't Know","mobil_pilot_pre_hx_3"
"mtpr_hx_4","Integer","","Recommended","mtpr_hx_3 ==1","How many?","1 ; 2 ; 3 ; 999","1=1-2; 2=3-4; 3=4+; 999=Don't Know","mobil_pilot_pre_hx_4"
"mtpr_ind_1","Integer","","Recommended","","How much do you think you will change your activities while having these applications on your device?","1 :: 3","1=Not at all; 2=A little; 3=A lot","mobil_pilot_pre_ind_1"
"mtpr_ind_2","Integer","","Recommended","","Do you think you will notice having the applications on your device?","1 :: 3","1=Not at all; 2=A little; 3=A lot","mobil_pilot_pre_ind_2"
