"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"tbi_select_language___1","Integer","","Recommended","","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","brain_injury_select_language_p,brain_injury_select_language_p___1"
"tbi_1","Integer","","Recommended","","Has your child ever been hospitalized or treated in an emergency room following an injury to his/her head or neck? ¿Alguna vez han hospitalizado a su niño/a o le han tratado en una sala de emergencias después de sufrir una lesión en la cabeza o en el cuello?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_1_p"
"tbi_1b","Integer","","Recommended"," tbi_1   == 1","Was he/she knocked out or did he/she lose consciousness (LOC)? If yes, how long? ¿Estuvo él o ella noqueado/a o perdió el conocimiento? ¿Si la respuesta es si, por cuánto tiempo?","0 ; 1 ; 2 ; 3","0 = No LOC Sin pérdida de conocimiento; 1 = < 30min < 30min; 2 = 30min-24hrs 30min-24hrs; 3 = >24 hrs >24 hrs","brain_injury_1b_p"
"tbi_1c","Integer","","Recommended"," tbi_1   == 1","Was he/she dazed or did he/she have a gap in his/her memory from the injury? ¿Se sintió él/ella aturdido, o tuvo lapsos de memoria  por causa de la lesión?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_1c_p"
"tbi_1d","String","30","Recommended"," tbi_1   == 1","How old was he/she? ¿Qué edad tenía?","","","brain_injury_1d_p"
"tbi_2","Integer","","Recommended","","Has your child ever injured his/her head or neck in a car accident or from crashing some other moving vehicle like a bicycle, motorcyle, or ATV? ¿Su niño/a alguna vez se ha lastimado la cabeza o el cuello en un accidente de auto o por chocar cuando iba en algún otro vehículo en movimiento, como una bicicleta, motocicleta o vehículo todo terreno?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_2_p"
"tbi_2b","Integer","","Recommended"," tbi_2   == 1","Was he/she knocked out or did he/she lose consciousness (LOC)? If yes, how long? ¿Estuvo él o ella noqueado/a o perdió el conocimiento? ¿Si la respuesta es si, por cuánto tiempo?","0 ; 1 ; 2 ; 3","0 = No LOC Sin pérdida de conocimiento; 1 = < 30min < 30min; 2 = 30min-24hrs 30min-24hrs; 3 = >24 hrs >24 hrs","brain_injury_2b_p"
"tbi_2c","Integer","","Recommended"," tbi_2   == 1","Was he/she dazed or did he/she have a gap in his/her memory from the injury? ¿Se sintió él/ella aturdido, o tuvo lapsos de memoria  por causa de la lesión?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_2c_p"
"tbi_2d","String","30","Recommended"," tbi_2   == 1","How old was he/she? ¿Qué edad tenía?","","","brain_injury_2d_p"
"tbi_3","Integer","","Recommended","","Has you child ever injured his/her head or neck in a fall or from being hit by something? (For example, falling from a bike or horse, rollerblading, falling on ice, being hit by a rock) Has your child ever injured his/her head or neck playing sports or on the playground? ¿Su niño/a alguna vez se ha lastimado la cabeza o el cuello en una caída o porque algo le haya caído en la cabeza (p. ej., al caerse de una bicicleta o un caballo, al andar en patines, al caerse en el hielo o que le haya caído una roca)? ¿Su niño(a) alguna vez se ha lastimado la cabeza o el cuello haciendo deporte o jugando en un parque?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_3_p"
"tbi_3b","Integer","","Recommended"," tbi_3   == 1","Was he/she knocked out or did he/she lose consciousness (LOC)? If yes, how long? ¿Estuvo él o ella noqueado/a o perdió el conocimiento? ¿Si la respuesta es si, por cuánto tiempo?","0 ; 1 ; 2 ; 3","0 = No LOC Sin pérdida de conocimiento; 1 = < 30min < 30min; 2 = 30min-24hrs 30min-24hrs; 3 = >24 hrs >24 hrs","brain_injury_3b_p"
"tbi_3c","Integer","","Recommended"," tbi_3   == 1","Was he/she dazed or did he/she have a gap in his/her memory from the injury? ¿Se sintió él/ella aturdido, o tuvo lapsos de memoria  por causa de la lesión?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_3c_p"
"tbi_3d","String","30","Recommended"," tbi_3   == 1","How old was he/she? ¿Qué edad tenía?","","","brain_injury_3d_p"
"tbi_4","Integer","","Recommended","","Has your child ever injured his/her head or neck in a fight, from being hit by something, or from being shaken violently? Has your child ever been shot in the head? ¿Su niño/a alguna vez se ha lastimado la cabeza o el cuello en una pelea, al recibir un golpe de algún objeto  o porque lo/la hayan sacudido con violencia? ¿Su niño(a) alguna vez ha recibido un disparo en la cabeza?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_4_p"
"tbi_4b","Integer","","Recommended"," tbi_4   == 1","Was he/she knocked out or did he/she lose consciousness (LOC)? If yes, how long? ¿Estuvo él o ella noqueado/a o perdió el conocimiento? ¿Si la respuesta es si, por cuánto tiempo?","0 ; 1 ; 2 ; 3","0 = No LOC Sin pérdida de conocimiento; 1 = < 30min < 30min; 2 = 30min-24hrs 30min-24hrs; 3 = >24 hrs >24 hrs","brain_injury_4b_p"
"tbi_4c","Integer","","Recommended"," tbi_4   == 1","Was he/she dazed or did he/she have a gap in his/her memory from the injury? ¿Se sintió él/ella aturdido, o tuvo lapsos de memoria  por causa de la lesión?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_4c_p"
"tbi_4d","String","30","Recommended"," tbi_4   == 1","How old was he/she? ¿Qué edad tenía?","","","brain_injury_4d_p"
"tbi_5","Integer","","Recommended","","Has your child ever been nearby when an explosion or blast has occurred? ¿Su niño/a alguna vez ha estado cerca de una explosión o un estallido?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_5_p"
"tbi_5b","Integer","","Recommended"," tbi_5   == 1","Was he/she knocked out or did he/she lose consciousness (LOC)? If yes, how long? ¿Estuvo él o ella noqueado/a o perdió el conocimiento? ¿Si la respuesta es si, por cuánto tiempo?","0 ; 1 ; 2 ; 3","0 = No LOC Sin pérdida de conocimiento; 1 = < 30min < 30min; 2 = 30min-24hrs 30min-24hrs; 3 = >24 hrs >24 hrs","brain_injury_5b_p"
"tbi_5c","Integer","","Recommended"," tbi_5   == 1","Was he/she dazed or did he/she have a gap in his/her memory from the injury? ¿Se sintió él/ella aturdido, o tuvo lapsos de memoria  por causa de la lesión?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_5c_p"
"tbi_5d","String","30","Recommended"," tbi_5   == 1","How old was he/she? ¿Qué edad tenía?","","","brain_injury_5d_p"
"tbi_6o","Integer","","Recommended","","Do you want to report any more injuries with LOC? ¿Quisiera reportar otras lesiones que hayan resultado en la pérdida de conocimiento?","1 ; 0","1 = Yes Si; 0 = No No","brain_injury_6o_p"
