"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","","The event name for which the data was collected","","",""
"gish_p_select_language___1","Integer","","Recommended","","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","gish_select_language_p"
"gish_m1_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '1' ||  baseline_year_1_arm_1  demo_sex_v2b   == '3'","His favorite playmates are Sus compañeros favoritos de juego son:","5 ; 4 ; 3 ; 2 ; 1 ; 0 ; 777","5 = Always boys Siempre niños ; 4 = Usually boys Por lo general; 3 = Boys and girls equally Niños y niñas por igual ; 2 = Usually girls  Por lo general; 1 = Always girls  Siempre niñas ; 0 = Does not play with other children No juega con otros niños/as ; 777 = Decline to answer Prefiero no responder",""
"gish_m2_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '1' ||  baseline_year_1_arm_1  demo_sex_v2b   == '3'","He plays with girl-type dolls, such as ""Barbie"" Juega con muñecas ""para niñas"", como ""Barbie""","1 ; 2 ; 3 ; 4 ; 5 ; 777","1 = As a favorite toy Como juguete favorito ; 2 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 4 = Rarely Casi nunca ; 5 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_m3_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '1' ||  baseline_year_1_arm_1  demo_sex_v2b   == '3'","He plays with boy-type dolls such as action figures or ""GI-Joe"" Juega con muñecos ""para niños"", como ""GI-Joe""","5 ; 4 ; 3 ; 2 ; 1 ; 777","5 = As a favorite toy Como juguete favorito ; 4 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 2 = Rarely Casi nunca ; 1 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_m4_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '1' ||  baseline_year_1_arm_1  demo_sex_v2b   == '3'","He experiments with cosmetics (makeup) and jewelry El experimenta con cosmeticos (maquillaje) y joyas","1 ; 2 ; 3 ; 4 ; 5 ; 777","1 = As a favorite activity Como actividad favorita ; 2 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 4 = Rarely Casi nunca ; 5 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_m5_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '1' ||  baseline_year_1_arm_1  demo_sex_v2b   == '3'","He imitates female characters seen on TV or in the movies Imita a personajes del sexo femenino que aparecen en televisión o en las películas","1 ; 2 ; 3 ; 4 ; 5 ; 777","1 = As a favorite activity Como actividad favorita ; 2 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 4 = Rarely Casi nunca ; 5 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_m6_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '1' ||  baseline_year_1_arm_1  demo_sex_v2b   == '3'","He imitates male characters seen on TV or in the movies Imita a personajes del sexo masculino que aparecen en televisión o en las películas","5 ; 4 ; 3 ; 2 ; 1 ; 777","5 = As a favorite activity Como actividad favorita ; 4 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 2 = Rarely Casi nunca ; 1 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_m7_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '1' ||  baseline_year_1_arm_1  demo_sex_v2b   == '3'","He plays sports with boys (but not girls) Practica deportes con niños (pero no con niñas)","5 ; 4 ; 3 ; 2 ; 1 ; 777","5 = As a favorite activity Como actividad favorita ; 4 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 2 = Rarely Casi nunca ; 1 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_m8_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '1' ||  baseline_year_1_arm_1  demo_sex_v2b   == '3'","He plays sports with girls (but not boys) Practica deportes con niñas (pero no con niños)","1 ; 2 ; 3 ; 4 ; 5 ; 777","1 = As a favorite activity Como actividad favorita ; 2 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 4 = Rarely Casi nunca ; 5 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_m9_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '1' ||  baseline_year_1_arm_1  demo_sex_v2b   == '3'","In playing ""mother/father"", ""house"", or ""school"" games, he takes the role of Cuando juega a ""la mamá o el papá"", ""la casita"" o ""la escuelita"", asume el papel de:","1 ; 2 ; 3 ; 4 ; 5 ; 0 ; 777","1 = A girl or woman at all times Una niña o mujer; 2 = Usually a girl or woman Una niña o mujer; 3 = Half the time a girl or woman and half the time a boy or man Una niña o mujer la mitad de las veces; 4 = Usually a boy or man Un niño o un hombre; 5 = A boy or man at all times Un niño o un hombre; 0 = Does not play these games No juega estos juegos ; 777 = Decline to answer Prefiero no responder",""
"gish_m10_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '1' ||  baseline_year_1_arm_1  demo_sex_v2b   == '3'","He plays ""girl-type"" games (as compared to ""boy-type"" games Juega juegos ""para niñas"" (en comparación con el tipo de juegos ""para niños"")","1 ; 2 ; 3 ; 4 ; 5 ; 777","1 = As a favorite activity Como actividad favorita ; 2 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 4 = Rarely Casi nunca ; 5 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_m11_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '1' ||  baseline_year_1_arm_1  demo_sex_v2b   == '3'","In dress-up games, he likes to dress up as Cuando juega a disfrazarse, le gusta vestirse como:","1 ; 2 ; 3 ; 4 ; 5 ; 0 ; 777","1 = A girl or woman at all times Una niña o mujer; 2 = Usually a girl or woman Una niña o mujer; 3 = Half the time a girl or woman and half the time a boy or man Una niña o mujer la mitad de las veces; 4 = Usually a boy or man Un niño o un hombre; 5 = A boy or man at all times Un niño o un hombre; 0 = Does not play these games No juega estos juegos ; 777 = Decline to answer Prefiero no responder",""
