"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"pnh_substance","Integer","","Recommended","","During the last 6 months, have any of your close friends ever suggested that you <i>not</i> use
drugs or alcohol?","0;3","0=No; 3=Yes","peer_network_health_substance"
"pnh_help","Integer","","Recommended","","During the last 6 months, have any of your close friends given you help with school, with
money, with transportation, or help by talking through problems?","0;2","0=No; 2=Yes","peer_network_health_help"
"pnh_how_much_help","Integer","","Recommended","pnh_help == 2","How much help did your close friends give you? Pick a number between 1 and 10.","1::10","1=1 - a little help; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10 - lots of help","peer_network_health_how_much_help"
"pnh_encourage","Integer","","Recommended","","During the last 6 months, have any of your close friends encouraged you to get or stay
involved with sports/exercise, school teams or clubs, volunteering, or religious activities?","0;2","0=No; 2=Yes","peer_network_health_encourage"
"pnh_how_much_encourage","Integer","","Recommended","pnh_encourage == 2","How much did your close friends encourage you? Pick a number between 1 and 10.","1::10","1=1-  a little encouragement; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10 - lots of encouragement","peer_network_health_how_much_encourage"
"pnh_art_involve","Integer","","Recommended","pnh_encourage == 2","Did any of those activities 
include art, music, dance, or theater?","","","peer_network_health_art_involve"
"pnh_admin","Integer","","Recommended","","Please indicate how instrument was administered:","1::3","1=RA-Administered ; 2=Youth Self-Administered ; 3=Combination [event_name_number] > '21'",""
