"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"pds_select_language___1","Integer","","Recommended","","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","pubertdev_select_language_p"
"pubertal_sex_p","Integer","","Recommended","","What sex was your child assigned at birth? ¿Qué sexo le fue asignado a su niño(a) al nacer?","1 ; 2","1 = Male Masculino; 2 = Female Femenino","pubertdev_sex_p"
"pds_1_p","Integer","","Recommended","","Would you say that your child's growth in height: Con respecto a la estatura de su niño(a), ¿diría usted que...?","1 ; 2 ; 3 ; 4 ; 999","1 = has not yet begun to spurt Aún no ha empezado a crecer.; 2 = has barely started Apenas ha empezado a crecer.; 3 = is definitely underway Definitivamente está creciendo.; 4 = seems complete Parece haber terminado de crecer.; 999 = I don't know No sé","pubertdev_1_p"
"pds_2_p","Integer","","Recommended","","And how about the growth of your child's body hair (""body hair"" means hair any place other than their head, such as under their arms)? Would you say that your child's body hair growth: ¿Y qué diría del crecimiento del vello corporal de su niño(a) (""vello corporal"" se refiere al vello que crece en cualquier parte del cuerpo que no sea el pelo de la cabeza, como en las axilas)?¿Diría usted que el vello corporal de su niño(a)...?","1 ; 2 ; 3 ; 4 ; 999","1 = has not yet begun to grow Aún no le ha empezado a salir.; 2 = has barely started to grow Apenas le está empezando a salir.; 3 = is definitely underway Definitivamente ya le está saliendo.; 4 = seems complete Parece haber terminado de salir.; 999 = I don't know No sé","pubertdev_2_p"
"pds_3_p","Integer","","Recommended","","Have you noticed any changes to their skin, especially pimples? ¿Ha notado cambios en la piel de su niño(a), particularmente acné, granos o espinillas?","1 ; 2 ; 3 ; 4 ; 999","1 = skin has not yet started changing Su piel aún no ha empezado a mostrar cambios.; 2 = skin has barely started changing Su piel apenas ha empezado a mostrar cambios.; 3 = skin changes are definitely underway Definitivamente ya están ocurriendo cambios en su piel.; 4 = skin changes seem complete Parece haber terminado de cambiarle la piel.; 999 = I don't know No sé","pubertdev_3_p"
"pds_m5_p","Integer","","Recommended"," pubertal_sex_p   == 1","Has he begun to grow hair on his face? ¿A su niño le ha empezado a crecer vello en la cara?","1 ; 2 ; 3 ; 4 ; 999","1 = facial hair has not yet started growing Aún no le ha empezado a salir vello facial.; 2 = facial hair has barely started growing Apenas le ha empezado a salir vello facial.; 3 = facial hair has definitely started Definitivamente ya le ha empezado a salir vello facial.; 4 = facial growth seems complete Ya parece haber terminado de salirle el vello facial.; 999 = I don't know No sé","pubertdev_m5_p"
"pds_m4_p","Integer","","Recommended"," pubertal_sex_p   == 1","Have you noticed a deepening of his voice? ¿Ha notado que la voz de su niño se ha vuelto más profunda?","1 ; 2 ; 3 ; 4 ; 999","1 = voice has not yet started changing Su voz aún no ha empezado a cambiar.; 2 = voice has barely started changing Su voz apenas ha empezado a cambiar.; 3 = voice changes are definitely underway Definitivamente ya están ocurriendo cambios en su voz.; 4 = voice changes seem complete Parece haber terminado de cambiar su voz.; 999 = I don't know No sé","pubertdev_m4_p"
"pds_f4_p","Integer","","Recommended"," pubertal_sex_p   == 2","Have you noticed that your child's breasts have begun to grow? ¿Ha notado que los senos de su niña han empezado a crecer?","1 ; 2 ; 3 ; 4 ; 999","1 = have not yet started growing Aún no le han empezado a crecer.; 2 = have barely started growing Apenas le han empezado a crecer.; 3 = breast growth is definitely underway Definitivamente ya le están creciendo los senos.; 4 = breast growth seems complete Sus senos ya parecen haber terminado de crecer.; 999 = I don't know No sé","pubertdev_f4_p"
"pds_f5b_p","Integer","","Recommended"," pubertal_sex_p   == 2","Has your child begun to menstruate?","4 ; 1 ; 999","4 = Yes Sí; 1 = No No; 999 = I don't know No sé","pubertdev_f5b_p"
"pds_f6_p","String","30","Recommended"," pds_f5b_p   == 4 &&  isNull(pds_f6_p_dk)","How old were they when they started to menstruate?","","If you don't know, please choose ""don't know"" in what follows below  Si no sabe, por favor escoja ""no se"" en lo que sigue abajo","pubertdev_f6_p"
"pds_f6_p_dk","Integer","","Recommended"," pds_f5b_p   == 4 &&  isNull(pds_f6_p)","How old were they when they started to menstruate?","999","999 = Don't know No lo sé","pubertdev_f6_dk_p"
"menstrualcycle1_p","String","30","Recommended"," pds_f5b_p   == 4","What was the date of the first day of your child's last period?","","","menstrual_1_p"
"menstrualcycle2_p","String","30","Recommended"," pds_f5b_p   == 4 &&  isNull(menstrualcycle2_p_dk)","On average, how many days are there between the first day of their period and the first day of their next period? (e.g., 30 days)","","If you don't know, please choose ""don't know"" in what follows below  Si no sabe, por favor escoja ""no se"" en lo que sigue abajo","menstrual_2_p"
"menstrualcycle2_p_dk","Integer","","Recommended"," pds_f5b_p   == 4 &&  isNull(menstrualcycle2_p)","On average, how many days are there between the first day of their period and the first day of their next period? (e.g., 30 days)","999","999 = Don't know No lo sé","menstrual_2_p_dk"
"menstrualcycle3_p","Integer","","Recommended"," pds_f5b_p   == 4","Is your child's menstrual cycle regular?","1 ; 0 ; 999","1 = Yes Sí; 0 = No No; 999 = Don't know No sé","menstrual_3_p"
"menstrualcycle4_p","Integer","","Recommended"," pds_f5b_p   == 4","Is your child currently using hormonal birth control (e.g. the pill, hormone patch, hormone injection)?","1 ; 0 ; 999","1 = Yes Sí; 0 = No No; 999 = Don't know No sé","menstrual_4_p"
"menstrualcycle5_p","Integer","","Recommended"," pds_f5b_p   == 4","Do they experience premenstrual irritability, fatigue, tearfulness, etc., which start before their period and stop within a few days of bleeding?","1 ; 2 ; 3 ; 4 ; 999","1 = Not at all Para nada; 2 = Mild Leves; 3 = Moderate Moderados; 4 = Severe Graves; 999 = Don't know No sé","menstrual_5_p"
"menstrualcycle6_p","Integer","","Recommended"," pds_f5b_p   == 4","Do their premenstrual symptoms interfere with their relationships with family and friends, productivity, and/or social life activities?","1 ; 2 ; 3 ; 4 ; 999","1 = Not at all Para nada; 2 = Mild Leves; 3 = Moderate Moderados; 4 = Severe Graves; 999 = Don't know No sé","menstrual_6_p"
