"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"ssrs_select_language___1","Integer","","Recommended","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","ssrs_select_language_p,ssrs_select_language_p___1"
"ssrs_6_p","Integer","","Recommended","Would rather be alone than with others. Prefiere estar solo(a) que con otros.","1 ; 2 ; 3 ; 4","1 = Not True No es cierto; 2 = Sometimes True Algunas veces cierto; 3 = Often True Frequentemente cierto; 4 = Almost Always True Casi siempre cierto",""
"ssrs_15r_p","Integer","","Recommended","Is able to understand the meaning of other people's tone of voice and facial expressions. Es capaz de entender el significado del tono de voz y las expresiones faciales de otras personas.","4 ; 3 ; 2 ; 1","4 = Not True No es cierto; 3 = Sometimes True Algunas veces cierto; 2 = Often True Frequentemente cierto; 1 = Almost Always True Casi siempre cierto",""
"ssrs_16_p","Integer","","Recommended","Avoids eye contact or has unusual eye contact. Evita el contacto con los ojos o tiene contacto visual inusual.","1 ; 2 ; 3 ; 4","1 = Not True No es cierto; 2 = Sometimes True Algunas veces cierto; 3 = Often True Frequentemente cierto; 4 = Almost Always True Casi siempre cierto",""
"ssrs_18_p","Integer","","Recommended","Has difficulty making friends, even when trying his or her best. Tiene dificultades para hacer amigos, incluso cuando intenta con su mejor esfuerzo.","1 ; 2 ; 3 ; 4","1 = Not True No es cierto; 2 = Sometimes True Algunas veces cierto; 3 = Often True Frequentemente cierto; 4 = Almost Always True Casi siempre cierto",""
"ssrs_24_p","Integer","","Recommended","Has more difficulty than other children with changes in his or her routine. Tiene más dificultad que otros niños/(as) con cambios en su rutina.","1 ; 2 ; 3 ; 4","1 = Not True No es cierto; 2 = Sometimes True Algunas veces cierto; 3 = Often True Frequentemente cierto; 4 = Almost Always True Casi siempre cierto",""
"ssrs_29_p","Integer","","Recommended","Is regarded by other children as odd or weird. Es considerado/a por otros niños como extraño/a o raro/a.","1 ; 2 ; 3 ; 4","1 = Not True No es cierto; 2 = Sometimes True Algunas veces cierto; 3 = Often True Frequentemente cierto; 4 = Almost Always True Casi siempre cierto",""
"ssrs_35_p","Integer","","Recommended","Has trouble keeping up with the flow of normal conversation. Tiene problemas para mantener el flujo de una conversación normal.","1 ; 2 ; 3 ; 4","1 = Not True No es cierto; 2 = Sometimes True Algunas veces cierto; 3 = Often True Frequentemente cierto; 4 = Almost Always True Casi siempre cierto",""
"ssrs_37_p","Integer","","Recommended","Has difficulty relating to peers. Tiene dificultades para relacionarse con sus compañeros.","1 ; 2 ; 3 ; 4","1 = Not True No es cierto; 2 = Sometimes True Algunas veces cierto; 3 = Often True Frequentemente cierto; 4 = Almost Always True Casi siempre cierto",""
"ssrs_39_p","Integer","","Recommended","Has an unusually narrow range of interests. Tiene una gama inusualmente estrecha de intereses.","1 ; 2 ; 3 ; 4","1 = Not True No es cierto; 2 = Sometimes True Algunas veces cierto; 3 = Often True Frequentemente cierto; 4 = Almost Always True Casi siempre cierto",""
"ssrs_42_p","Integer","","Recommended","Seems overly sensitive to sounds, textures or smells. Parece demasiado/a sensible a los sonidos, las texturas o los olores.","1 ; 2 ; 3 ; 4","1 = Not True No es cierto; 2 = Sometimes True Algunas veces cierto; 3 = Often True Frequentemente cierto; 4 = Almost Always True Casi siempre cierto",""
"ssrs_58_p","Integer","","Recommended","Concentrates too much on parts of things rather than seeing the whole picture.  For example, if asked to describe what happened in a story, he or she may talk only about the kind of clothes the characters were wearing. Se concentra demasiado en partes de las cosas en vez de ver la imagen completa. Por ejemplo, si se le pide que describa lo que sucedió en una historia, él o ella hablarían sólo sobre la clase/tipo de ropas que los personajes llevaban.","1 ; 2 ; 3 ; 4","1 = Not True No es cierto; 2 = Sometimes True Algunas veces cierto; 3 = Often True Frequentemente cierto; 4 = Almost Always True Casi siempre cierto",""
