"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"ra_scan_cl_prescr_order","String","60","Recommended","","Prescribed task/trial order","","This field references the task and trial order values displayed in ""Special Instrument Participation"".","scan_check_prescr_order"
"ra_scan_cl_non_rand","Integer","","Recommended","","A non-prescribed task and/or trial order was used for this scan.","0 ; 1","1 = Yes; 0 = No","scan_check_non_rand"
"ra_scan_cl_task_ord_used","Integer","","Recommended"," ra_scan_cl_non_rand   == 1","fMRI task order used instead","1 ; 2 ; 3 ; 4 ; 5 ; 6","1 = 1 (SST -> MID -> NBACK); 2 = 2 (SST ->NBACK -> MID); 3 = 3 (MID -> SST  -> NBACK); 4 = 4 (MID -> NBACK -> SST); 5 = 5 (NBACK -> MID -> SST); 6 = 6 (NBACK -> SST -> MID)","scan_check_task_ord_used"
"ra_scan_cl_trial_ord_mid","Integer","","Recommended"," ra_scan_cl_non_rand   == 1","fMRI trial order MID used instead","1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9 ; 10 ; 11 ; 12 ; 13","1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = 10; 11 = 11; 12 = 12; 13 = 13","scan_check_trial_ord_mid"
"ra_scan_cl_trial_ord_sst","Integer","","Recommended"," ra_scan_cl_non_rand   == 1","fMRI trial order SST used instead","1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9 ; 10 ; 11 ; 12 ; 13","1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = 10; 11 = 11; 12 = 12; 13 = 13","scan_check_trial_ord_sst"
"ra_scan_cl_trial_ord_nback","Integer","","Recommended"," ra_scan_cl_non_rand   == 1","fMRI trial order N-BACK used instead","1 ; 2 ; 3 ; 4","1 = 1; 2 = 2; 3 = 3; 4 = 4","scan_check_trial_ord_nback"
"ra_scan_check_list_mido","Integer","","Recommended","","MID task order","1 ; 2 ; 3","1 = 1st task; 2 = 2nd task; 3 = 3rd task","scan_check_mido"
"ra_scan_check_list_vmidrc","Integer","","Recommended","","Version of MID","1 ; 2 ; 3","1 = A; 2 = B; 3 = C","scan_check_vmidrc"
"ra_scan_check_list_emoo","Integer","","Recommended","","Emo Nback task order","1 ; 2 ; 3","1 = 1st task; 2 = 2nd task; 3 = 3rd task","scan_check_emoo"
"ra_scan_check_list_vemo","Integer","","Recommended","","Version of Emo Nback","1 ; 2 ; 3 ; 4","1 = 1; 2 = 2; 3 = 3; 4 = 4","scan_check_vemo"
"ra_scan_check_list_ssto","Integer","","Recommended","","SST task order","1 ; 2 ; 3","1 = 1st task; 2 = 2nd task; 3 = 3rd task","scan_check_ssto"
"ra_scan_check_list_rtmid","String","30","Recommended","","RT from MID Practice","","seconds","scan_check_rtmid"
"ra_scan_check_list_sspc","Integer","","Recommended","","Number of Scanning Sessions for Child","0::2","0 = 0 ; 1 = 1 ; 2 = 2","scan_check_sspc"
"ra_scan_check_list_rcom","Integer","","Recommended","","How many runs completed for MID?","0 ; 1 ; 2","0 = 0; 1 = 1; 2 = 2","scan_check_rcom"
"ra_scan_cl_mid_scan_lap","Integer","","Recommended","","Was the MID task run in the scanner or laptop?","1 ; 2 ; 3 ; 0","1 = Scanner; 2 = Laptop; 3 = Scanner and Laptop; 0 = Did not complete either","scan_check_mid_scan_lap"
"ra_scan_check_mid_earn","String","30","Recommended","","How much money did the participant earn during the MID task?","","","scan_check_mid_earn"
"ra_scan_check_list_vemorc","Integer","","Recommended","","How many runs completed for Emo NBack?","0 ; 1 ; 2","0 = 0; 1 = 1; 2 = 2","scan_check_vemorc"
"ra_scan_cl_nbac_scan_lap","Integer","","Recommended","","Was the N-BACK task run in the scanner or laptop?","1 ; 2 ; 3 ; 0","1 = Scanner; 2 = Laptop; 3 = Scanner and Laptop; 0 = Did not complete either","scan_check_nbac_scan_lap"
"ra_scan_check_list_sstrc","Integer","","Recommended","","How many runs completed for SST?","0 ; 1 ; 2","0 = 0; 1 = 1; 2 = 2","scan_check_sstrc"
"ra_scan_cl_sst_scan_lap","Integer","","Recommended","","Was the SST task run in the scanner or laptop?","1 ; 2 ; 3 ; 0","1 = Scanner; 2 = Laptop; 3 = Scanner and Laptop; 0 = Did not complete either","scan_check_sst_scan_lap"
