"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"sleep_dis_select_language___1","Integer","","Recommended","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","sleep_select_language_p"
"sleepdisturb1_p","Integer","","Recommended","How many hours of sleep does your child get on most nights? ¿Cuántas horas duerme su niño(a) la mayoría de las noches?","1 ; 2 ; 3 ; 4 ; 5","1 = 9-11 hours/ 9 a 11 horas; 2 = 8-9 hours /8 a 9 horas; 3 = 7-8 hours /7 a 8 horas; 4 = 5-7 hours /5 a 7 horas; 5 = Less than 5 hours/ Menos de 5 horas// Consider each question pertaining to the PAST 6 MONTHS of the child's life","sleep_1_p"
"sleepdisturb2_p","Integer","","Recommended","How long after going to bed does your child usually fall asleep? Después de acostarse ¿generalmente cuánto tiempo tarda su niño(a) en quedarse dormido(a)?","1 ; 2 ; 3 ; 4 ; 5","1 = Less than 15 minutes /Menos de 15 minutos; 2 = 15-30 minutes 15 a 30 minutos; 3 = 30-45 minutes /30 a 45 minutos; 4 = 45-60 minutes /45 a 60 minutos; 5 = More than 60 minutes /Más de 60 minutos//Consider each question pertaining to the PAST 6 MONTHS of the child's life","sleep_2_p"
"sleepdisturb3_p","Integer","","Recommended","The child goes to bed reluctantly. El niño/ la niña se va a la cama de mala gana.","1 ; 2 ; 3 ; 4 ; 5","1 = Never /Nunca; 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos); 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana); 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana); 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life","sleep_3_p"
"sleepdisturb4_p","Integer","","Recommended","The child has difficulty getting to sleep at night. El niño / la niña tiene dificultad quedándose dormido(a) en la noche.","1 ; 2 ; 3 ; 4 ; 5","1 = Never /Nunca; 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos); 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana); 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana); 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life","sleep_4_p"
"sleepdisturb5_p","Integer","","Recommended","The child feels anxious or afraid when falling asleep. El niño / la niña siente ansiedad o miedo cuando se está quedando dormido(a).","1 ; 2 ; 3 ; 4 ; 5","1 = Never /Nunca; 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos); 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana); 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana); 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life","sleep_5_p"
"sleepdisturb6_p","Integer","","Recommended","The child startles or jerks parts of the body while falling asleep. El niño / la niña se sobresalta o sacude partes del cuerpo mientras se está quedando dormido(a).","1 ; 2 ; 3 ; 4 ; 5","1 = Never /Nunca; 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos); 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana); 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana); 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life","sleep_6_p"
"sleepdisturb7_p","Integer","","Recommended","The child shows repetitive actions such as rocking or head banging while falling asleep. El niño / la niña muestra acciones repetitivas como mecerse o golpear la cabeza contra algo mientras se está quedando dormido(a).","1 ; 2 ; 3 ; 4 ; 5","1 = Never /Nunca; 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos); 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana); 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana); 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life","sleep_7_p"
"sleepdisturb8_p","Integer","","Recommended","The child experiences vivid dream-like scenes while falling asleep. El niño / la niña experimenta escenas vívidas como si fuera un sueño mientras se está quedando dormido(a).","1 ; 2 ; 3 ; 4 ; 5","1 = Never /Nunca; 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos); 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana); 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana); 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life","sleep_8_p"
"sleepdisturb9_p","Integer","","Recommended","The child sweats excessively while falling asleep. El niño / la niña suda excesivamente mientras se está quedando dormido(a).","1 ; 2 ; 3 ; 4 ; 5","1 = Never /Nunca; 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos); 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana); 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana); 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life","sleep_9_p"
"sleepdisturb10_p","Integer","","Recommended","The child wakes up more than twice per night. El niño / la niña se despierta más de dos veces por noche.","1 ; 2 ; 3 ; 4 ; 5","1 = Never /Nunca; 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos); 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana); 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana); 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life","sleep_10_p"
"sleepdisturb11_p","Integer","","Recommended","After waking up in the night, the child has difficulty to fall asleep again. Después de despertarse en la noche, el niño / la niña tiene dificultad para quedarse dormido(a) de nuevo.","1 ; 2 ; 3 ; 4 ; 5","1 = Never /Nunca; 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos); 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana); 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana); 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life","sleep_11_p"
