"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"socialdev_capq_pcr","String","60","Recommended","","What is your relationship to your primary caregiver?","","",""
"socialdev_capq_pcg","Integer","","Recommended","","Mark which gender this person is.","0::2","0  Female | 1  Male | 2  Other",""
"socialdev_capq_sc","Integer","","Recommended","","Is there another adult who also helps take care of you?","","",""
"socialdev_capq_scr","String","60","Recommended","socialdev_capq_sc==1","What is your relationship to this secondary caregiver?","","",""
"socialdev_capq_scg","Integer","","Recommended","socialdev_capq_sc==1","Mark which gender this person is.","0::2","0  Female | 1  Male | 2  Other",""
"socialdev_capq_01","Integer","","Recommended","","You have a friendly talk with your mom."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_01a","Integer","","Recommended","socialdev_capq_sc==1","How about your dad?"," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_02","Integer","","Recommended","","Your parents tell you that you are doing a good job."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_03","Integer","","Recommended","","Your parents threaten to punish you and then do not do it."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_04","Integer","","Recommended","","Your mom helps with some of your special activities (such as sports  boy/girl scouts  church youth groups)."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_04a","Integer","","Recommended","socialdev_capq_sc==1","How about your dad?"," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_05","Integer","","Recommended","","Your parents reward or give something extra to you for behaving well."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_06","Integer","","Recommended","","You fail to leave a note or let your parents know where you are going."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_07","Integer","","Recommended","","You play games or do other fun things with your mom."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_07a","Integer","","Recommended","socialdev_capq_sc==1","How about your dad?"," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_08","Integer","","Recommended","","You talk your parents out of punishing you after you have done something wrong."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_09","Integer","","Recommended","","Your mom asks you about your day in school."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_09a","Integer","","Recommended","socialdev_capq_sc==1","How about your dad?"," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_10","Integer","","Recommended","","You stay out in the evening past the time you are supposed to be home."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_11","Integer","","Recommended","","Your mom helps you with your homework."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_11a","Integer","","Recommended","socialdev_capq_sc==1","How about your dad?"," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_12","Integer","","Recommended","","Your parents give up trying to get you to obey them because it's too much trouble."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_13","Integer","","Recommended","","Your parents compliment you when you have done something well."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_14","Integer","","Recommended","","Your mom asks you what your plans are for the coming day."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_14a","Integer","","Recommended","socialdev_capq_sc==1","How about your dad?"," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_15","Integer","","Recommended","","Your mom drives you to a special activity."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_15a","Integer","","Recommended","socialdev_capq_sc==1","How about your dad?"," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_16","Integer","","Recommended","","Your parents praise you for behaving well."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_17","Integer","","Recommended","","Your parents do not know the friends you are with."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_18","Integer","","Recommended","","Your parents hug or kiss you when you have done something very well."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_19","Integer","","Recommended","","You go out without a set time to be home."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_20","Integer","","Recommended","","Your mom talks to you about your friends."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_20a","Integer","","Recommended","socialdev_capq_sc==1","How about your dad?"," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_21","Integer","","Recommended","","You go out after dark without an adult with you."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_22","Integer","","Recommended","","Your parents let you out of a punishment early (like lift restrictions earlier than they originally said)."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_23","Integer","","Recommended","","You help plan family activities."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_24","Integer","","Recommended","","Your parents get so busy that they forget where you are and what you are doing."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_25","Integer","","Recommended","","Your parents do not punish you when you have done something wrong."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
