"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"socialdev_pders_01","Integer","","Recommended","I am clear about my feelings.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_02","Integer","","Recommended","I pay attention to how I feel.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_03","Integer","","Recommended","I experience my emotions as overwhelming and out of control.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_04","Integer","","Recommended","I have no idea how I am feeling.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_05","Integer","","Recommended","I have difficulty making sense out of my feelings.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_06","Integer","","Recommended","I am attentive to my feelings.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_07","Integer","","Recommended","I know exactly how I am feeling.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_08","Integer","","Recommended","I care about what I am feeling.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_09","Integer","","Recommended","I am confused about how I feel.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_10","Integer","","Recommended","When I'm upset  I acknowledge my emotions.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_11","Integer","","Recommended","When I'm upset  I become angry with myself for feeling that way.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_12","Integer","","Recommended","When I'm upset  I become embarrassed for feeling that way.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_13","Integer","","Recommended","When I'm upset  I have difficulty getting work done.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_14","Integer","","Recommended","When I'm upset  I become out of control.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_15","Integer","","Recommended","When I'm upset  I believe that I will remain that way for a long time.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_16","Integer","","Recommended","When I'm upset  I believe that I will end up feeling very depressed.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_17","Integer","","Recommended","When I'm upset  I believe that my feelings are valid and important.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_18","Integer","","Recommended","When I'm upset  I have difficulty focusing on other things.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_19","Integer","","Recommended","When I'm upset  I feel out of control.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_20","Integer","","Recommended","When I'm upset  I can still get things done.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_21","Integer","","Recommended","When I'm upset  I feel ashamed at myself for feeling that way.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_22","Integer","","Recommended","When I'm upset  I know that I can find a way to eventually feel better.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_23","Integer","","Recommended","When I'm upset  I feel like I am weak.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_24","Integer","","Recommended","When I'm upset  I feel like I can remain in control of my behaviors.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_25","Integer","","Recommended","When I'm upset  I feel guilty for feeling that way.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_26","Integer","","Recommended","When I'm upset  I have difficulty concentrating.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_27","Integer","","Recommended","When I'm upset  I have difficulty controlling my behaviors.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_28","Integer","","Recommended","When I'm upset  I believe there is nothing I can do to make myself feel better.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_29","Integer","","Recommended","When I'm upset  I become irritated at myself for feeling that way.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_30","Integer","","Recommended","When I'm upset  I start to feel very bad about myself.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_31","Integer","","Recommended","When I'm upset  I believe that wallowing in it is all I can do.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_32","Integer","","Recommended","When I'm upset  I lose control over my behavior.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_33","Integer","","Recommended","When I'm upset  I have difficulty thinking about anything else.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_34","Integer","","Recommended","When I'm upset  I take time to figure out what I'm really feeling.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_35","Integer","","Recommended","When I'm upset  it takes me a long time to feel better.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
"socialdev_pders_36","Integer","","Recommended","When I'm upset  my emotions feel overwhelming.","0::4","0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always",""
