"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"socialdev_prd_01","Integer","","Recommended","","Has your child ever received an in-school detention?","0;1;2;98;99","0=Never; 1=Once or twice; 2=More often; 98=I don't know; 99=I'd rather not say",""
"socialdev_prd_01a","Integer","","Recommended","socialdev_prd_01 == 1 || socialdev_prd_01 == 2","Did this happen in the last 12 months?","1;0;98","1=Yes; 0=No; 98=I don't know",""
"socialdev_prd_01b","Integer","","Recommended","socialdev_prd_01 == 1 || socialdev_prd_01 == 2","How old was your child the first time this happened?","","",""
"socialdev_prd_02","Integer","","Recommended","","Has your child received an in-school or out-of-school suspension?","0;1;2;98;99","0=Never; 1=Once or twice; 2=More often; 98=I don't know; 99=I'd rather not say",""
"socialdev_prd_02a","Integer","","Recommended","socialdev_prd_02 == 1 || socialdev_prd_02 == 2","Did this happen in the last 12 months?","1;0;98","1=Yes; 0=No; 98=I don't know",""
"socialdev_prd_02b","Integer","","Recommended","socialdev_prd_02 == 1 || socialdev_prd_02 == 2","How old was your child the first time this happened?","","",""
"socialdev_prd_03","Integer","","Recommended","","Has your child been expelled from school?","0;1;2;98;99","0=Never; 1=Once or twice; 2=More often; 98=I don't know; 99=I'd rather not say",""
"socialdev_prd_03a","Integer","","Recommended","socialdev_prd_03 == 1 || socialdev_prd_03 == 2","Did this happen in the last 12 months?","1;0;98","1=Yes; 0=No; 98=I don't know",""
"socialdev_prd_03b","Integer","","Recommended","socialdev_prd_03 == 1 || socialdev_prd_03 == 2","How old was your child the first time this happened?","","",""
"socialdev_prd_04","Integer","","Recommended","","Has your child cheated on school tests or assignments?","0;1;2;98;99","0=Never; 1=Once or twice; 2=More often; 98=I don't know; 99=I'd rather not say",""
"socialdev_prd_04a","Integer","","Recommended","socialdev_prd_04 == 1 || socialdev_prd_04 == 2","Did this happen in the last 12 months?","1;0;98","1=Yes; 0=No; 98=I don't know",""
"socialdev_prd_04b","Integer","","Recommended","socialdev_prd_04 == 1 || socialdev_prd_04 == 2","How old was your child the first time this happened?","","",""
"socialdev_prd_04e","Integer","","Recommended","socialdev_prd_04 == 1 || socialdev_prd_04 == 2","Did you find out by your child telling you voluntarily?","1;0","1=Yes; 0=No",""
"socialdev_prd_05","Integer","","Recommended","","Has your child been <i>caught</i> cheating on school tests?","0;1;2;98;99","0=Never; 1=Once or twice; 2=More often; 98=I don't know; 99=I'd rather not say",""
"socialdev_prd_05a","Integer","","Recommended","socialdev_prd_05 == 1 || socialdev_prd_05 == 2","Did this happen in the last 12 months?","1;0;98","1=Yes; 0=No; 98=I don't know",""
"socialdev_prd_05b","Integer","","Recommended","socialdev_prd_05 == 1 || socialdev_prd_05 == 2","How old was your child the first time this happened?","","",""
"socialdev_prd_06","Integer","","Recommended","","Has your child skipped school without an excuse (like without approval from you or another parent/caregiver for illness or a doctor's appointment)?","0;1;2;98;99","0=Never; 1=Once or twice; 2=More often; 98=I don't know; 99=I'd rather not say",""
"socialdev_prd_06a","Integer","","Recommended","socialdev_prd_06 == 1 || socialdev_prd_06 == 2","Did this happen in the last 12 months?","1;0;98","1=Yes; 0=No; 98=I don't know",""
"socialdev_prd_06b","Integer","","Recommended","socialdev_prd_06 == 1 || socialdev_prd_06 == 2","How old was your child the first time this happened?","","",""
"socialdev_prd_07","Integer","","Recommended","","Has your child been sent home from school for bad behavior?","0;1;2;98;99","0=Never; 1=Once or twice; 2=More often; 98=I don't know; 99=I'd rather not say",""
"socialdev_prd_07a","Integer","","Recommended","socialdev_prd_07 == 1 || socialdev_prd_07 == 2","Did this happen in the last 12 months?","1;0;98","1=Yes; 0=No; 98=I don't know",""
"socialdev_prd_07b","Integer","","Recommended","socialdev_prd_07 == 1 || socialdev_prd_07 == 2","How old was your child the first time this happened?","","",""
"socialdev_prd_08","Integer","","Recommended","","Has your child broken, damaged, or destroyed something on purpose that belonged to you or other people in your family?","0;1;2;98;99","0=Never; 1=Once or twice; 2=More often; 98=I don't know; 99=I'd rather not say",""
"socialdev_prd_08a","Integer","","Recommended","socialdev_prd_08 == 1 || socialdev_prd_08 == 2","Did this happen in the last 12 months?","1;0;98","1=Yes; 0=No; 98=I don't know",""
"socialdev_prd_08b","Integer","","Recommended","socialdev_prd_08 == 1 || socialdev_prd_08 == 2","How old was your child the first time this happened?","","",""
"socialdev_prd_09","Integer","","Recommended","","Has your child broken, damaged, or destroyed something on purpose belonging to a school?","0;1;2;98;99","0=Never; 1=Once or twice; 2=More often; 98=I don't know; 99=I'd rather not say",""
"socialdev_prd_09a","Integer","","Recommended","socialdev_prd_09 == 1 || socialdev_prd_09 == 2","Did this happen in the last 12 months?","1;0;98","1=Yes; 0=No; 98=I don't know",""
"socialdev_prd_09b","Integer","","Recommended","socialdev_prd_09 == 1 || socialdev_prd_09 == 2","How old was your child the first time this happened?","","",""
"socialdev_prd_10","Integer","","Recommended","","Has your child broken, damaged, or destroyed other things on purpose that did not belong to him/her, not counting things that belong to your family and school?","0;1;2;98;99","0=Never; 1=Once or twice; 2=More often; 98=I don't know; 99=I'd rather not say",""
"socialdev_prd_10a","Integer","","Recommended","socialdev_prd_10 == 1 || socialdev_prd_10 == 2","Did this happen in the last 12 months?","1;0;98","1=Yes; 0=No; 98=I don't know",""
"socialdev_prd_10b","Integer","","Recommended","socialdev_prd_10 == 1 || socialdev_prd_10 == 2","How old was your child the first time this happened?","","",""
"socialdev_prd_11","Integer","","Recommended","","Has your child written things or sprayed paint on walls, sidewalks, or cars without permission?","0;1;2;98;99","0=Never; 1=Once or twice; 2=More often; 98=I don't know; 99=I'd rather not say",""
"socialdev_prd_11a","Integer","","Recommended","socialdev_prd_11 == 1 || socialdev_prd_11 == 2","Did this happen in the last 12 months?","1;0;98","1=Yes; 0=No; 98=I don't know",""
"socialdev_prd_11b","Integer","","Recommended","socialdev_prd_11 == 1 || socialdev_prd_11 == 2","How old was your child the first time this happened?","","",""
"socialdev_prd_12","Integer","","Recommended","","Has your child purposely set fire to a building, a car, or something else or tried to do so?","0;1;2;98;99","0=Never; 1=Once or twice; 2=More often; 98=I don't know; 99=I'd rather not say",""
"socialdev_prd_12a","Integer","","Recommended","socialdev_prd_12 == 1 || socialdev_prd_12 == 2","Did this happen in the last 12 months?","1;0;98","1=Yes; 0=No; 98=I don't know",""
"socialdev_prd_12b","Integer","","Recommended","socialdev_prd_12 == 1 || socialdev_prd_12 == 2","How old was your child the first time this happened?","","",""
