"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"socialdev_pvict_c1","Integer","","Recommended","","At any time in your child's life, did anyone use force to take something away from your child that he/she was carrying or wearing?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_c2","Integer","","Recommended","","At any time in your child's life, did anyone steal something from your child and never give it back?  Things like a backpack, money, watch, clothing, bike, cell phone, computer, or anything else?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_c3","Integer","","Recommended","","At any time in your child's life, did anyone break or ruin any of your child's things on purpose?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_c4","Integer","","Recommended","","Sometimes people are attacked with sticks, rocks, guns, knives, or other things that could hurt.  At any time in your child's life, did anyone hit or attack your child on purpose with an object or weapon?  Somewhere like: at home, at school, at a store, in a car, on the street, or anywhere else?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_c5","Integer","","Recommended","","At any time in your child's life, did anyone hit or attack your child WITHOUT using a weapon?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_c6","Integer","","Recommended","","At any time in your child's life, did someone start to  attack your child, but for some reason it didn't happen?  For example, someone helped your child, or your child got away?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_c7","Integer","","Recommended","","At any time in your child's life, did someone threaten to hurt your child when your child thought they might really do it?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_c8","Integer","","Recommended","","When a person is kidnapped, it means they were made to go somewhere, like into a car, by someone whom they thought might hurt them.  At any time in your child's life, has anyone ever tried to kidnap your child?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_c9","Integer","","Recommended","","At any time in your child's life, has your child been hit or attacked because of your child's skin color, religion, or where your child's family comes from?  Or because of a physical problem your child has?  Or because someone said your child was gay?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_p1","Integer","","Recommended","","Sometimes groups of kids or gangs attack people.  At any time in your child's life, did a group of kids or a gang hit, jump, or attack your child?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_p2","Integer","","Recommended","","At any time in your child's life, did any kid, even a brother or sister, hit your child?  Somewhere like: at home, at school, out playing, in a store, or anywhere else?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_p3","Integer","","Recommended","","At any time in your child's life, did any kids try to hurt your child's private parts on purpose by hitting or kicking your child there?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_p4","Integer","","Recommended","","At any time in your child's life, did any kids, even a brother or sister, pick on your child by chasing, or grabbing your child, or by making him/her do something he/she didn't want to do?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_p5","Integer","","Recommended","","At any time in your child's life, did your child get really scared or feel really bad because kids were calling him/her names, saying mean things to him/her, or saying they didn't want your child around?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_p6","Integer","","Recommended","","At any time in your child's life, did a boyfriend or girlfriend or anyone your child went on a date with slap or hit your child?","1;0;98;99; 999","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say; 999=My child has never dated (not applicable)",""
"socialdev_pvict_p7","Integer","","Recommended","","At any time in your child's life, did any kids ever tell lies or spread rumors about your child or try to make others dislike him/her?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_p8","Integer","","Recommended","","At any time in your child's life, did any kids ever keep him/her out of things on purpose, exclude him/her from their group of friends, or completely ignore your child?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_w1","Integer","","Recommended","","At any time in your child's life did your child SEE a parent get pushed, slapped, hit, punched, or beat up by another parent, or their boyfriend or girlfriend?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_w2","Integer","","Recommended","","At any time in your child's life did your child SEE a parent hit, beat, kick, or physically hurt your child's brothers or sisters, not including a spanking on the bottom?","1;0;98;99; 999","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say; 999=My child is an only child",""
"socialdev_pvict_w3","Integer","","Recommended","","At any time in your child's life did your child SEE anyone get attacked or hit on purpose WITH a stick, rock, gun, knife, or other thing that would hurt?  Somewhere like: at home, at school, at a store, in a car, on the street, or anywhere else?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_w4","Integer","","Recommended","","At any time in your child's life did your child SEE anyone get attacked or hit on purpose WITHOUT using a stick, rock, gun, knife, or other thing that would hurt?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_w5","Integer","","Recommended","","At any time in your child's life, did anyone steal something from your house that belongs to your child's family or someone your child lives with?  Things like a TV, stereo, car, or anything else?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_w6","Integer","","Recommended","","At any time in your child's life, was anyone close to your child murdered, like a friend, neighbor or someone in your child's family?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_w8","Integer","","Recommended","","At any time in your child's life, was your child in any place in real life where he/she could see or hear people being shot, bombs going off, or street riots?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_w9","Integer","","Recommended","","At any time in your child's life, was your child in the middle of a war where he/she could hear real fighting with guns or bombs?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_g1","Integer","","Recommended","","At any time in your child's life, did anyone hurt or threaten him/her with a real gun?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_g2","Integer","","Recommended","","At any time in your child's life, did he/she see someone else get hurt or threatened with a real gun?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_pvict_sc1","Integer","","Recommended","","Has your child ever gone to a school where someone said there was going to be a bomb or attack on the school and your child thought they might really mean it?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
