"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"socialdev_visit_01","Integer","","Recommended","","Is this visit being completed on the same day as the ABCD visit  or on a separate day?","1;2","1 = Same day; 2=  Separate day",""
"socialdev_visit_02","Integer","","Recommended","socialdev_visit_01 ==2","Which caregiver is completing today's visit?","1;2","1 = Primary caregiver; 2=  Secondary caregiver",""
"socialdev_visit_03","Integer","","Recommended","","Has a Change of Caregiver form been filled out for this visit","0;1","1 = Yes; 0=No",""
"socialdev_visit_consent","Integer","","Recommended","","Did the participants legal guardians give consent for participation in the Social Development SubStudy?","0;1","1 = Yes; 0=No",""
"socialdev_visit_assent","Integer","","Recommended","","Did the participant assented to participation into the Social Development SubStudy?","0;1","1 = Yes; 0=No",""
"socialdev_visit_date","String","30","Recommended","","Visit date for Social Development Sub-Study","","",""
