"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"tlfb_cal_scr_assess_date","Date","","Recommended","Assessment Date","","","su_tlfb_cal_scr_assess_date"
"tlfb_cal_scr_num_events","Integer","","Recommended","Number of recorded substance used events. Multiple usages per day for a substance are pooled together.","","","su_tlfb_cal_scr_num_events"
"tlfb_cal_scr_num_bde","Integer","","Recommended","Number of binge drinking episodes (use per event >= 4 for female, >= 5 for male)","","","su_tlfb_cal_scr_num_bde"
"tlfb_cal_scr_tot_bde","Integer","","Recommended","Binge drinking episodes total use","","","su_tlfb_cal_scr_tot_bde"
"tlfb_cal_scr_drinksperbinge","Float","","Recommended","Binge drinks per binge occasion","","","su_tlfb_cal_scr_drinksperbinge"
"tlfb_cal_scr_alc_avg","Float","","Recommended","Average standard drinks on use days","","","su_tlfb_cal_scr_alc_avg"
"tlfb_cal_scr_alc_ud","Float","","Recommended","Number of alcohol use days","","","su_tlfb_cal_scr_alc_ud"
"tlfb_cal_scr_alc_td","Float","","Recommended","Total dose standard drinks","","","su_tlfb_cal_scr_alc_td"
"tlfb_cal_scr_alc_max","Float","","Recommended","Max dose standard drinks","","","su_tlfb_cal_scr_alc_max"
"tlfb_cal_scr_alc_wu","Float","","Recommended","Number of standard drinks weekend use days","","","su_tlfb_cal_scr_alc_wu"
"tlfb_cal_scr_alc_wt","Float","","Recommended","Standard drinks weekend use total","","","su_tlfb_cal_scr_alc_wt"
"tlfb_cal_scr_alc_lud","String","30","Recommended","Alcohol drinks last use day","","","su_tlfb_cal_scr_alc_lud"
"tlfb_cal_scr_opiaterx_avg","Float","","Recommended","Average pain relievers on use days","","","su_tlfb_cal_scr_opiaterx_avg"
"tlfb_cal_scr_opiaterx_ud","Float","","Recommended","Number of pain relievers use days","","","su_tlfb_cal_scr_opiaterx_ud"
"tlfb_cal_scr_opiaterx_td","Float","","Recommended","Total dose pain relievers","","","su_tlfb_cal_scr_opiaterx_td"
"tlfb_cal_scr_opiaterx_max","Float","","Recommended","Max dose pain relievers","","","su_tlfb_cal_scr_opiaterx_max"
"tlfb_cal_scr_opiaterx_wu","Float","","Recommended","Number of pain relievers weekend use","","","su_tlfb_cal_scr_opiaterx_wu"
"tlfb_cal_scr_opiaterx_wt","Float","","Recommended","Pain relievers weekend use total","","","su_tlfb_cal_scr_opiaterx_wt"
"tlfb_cal_scr_opiaterx_lud","String","30","Recommended","Pain relievers last use day","","","su_tlfb_cal_scr_opiaterx_lud"
"tlfb_cal_scr_blunt_avg","Float","","Recommended","Average blunts on use days","","","su_tlfb_cal_scr_blunt_avg"
"tlfb_cal_scr_blunt_ud","Float","","Recommended","Number of blunts use days","","","su_tlfb_cal_scr_blunt_ud"
"tlfb_cal_scr_blunt_td","Float","","Recommended","Total dose blunts","","","su_tlfb_cal_scr_blunt_td"
"tlfb_cal_scr_blunt_max","Float","","Recommended","Max dose blunts","","","su_tlfb_cal_scr_blunt_max"
"tlfb_cal_scr_blunt_wu","Float","","Recommended","Number of blunts weekend use days","","","su_tlfb_cal_scr_blunt_wu"
"tlfb_cal_scr_blunt_wt","Float","","Recommended","Blunts weekend use total","","","su_tlfb_cal_scr_blunt_wt"
"tlfb_cal_scr_blunt_lud","String","30","Recommended","Blunt last use day","","","su_tlfb_cal_scr_blunt_lud"
"tlfb_cal_scr_ket_avg","Float","","Recommended","Average Ketamine on use days","","","su_tlfb_cal_scr_ket_avg"
"tlfb_cal_scr_ket_ud","Float","","Recommended","Number of Ketamine use days","","","su_tlfb_cal_scr_ket_ud"
"tlfb_cal_scr_ket_td","Float","","Recommended","Total dose Ketamine","","","su_tlfb_cal_scr_ket_td"
"tlfb_cal_scr_ket_max","Float","","Recommended","Max dose Ketamine","","","su_tlfb_cal_scr_ket_max"
"tlfb_cal_scr_ket_wu","Float","","Recommended","Number of Ketamine weekend use days","","","su_tlfb_cal_scr_ket_wu"
"tlfb_cal_scr_ket_wt","Float","","Recommended","Ketamine weekend use total","","","su_tlfb_cal_scr_ket_wt"
"tlfb_cal_scr_ket_lud","String","30","Recommended","Ketamine last use day","","","su_tlfb_cal_scr_ket_lud"
"tlfb_cal_scr_nicrx_avg","Float","","Recommended","Average nicotine replacements on use days","","","su_tlfb_cal_scr_nicrx_avg"
"tlfb_cal_scr_nicrx_ud","Float","","Recommended","Number of nicotine replacement use days","","","su_tlfb_cal_scr_nicrx_ud"
"tlfb_cal_scr_nicrx_td","Float","","Recommended","Total dose nicotine replacements","","","su_tlfb_cal_scr_nicrx_td"
"tlfb_cal_scr_nicrx_max","Float","","Recommended","Max dose nicotine replacements","","","su_tlfb_cal_scr_nicrx_max"
"tlfb_cal_scr_nicrx_wu","Float","","Recommended","Number of nicotine replacements weekend use days","","","su_tlfb_cal_scr_nicrx_wu"
"tlfb_cal_scr_nicrx_wt","Float","","Recommended","Nicotine replacements weekend use total","","","su_tlfb_cal_scr_nicrx_wt"
"tlfb_cal_scr_nicrx_lud","String","30","Recommended","Nicotine replacements last use day","","","su_tlfb_cal_scr_nicrx_lud"
"tlfb_cal_scr_bthslt_avg","Float","","Recommended","Average cathiones on use days","","","su_tlfb_cal_scr_bthslt_avg"
"tlfb_cal_scr_bthslt_ud","Float","","Recommended","Number of cathiones use days","","","su_tlfb_cal_scr_bthslt_ud"
"tlfb_cal_scr_bthslt_td","Float","","Recommended","Total dose cathiones","","","su_tlfb_cal_scr_bthslt_td"
"tlfb_cal_scr_bthslt_max","Float","","Recommended","Max dose cathiones","","","su_tlfb_cal_scr_bthslt_max"
"tlfb_cal_scr_bthslt_wu","Float","","Recommended","Number of cathiones weekend use days","","","su_tlfb_cal_scr_bthslt_wu"
"tlfb_cal_scr_bthslt_wt","Float","","Recommended","Cathiones weekend use total","","","su_tlfb_cal_scr_bthslt_wt"
"tlfb_cal_scr_bthslt_lud","String","30","Recommended","Cathiones last use day","","","su_tlfb_cal_scr_bthslt_lud"
"tlfb_cal_scr_fake_avg","Float","","Recommended","Average bittamugen on use days","","","su_tlfb_cal_scr_fake_avg"
"tlfb_cal_scr_fake_ud","Float","","Recommended","Number of bittamugen use days","","","su_tlfb_cal_scr_fake_ud"
"tlfb_cal_scr_fake_td","Float","","Recommended","Total dose bittamugen","","","su_tlfb_cal_scr_fake_td"
"tlfb_cal_scr_fake_max","Float","","Recommended","Max dose bittamugen","","","su_tlfb_cal_scr_fake_max"
"tlfb_cal_scr_fake_wu","Float","","Recommended","Number of bittamugen weekend use days","","","su_tlfb_cal_scr_fake_wu"
