"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"tmidr1semdp_972","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere posterior-ventral part of the cingulate gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.cingul.post.ventral.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_gcingulpostventralrh"
"tmidr1semdp_973","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere cuneus","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.cuneus.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_gcuneusrh"
"tmidr1semdp_974","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere opercular part of the inferior frontal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.front.inf.opercular.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_gfrontinfopercularrh"
"tmidr1semdp_975","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere orbital part of the inferior frontal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.front.inf.orbital.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_gfrontinforbitalrh"
"tmidr1semdp_976","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere triangular part of the inferior frontal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.front.inf.triangul.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_gfrontinftriangulrh"
"tmidr1semdp_977","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere middle frontal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.front.middle.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_gfrontmiddlerh"
"tmidr1semdp_978","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere superior frontal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.front.sup.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_gfrontsuprh"
"tmidr1semdp_979","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere long insular gyrus and central sulcus of the insula","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.ins.lg.and.s.cent.ins.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_ginslgandscentinsrh"
"tmidr1semdp_980","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere short insular gyri","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.insular.short.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_ginsularshortrh"
"tmidr1semdp_981","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere middle occipital gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.occipital.middle.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_goccipitalmiddlerh"
"tmidr1semdp_982","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere superior occipital gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.occipital.sup.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_goccipitalsuprh"
"tmidr1semdp_983","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere lateral occipito-temporal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.oc.temp.lat.fusifor.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_goctemplatfusiforrh"
"tmidr1semdp_984","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere lingual gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.oc.temp.med.lingual.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_goctempmedlingualrh"
"tmidr1semdp_985","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere parahippocampal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.oc.temp.med.parahip.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_goctempmedparahiprh"
"tmidr1semdp_986","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere orbital gyri","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.orbital.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_gorbitalrh"
"tmidr1semdp_987","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere angular gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.pariet.inf.angular.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_gparietinfangularrh"
"tmidr1semdp_988","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere supramarginal gyrus","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.pariet.inf.supramar.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_gparietinfsupramarrh"
"tmidr1semdp_989","Float","","Recommended","Standard error of the mean for MID run1 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere superior parietal lobule","","","tfmri_mid_run1_antic.large.vs.small.reward_sem_cort.destrieux_g.parietal.sup.rh,tfmri_mid_run1_anticlargevssmallreward_sem_cortdestrieux_gparietalsuprh"
