"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"tnbasemdp_972","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI posterior-ventral part of the cingulate gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.cingul.post.ventral.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_gcingulpostventralrh"
"tnbasemdp_973","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI cuneus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.cuneus.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_gcuneusrh"
"tnbasemdp_974","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI opercular part of the inferior frontal gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.front.inf.opercular.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_gfrontinfopercularrh"
"tnbasemdp_975","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI orbital part of the inferior frontal gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.front.inf.orbital.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_gfrontinforbitalrh"
"tnbasemdp_976","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI triangular part of the inferior frontal gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.front.inf.triangul.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_gfrontinftriangulrh"
"tnbasemdp_977","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI middle frontal gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.front.middle.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_gfrontmiddlerh"
"tnbasemdp_978","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI superior frontal gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.front.sup.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_gfrontsuprh"
"tnbasemdp_979","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI long insular gyrus and central sulcus of the insula","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.ins.lg.and.s.cent.ins.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_ginslgandscentinsrh"
"tnbasemdp_980","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI short insular gyri","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.insular.short.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_ginsularshortrh"
"tnbasemdp_981","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI middle occipital gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.occipital.middle.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_goccipitalmiddlerh"
"tnbasemdp_982","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI superior occipital gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.occipital.sup.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_goccipitalsuprh"
"tnbasemdp_983","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.oc.temp.lat.fusifor.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_goctemplatfusiforrh"
"tnbasemdp_984","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI lingual gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.oc.temp.med.lingual.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_goctempmedlingualrh"
"tnbasemdp_985","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI parahippocampal gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.oc.temp.med.parahip.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_goctempmedparahiprh"
"tnbasemdp_986","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI orbital gyri","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.orbital.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_gorbitalrh"
"tnbasemdp_987","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI angular gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.pariet.inf.angular.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_gparietinfangularrh"
"tnbasemdp_988","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI supramarginal gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.pariet.inf.supramar.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_gparietinfsupramarrh"
"tnbasemdp_989","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI superior parietal lobule","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.parietal.sup.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_gparietalsuprh"
"tnbasemdp_990","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI postcentral gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.postcentral.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_gpostcentralrh"
"tnbasemdp_991","Float","","Recommended","Standard error of the mean for nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI precentral gyrus","","","tfmri_nback_all_emotion.vs.neutface_sem_cort.destrieux_g.precentral.rh,tfmri_nback_all_emotionvsneutface_sem_cortdestrieux_gprecentralrh"
