"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"zyg_ss_fam_no","Float","","Recommended","Fam. No.","","",""
"zyg_ss_rater","String","30","Recommended","Rater","","",""
"zyg_ss_age","Float","","Recommended","Twin's Age","","",""
"zyg_ss_consent_photos","Integer","","Recommended","Your Twin Consented to Twin Photos?","0 ; 1","1 = Yes; 0 = No",""
"zyg_ss_photos_y_n","Integer","","Recommended","Photos taken?","0 ; 1","1 = Yes; 0 = No",""
"zyg_ss_fac","Integer","","Recommended","Facial Appearance","0 ; 1 ; 2 ; 3 ; 4 ; 5","0 = 0 Not Observed; 1 = 1 Very similar; 2 = 2; 3 = 3; 4 = 4; 5 = 5 Not at All Similar",""
"zyg_ss_eye_col","Integer","","Recommended","Eye Color","0 ; 1 ; 2 ; 3 ; 4 ; 5","0 = 0 Not Observed; 1 = 1 Very similar; 2 = 2; 3 = 3; 4 = 4; 5 = 5 Not at All Similar",""
"zyg_ss_cmplxn","Integer","","Recommended","Complexion","0 ; 1 ; 2 ; 3 ; 4 ; 5","0 = 0 Not Observed; 1 = 1 Very similar; 2 = 2; 3 = 3; 4 = 4; 5 = 5 Not at All Similar",""
"zyg_ss_hair_col","Integer","","Recommended","Hair color","0 ; 1 ; 2 ; 3 ; 4 ; 5","0 = 0 Not Observed; 1 = 1 Very similar; 2 = 2; 3 = 3; 4 = 4; 5 = 5 Not at All Similar",""
"zyg_ss_hair_txtr","Integer","","Recommended","Hair texture","0 ; 1 ; 2 ; 3 ; 4 ; 5","0 = 0 Not Observed; 1 = 1 Very similar; 2 = 2; 3 = 3; 4 = 4; 5 = 5 Not at All Similar",""
"zyg_ss_hair_crly","Integer","","Recommended","Hair curliness","0 ; 1 ; 2 ; 3 ; 4 ; 5","0 = 0 Not Observed; 1 = 1 Very similar; 2 = 2; 3 = 3; 4 = 4; 5 = 5 Not at All Similar",""
"zyg_ss_hair_pttrn","Integer","","Recommended","Hair pattern","0 ; 1 ; 2 ; 3 ; 4 ; 5","0 = 0 Not Observed; 1 = 1 Very similar; 2 = 2; 3 = 3; 4 = 4; 5 = 5 Not at All Similar",""
"zyg_ss_hair_amt","Integer","","Recommended","Amount of hair","0 ; 1 ; 2 ; 3 ; 4 ; 5","0 = 0 Not Observed; 1 = 1 Very similar; 2 = 2; 3 = 3; 4 = 4; 5 = 5 Not at All Similar",""
"zyg_ss_ear_app","Integer","","Recommended","Ear appearance","0 ; 1 ; 2 ; 3 ; 4 ; 5","0 = 0 Not Observed; 1 = 1 Very similar; 2 = 2; 3 = 3; 4 = 4; 5 = 5 Not at All Similar",""
"zyg_ss_t1_hair_col","Integer","","Recommended","Hair color:","0 ; 1 ; 2 ; 3 ; 4","0 = light blond; 1 = blond; 2 = red; 3 = brown; 4 = black",""
"zyg_ss_t1_hair_dark","Integer","","Recommended","Hair darkness:","0 ; 1 ; 2","0 = light; 1 = medium; 2 = dark",""
"zyg_ss_t1_hair_txtr","Integer","","Recommended","Hair texture:","0 ; 1 ; 2","0 = coarse; 1 = medium; 2 = fine",""
"zyg_ss_t1_hair_amt","Integer","","Recommended","Amount of hair:","0 ; 1 ; 2","0 = lots; 1 = some; 2 = little",""
"zyg_ss_t1_hair_type","Integer","","Recommended","Hair type:","0 ; 1 ; 2","0 = curly; 1 = wavy; 2 = straight",""
"zyg_ss_t1_eye_col","Integer","","Recommended","Eye Color:","0 ; 1 ; 2 ; 3 ; 4","0 = blue; 1 = gray; 2 = green; 3 = hazel; 4 = brown",""
"zyg_ss_t2_hair_col","Integer","","Recommended","Hair color:","0 ; 1 ; 2 ; 3 ; 4","0 = light blond; 1 = blond; 2 = red; 3 = brown; 4 = black",""
"zyg_ss_t2_hair_dark","Integer","","Recommended","Hair darkness:","0 ; 1 ; 2","0 = light; 1 = medium; 2 = dark",""
"zyg_ss_t2_hair_txtr","Integer","","Recommended","Hair texture:","0 ; 1 ; 2","0 = coarse; 1 = medium; 2 = fine",""
"zyg_ss_t2_hair_amt","Integer","","Recommended","Amount of hair:","0 ; 1 ; 2","0 = lots; 1 = some; 2 = little",""
"zyg_ss_t2_hair_type","Integer","","Recommended","Hair type:","0 ; 1 ; 2","0 = curly; 1 = wavy; 2 = straight",""
"zyg_ss_t2_eye_col","Integer","","Recommended","Eye Color:","0 ; 1 ; 2 ; 3 ; 4","0 = blue; 1 = gray; 2 = green; 3 = hazel; 4 = brown",""
"zyg_ss_r1_judgement","Integer","","Recommended","Rating:","1 ; 2","1 = DZ; 2 = MZ",""
"zyg_ss_twin2_pguid","String","20","Recommended","Co-Twin's pGUID: Copy and pasted from REDCap by RAs","","",""
