"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"aeq_section_q01","Integer","","Recommended","Alcohol helps a person relax, feel happy, feel less tense, and can keep a person's mind off of mistakes at school or work.","1 ; 2 ; 3 ; 4 ; 5","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Uncertain; 4 = Agree Somewhat; 5 = Agree Strongly / tlfb_alc_l   == '1' ||  tlfb_alc_c_l   == '1'","su_aeq_01"
"aeq_section_q02","Integer","","Recommended","Alcohol can help how well a person gets along with others (makes people want to have fun together).","1 ; 2 ; 3 ; 4 ; 5","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Uncertain; 4 = Agree Somewhat; 5 = Agree Strongly / tlfb_alc_l   == '1' ||  tlfb_alc_c_l   == '1'","su_aeq_02"
"aeq_section_q03","Integer","","Recommended","Alcohol can hurt how well a person gets along with others (makes people mean to others).","1 ; 2 ; 3 ; 4 ; 5","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Uncertain; 4 = Agree Somewhat; 5 = Agree Strongly / tlfb_alc_l   == '1' ||  tlfb_alc_c_l   == '1'","su_aeq_03"
"aeq_section_q04","Integer","","Recommended","Alcohol helps people think better and helps coordination (people understand things better; can do things better).","1 ; 2 ; 3 ; 4 ; 5","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Uncertain; 4 = Agree Somewhat; 5 = Agree Strongly / tlfb_alc_l   == '1' ||  tlfb_alc_c_l   == '1'","su_aeq_04"
"aeq_section_q05","Integer","","Recommended","Alcohol hurts how people think and it hurts their coordination (run into things, act silly, have a hangover).","1 ; 2 ; 3 ; 4 ; 5","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Uncertain; 4 = Agree Somewhat; 5 = Agree Strongly / tlfb_alc_l   == '1' ||  tlfb_alc_c_l   == '1'","su_aeq_05"
"aeq_section_q06","Integer","","Recommended","Alcohol makes a person feel stronger and more powerful (easier to fight, speak in front of others, stand up to others).","1 ; 2 ; 3 ; 4 ; 5","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Uncertain; 4 = Agree Somewhat; 5 = Agree Strongly / tlfb_alc_l   == '1' ||  tlfb_alc_c_l   == '1'","su_aeq_06"
"aeq_section_q07","Integer","","Recommended","Alcohol can make people more careless or do things that could get them into trouble (do things they feel bad about; do things they regret).","1 ; 2 ; 3 ; 4 ; 5","1 = Disagree Strongly; 2 = Disagree Somewhat; 3 = Uncertain; 4 = Agree Somewhat; 5 = Agree Strongly / tlfb_alc_l   == '1' ||  tlfb_alc_c_l   == '1'","su_aeq_07"
"subj_resp_alc_1a_l","Float","","Recommended","The first 5 times you ever drank: how many drinks did it take for you to begin to feel different? (where you could feel an effect) DO NOT count sips taken as a child.","0 :: 30","If never, enter ""0"" / tlfb_alc_use_l   == '1' &&  tlfb_alc_use_c_l   == '0'","su_subj_resp_alc_1a_l"
"subj_resp_alc_2a_l","Float","","Recommended","The first 5 times you ever drank: How many drinks did it take for you to begin to feel a bit dizzy or to begin to slur your speech?","0 :: 30","If never, enter ""0"" / tlfb_alc_use_l   == '1' &&  tlfb_alc_use_c_l   == '0'","su_subj_resp_alc_2a_l"
"subj_resp_alc_3a_l","Float","","Recommended","The first 5 times you ever drank: How many drinks did it take for you to begin stumbling, or walking in an uncoordinated manner?","0 :: 30","If never, enter ""0"" / tlfb_alc_use_l   == '1' &&  tlfb_alc_use_c_l   == '0'","su_subj_resp_alc_3a_l"
"subj_resp_alc_4a_l","Float","","Recommended","The first 5 times you ever drank: How many drinks did it take you to pass out, or fall asleep when you did not want to?","0 :: 30","If never, enter ""0"" / tlfb_alc_use_l   == '1' &&  tlfb_alc_use_c_l   == '0'","su_subj_resp_alc_4a_l"
"subj_resp_alc_1b_l","Float","","Recommended","Recent 6 months (Drinking at least once a month for 3 consecutive months): How many drinks did it take for you to begin to feel different? (where you could feel an effect)","0 :: 30","If never, enter ""0"" / tlfb_alc_use_l   == '1' &&  tlfb_alc_use_c_l   == '0'","su_subj_resp_alc_1b_l"
"subj_resp_alc_2b_l","Float","","Recommended","Recent 6 months (Drinking at least once a month for 3 consecutive months): How many times did it take for you to begin to feel a bit dizzy or to begin to slur your speech?","0 :: 30","If never, enter ""0"" / tlfb_alc_use_l   == '1' &&  tlfb_alc_use_c_l   == '0'","su_subj_resp_alc_2b_l"
"subj_resp_alc_3b_l","Float","","Recommended","Recent 6 months (Drinking at least once a month for 3 consecutive months): How many drinks did it take for you to begin stumbling, or walking in an uncoordinated manner?","0 :: 30","If never, enter ""0"" / tlfb_alc_use_l   == '1' &&  tlfb_alc_use_c_l   == '0'","su_subj_resp_alc_3b_l"
"subj_resp_alc_4b_l","Float","","Recommended","Recent 6 months (Drinking at least once a month for 3 consecutive months): How many drinks did it take for you to pass out, or fall asleep when you did not want to?","0 :: 30","If never, enter ""0"" / tlfb_alc_use_l   == '1' &&  tlfb_alc_use_c_l   == '0'","su_subj_resp_alc_4b_l"
"subj_resp_alc_1c_l","Float","","Recommended","Period of heaviest drinking: How many drinks did it take for you to begin to feel different? (where you could feel an effect)","0 :: 30","If never, enter ""0"" / tlfb_alc_use_l   == '1' &&  tlfb_alc_use_c_l   == '0'","su_subj_resp_alc_1c_l"
"subj_resp_alc_2c_l","Float","","Recommended","Period of heaviest drinking: How many drinks did it take for you to begin to feel dizzy or to begin to slur your speech?","0 :: 30","If never, enter ""0"" / tlfb_alc_use_l   == '1' &&  tlfb_alc_use_c_l   == '0'","su_subj_resp_alc_2c_l"
"subj_resp_alc_3c_l","Float","","Recommended","Period of heaviest drinking: How many drinks did it take for you to begin stumbling, or walking in an uncoordinated manner?","0 :: 30","If never, enter ""0"" / tlfb_alc_use_l   == '1' &&  tlfb_alc_use_c_l   == '0'","su_subj_resp_alc_3c_l"
"subj_resp_alc_4c_l","Float","","Recommended","Period of heaviest drinking: How many drinks did it take for you to pass out, or to fall asleep when you did not want to?","0 :: 30","If never, enter ""0"" / tlfb_alc_use_l   == '1' &&  tlfb_alc_use_c_l   == '0'","su_subj_resp_alc_4c_l"
"hangover1_l","Integer","","Recommended","In the past 6 months, what percentage of drinking occasions were followed the next morning by: felt extremely thirsty or dehydrated.","0 ; 1 ; 2 ; 3 ; 4","0 = (0%)Never; 1 = (25%)Occasionally; 2 = (50%)About half the time; 3 = (75%)Most of the time; 4 = (100%)Every time / xskipout_alc_l   == '1'","su_hangover1_l"
