"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"hair_results_lan","Integer","","Recommended","LAN","","",""
"hair_results_entityid","Float","","Recommended","entityid","","",""
"hair_results_clientcode","String","200","Recommended","clientcode","","",""
"hair_results_section_begin","Float","","Recommended","reported section begin","","",""
"hair_results_section_end","Float","","Recommended","reported section end","","",""
"hair_results_cocaine_scrn","Integer","","Recommended","Cocaine","0 ; 1 ; 2","0 = NEG; 1 = POS; 2 = QNS",""
"hair_results_opiates_scrn","Integer","","Recommended","Opiates","0 ; 1 ; 2","0 = NEG; 1 = POS; 2 = QNS",""
"hair_results_pcp_scrn","Integer","","Recommended","PCP","0 ; 1 ; 2","0 = NEG; 1 = POS; 2 = QNS",""
"hair_results_meth_scrn","Integer","","Recommended","Amps (Meth/MDMA)","0 ; 1 ; 2","0 = NEG; 1 = POS; 2 = QNS",""
"hair_results_thc_scrn","Integer","","Recommended","THC","0 ; 1 ; 2","0 = NEG; 1 = POS; 2 = QNS",""
"hair_results_etg_scrn","Integer","","Recommended","EtG","0 ; 1 ; 2","0 = NEG; 1 = POS; 2 = QNS",""
"hair_results_cotinine_scrn","Integer","","Recommended","Cotinine","0 ; 1 ; 2","0 = NEG; 1 = POS; 2 = QNS",""
"hair_results_adderal_scrn","Integer","","Recommended","Amp (Adderal)","0 ; 1 ; 2","0 = NEG; 1 = POS; 2 = QNS",""
"hair_results_benzos1_scrn","Integer","","Recommended","Benzos1","0 ; 1 ; 2","0 = NEG; 1 = POS; 2 = QNS",""
"hair_results_benzos2_scrn","Integer","","Recommended","Benzos2","0 ; 1 ; 2","0 = NEG; 1 = POS; 2 = QNS",""
"hair_results_sample_weight","Float","","Recommended","initial hair sample_weight","","",""
"hair_results_meth_confirm","String","30","Recommended","Methamphetamine/MDMA (ng/10 mg hair)","","",""
"hair_results_amp_confirm","String","30","Recommended","Amphetamine/Adderal  (ng/10 mg hair)","","",""
"hair_results_cthc_confirm","String","30","Recommended","Carboxy-THC (marijuana metabolite; pg/10 mg)","","",""
"hair_results_etg_confirm","String","30","Recommended","EtG (ethanol consumption; pg/mg hair)","","",""
"hair_results_cot_confirm","String","30","Recommended","Cotinine (nicotine; ng/10 mg hair)","","",""
"hair_results_norocot_confirm","String","30","Recommended","Norcotinine (nicotine; ng/10 mg hair)","","",""
"hair_results_thc_confirm","String","30","Recommended","THC (ng/10 mg hair)","","",""
"hair_results_cbn_confirm","String","30","Recommended","CBN (ng/10 mg hair)","","",""
"hair_results_cbd_confirm","String","30","Recommended","CBD (ng/10 mg hair)","","",""
"hair_results_thcv_confirm","String","30","Recommended","THCV (ng/10 mg hair)","","",""
"hair_results_unexpected","Integer","","Recommended","Unexpected result, based on self- and part-reported past-month meds and use?","0 ; 1","0 = no/expected; 1 = yes/unexpected",""
"hair_benzoylecgonine_confirm","Integer","","Recommended","benzoylecgonine confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_cocaethylene_confirm","Integer","","Recommended","cocaethylene confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_norcocaine_confirm","Integer","","Recommended","norcocaine confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_metahydroxycocaine_c","Integer","","Recommended","meta-hydroxycocaine confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS","hair_metahydroxycocaine_confirm"
"hair_orthohydroxycocaine_c","Integer","","Recommended","ortho-hydroxycocaine confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS","hair_orthohydroxycocaine_confirm"
"hair_parahydroxycocaine_c","Integer","","Recommended","para-hydroxycocaine confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS","hair_parahydroxycocaine_confirm"
"hair_codeine_confirm","Integer","","Recommended","codeine confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_morphine_confirm","Integer","","Recommended","morphine confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_6mam_confirm","Integer","","Recommended","6monoacetylmorphine confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_hydrocodone_confirm","Integer","","Recommended","hydrocodone confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_hydromorphone_confirm","Integer","","Recommended","hydromorphone confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_oxycodone_confirm","Integer","","Recommended","oxycodone confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_oxymorphone_confirm","Integer","","Recommended","oxymorphone confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_results_pcp_confirm","Integer","","Recommended","pcp confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_results_thccooh_confirm","Integer","","Recommended","Carboxy-THC confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_results_thc_confirmation","Integer","","Recommended","THC confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_results_cbn_confirmation","Integer","","Recommended","CBN confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_results_cbd_confirmation","Integer","","Recommended","CBD confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_results_thcv_confirmation","Integer","","Recommended","THCV confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS",""
"hair_results_etg_con","Integer","","Recommended","EtG confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS","hair_results_etg_confirmation"
"hair_ccf_id","String","60","Recommended","Psychemedics Barcode Label","","",""
"hair_results_cotinine_con","Integer","","Recommended","Cotinine confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS","hair_results_cotinine_confirm"
"hair_results_t3hcotinine_con","Integer","","Recommended","trans3hydroxycotinine confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS","hair_results_t3hcotinine_confirm"
"hair_results_norcotinine_con","Integer","","Recommended","Norcotinine confirmation MS analysis","1 ; 2 ; 3","1=Pos; 2=Neg; 3=QNS","hair_results_norcotinine_confirm"
