"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","","The event name for which the data was collected","","",""
"nic_test_y","Integer","","Recommended","","Urine sample collected?","0::8","0=Not applicable (not part of 10% / 15%); 1=Yes; 2=No, participant unable to provide sample; 3=No, participant refused; 5=Institution not authorized to collect samples due to COVID; 6=Staff discomfort due to COVID; 7=Exceed 15min of < 6ft distance from youth (COVID); 8=Not approved by ABCD for collection; 4=No, not collected for other reason","biospec_nic_test"
"nic_dot_y","String","30","Recommended"," nic_test_y   == '1'","Urine sample COLLECTED (date and time):","","","biospec_nic_dot"
"nic_dot1","String","30","Recommended"," nic_test_y   == '1'","Urine sample TESTED (date and time):","","If urine sample cannot be tested at time of collection, sample can be stored in refrigerator and tested within 4 hours.","biospec_nic_dot1"
"nic_timeread","String","30","Recommended"," nic_test_y   == '1'","Urine sample READ (date and time):","","Read results after waiting 10-15 minutes for test to develop.","biospec_nic_timeread"
"nic_results_y","Integer","","Recommended"," nic_test_y   == '1'","NicAlert lowest red band reading level:","0 ; 1 ; 2 ; 3 ; 4 ; 5 ; 6","0 = Level 0 (Negative; Non-user of tobacco products; 1 = Level 1 (Negative; Non-user of tobacco products; 2 = Level 2 (Negative; Non-user of tobacco products; 3 = Level 3 (Positive; User of tobacco products); 4 = Level 4 (Positive; User of tobacco products); 5 = Level 5 (Positive; User of tobacco products); 6 = Level 6 (Positive; User of tobacco products) | Note: If recent (past 48 hours) use was not reported (or not expected), report the result as ""Level 2"".","biospec_nic_results"
"nic_contrary_results","Integer","","Recommended"," nic_test_y   == '1'","Are results contrary to participant report (e.g., participant denied any tobacco exposure in past 48 hours but result is positive, OR participant reported use in past 48 hours but result is negative)?","0 ; 1","1 = Yes; 0 = No","biospec_nic_contrary_results"
"nic_test_y2","Integer","","Recommended"," nic_contrary_results   == '1'","Repeat Urine sample collected?","1 ; 2 ; 3 ; 4","1 = Yes; 2 = No; 3 = No; 4 = No | Please collect a new urine sample and use a new test kit to repeat assessment.","biospec_nic_test_2"
"nic_dot_y2","String","30","Recommended"," nic_test_y2   == '1'","Urine sample COLLECTED (date and time):","","","biospec_nic_dot_2"
"nic_dot2","String","30","Recommended"," nic_test_y2   == '1'","Urine sample TESTED (date and time):","","If urine sample cannot be tested at time of collection, sample can be stored in refrigerator and tested within 4 hours.","biospec_nic_dot2"
"nic_results_y2","Integer","","Recommended"," nic_test_y2   == '1'","NicAlert lowest red band reading level (read results after waiting 10-15 minutes for test to develop):","0 ; 1 ; 2 ; 3 ; 4 ; 5 ; 6","0 = Level 0 (Negative; Non-user of tobacco products; 1 = Level 1 (Negative; Non-user of tobacco products; 2 = Level 2 (Negative; Non-user of tobacco products; 3 = Level 3 (Positive; User of tobacco products); 4 = Level 4 (Positive; User of tobacco products); 5 = Level 5 (Positive; User of tobacco products); 6 = Level 6 (Positive; User of tobacco products) | Note: If recent (past 48 hours) use was not reported (or not expected), report the result as ""Level 2"".",""
"nic2_need","Integer","","Recommended"," baseline_visits_num   == '2' && ( bio_10perc_nic   == '1' ||  bio_15perc_nic   == '1')","Is NIC Test Day 2 needed for this participant?","0 ; 1","1 = Yes; 0 = No | Select 'Yes"" if participant will complete Ncog and/or MRI on day 2.",""
"nic2_test","Integer","","Recommended"," nic2_need   == '1'","Urine sample collected?","1 ; 2 ; 3 ; 4","1 = Yes; 2 = No; 3 = No; 4 = No",""
"nic2_dot","String","30","Recommended"," nic2_test   == '1'","Urine sample COLLECTED (date and time):","","",""
"nic2_dot1","String","30","Recommended"," nic2_test   == '1'","Urine sample TESTED (date and time):","","If urine sample cannot be tested at time of collection, sample can be stored in refrigerator and tested within 4 hours.",""
"nic2_timeread","String","30","Recommended"," nic2_test   == '1'","Urine sample READ (date and time):","","Read results after waiting 10-15 minutes for test to develop.",""
"nic2_results","Integer","","Recommended"," nic2_test   == '1'","NicAlert lowest red band reading level:","0 ; 1 ; 2 ; 3 ; 4 ; 5 ; 6","0 = Level 0 (Negative; Non-user of tobacco products; 1 = Level 1 (Negative; Non-user of tobacco products; 2 = Level 2 (Negative; Non-user of tobacco products; 3 = Level 3 (Positive; User of tobacco products); 4 = Level 4 (Positive; User of tobacco products); 5 = Level 5 (Positive; User of tobacco products); 6 = Level 6 (Positive; User of tobacco products) | Note: If recent (past 48 hours) use was not reported (or not expected), report the result as ""Level 2"".",""
"nic2_contrary_results","Integer","","Recommended"," nic2_test   == '1'","Are results contrary to participant report (e.g., participant denied any tobacco exposure in past 48 hours but result is positive, OR participant reported use in past 48 hours but result is negative)?","0 ; 1","1 = Yes; 0 = No",""
"nic2_test2","Integer","","Recommended"," nic2_contrary_results   == '1'","Repeat Urine sample collected?","1 ; 2 ; 3 ; 4","1 = Yes; 2 = No; 3 = No; 4 = No | Please collect a new urine sample and use a new test kit to repeat assessment.",""
"nic2_dot2_collected","String","30","Recommended"," nic2_test2    == '1'","Urine sample COLLECTED (date and time):","","",""
"nic2_dot2_test","String","30","Recommended"," nic2_test2    == '1'","Urine sample TESTED (date and time):","","If urine sample cannot be tested at time of collection, sample can be stored in refrigerator and tested within 4 hours.",""
"nic2_results2","Integer","","Recommended"," nic2_test2    == '1'","NicAlert lowest red band reading level (read results after waiting 10-15 minutes for test to develop):","0 ; 1 ; 2 ; 3 ; 4 ; 5 ; 6","0 = Level 0 (Negative; Non-user of tobacco products; 1 = Level 1 (Negative; Non-user of tobacco products; 2 = Level 2 (Negative; Non-user of tobacco products; 3 = Level 3 (Positive; User of tobacco products); 4 = Level 4 (Positive; User of tobacco products); 5 = Level 5 (Positive; User of tobacco products); 6 = Level 6 (Positive; User of tobacco products) | Note: If recent (past 48 hours) use was not reported (or not expected), report the result as ""Level 2"".",""
