"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","su_today_l"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"tlfb_age_l","Integer","","Recommended","How old is the youth?            (in years)?","9 :: 20","","su_tlfb_age_l"
"tlfb_age_month_l","Integer","","Recommended","(additional months)","0::12","","su_tlfb_age_month_l"
"tlfb_age_calc_inmonths_l","Float","","Recommended","Age in months","","","su_tlfb_age_calc_inmonths_l"
"tlfb_alc_l","Integer","","Recommended","alcohol, such as beer, wine or liquor?","0 ; 1","0 = No; 1 = Yes / tlfb_alc_c_l   == '0'","su_tlfb_alc_l"
"tlfb_tob_l","Integer","","Recommended","tobacco products, such as cigarettes, smokeless tobacco, cigars, hookah, electronic or e-cigarettes, or Juul?","0 ; 1","0 = No; 1 = Yes / tlfb_tob_c_l   == '0'","su_tlfb_tob_l"
"tlfb_mj_l","Integer","","Recommended","marijuana, weed, pot, blunts, dabs, marijuana drinks or food with marijuana?","0 ; 1","0 = No; 1 = Yes / tlfb_mj_c_l   == '0'","su_tlfb_mj_l"
"tlfb_mj_synth_l","Integer","","Recommended","fake or synthetic marijuana such as K2 or spice?","0 ; 1","0 = No; 1 = Yes / tlfb_mj_synth_c_l   == '0'","su_tlfb_mj_synth_l"
"tlfb_bitta_l","Integer","","Recommended","Bittamugen or byphoditin?","0 ; 1","0 = No; 1 = Yes / tlfb_bitta_c_l   == '0'","su_tlfb_bitta_l"
"tlfb_caff_l","Integer","","Recommended","caffeine, which is found in coffee, tea, energy drinks, and some soda?","0 ; 1","0 = No; 1 = Yes / tlfb_caff_c_l   == '0'","su_tlfb_caff_l"
"tlfb_inhalant_l","Integer","","Recommended","Sniffing liquids, sprays and or other products to get high?","0 ; 1","0 = No; 1 = Yes / tlfb_inhalant_c_l   == '0'","su_tlfb_inhalant_l"
"tlfb_rx_misuse_l","Integer","","Recommended","Taking pills, liquids, or medications, such as Ritalin, Adderall, Xanax, Ativan, Oxycontin, Vicodin, Fentanyl, or Cough Syrup, to get high or in a way that your doctor or parents did not direct you to use them?","0 ; 1","0 = No; 1 = Yes / tlfb_rx_misuse_c_l   == """"0""""","su_tlfb_rx_misuse_l"
"tlfb_list_yes_no_l","Integer","","Recommended","Have you heard of people using anything else to make them feel high, dizzy or different?","0 ; 1","","su_tlfb_list_yes_no_l"
"tlfb_list_l___1","Integer","","Recommended","What other drugs have you heard of? Interviewer: Do not read this list to the child. Only click the drugs that they mention. (1, Stimulant drugs such as cocaine,  crack cocaine)","0 ; 1","0 = No; 1 = Yes / tlfb_list_yes_no_l   == '1'","su_tlfb_list_l___1"
"tlfb_list_l___2","Integer","","Recommended","What other drugs have you heard of? Interviewer: Do not read this list to the child. Only click the drugs that they mention. (2, Cathinones such as Bath salts,  drone,  M-cat,  MDVP or meph)","0 ; 1","0 = No; 1 = Yes / tlfb_list_yes_no_l   == '1'","su_tlfb_list_l___2"
"tlfb_list_l___3","Integer","","Recommended","What other drugs have you heard of? Interviewer: Do not read this list to the child. Only click the drugs that they mention. (3, Methamphetamine,  meth or crystal meth)","0 ; 1","0 = No; 1 = Yes / tlfb_list_yes_no_l   == '1'","su_tlfb_list_l___3"
"tlfb_list_l___4","Integer","","Recommended","What other drugs have you heard of? Interviewer: Do not read this list to the child. Only click the drugs that they mention. (4, Ecstasy,  molly or MDMA)","0 ; 1","0 = No; 1 = Yes / tlfb_list_yes_no_l   == '1'","su_tlfb_list_l___4"
"tlfb_list_l___5","Integer","","Recommended","What other drugs have you heard of? Interviewer: Do not read this list to the child. Only click the drugs that they mention. (5, Ketamine or special K)","0 ; 1","0 = No; 1 = Yes / tlfb_list_yes_no_l   == '1'","su_tlfb_list_l___5"
"tlfb_list_l___6","Integer","","Recommended","What other drugs have you heard of? Interviewer: Do not read this list to the child. Only click the drugs that they mention. (6, The depressant drug GHB,  liquid G or Georgia home boy)","0 ; 1","0 = No; 1 = Yes / tlfb_list_yes_no_l   == '1'","su_tlfb_list_l___6"
"tlfb_list_l___7","Integer","","Recommended","What other drugs have you heard of? Interviewer: Do not read this list to the child. Only click the drugs that they mention. (7, Heroin,  opium,  junk,  smack,  or dope)","0 ; 1","0 = No; 1 = Yes / tlfb_list_yes_no_l   == '1'","su_tlfb_list_l___7"
"tlfb_list_l___8","Integer","","Recommended","What other drugs have you heard of? Interviewer: Do not read this list to the child. Only click the drugs that they mention. (8, Hallucinogen drugs that cause people to see or experience things that are not real,  such as LSD or acid,  PCP or angel dust,  peyote,  mescaline,  DMT,  AMT,  Foxy)","0 ; 1","0 = No; 1 = Yes / tlfb_list_yes_no_l   == '1'","su_tlfb_list_l___8"
"tlfb_list_l___9","Integer","","Recommended","What other drugs have you heard of? Interviewer: Do not read this list to the child. Only click the drugs that they mention. (9, Hallucinogen drug: magic mushrooms or shrooms)","0 ; 1","0 = No; 1 = Yes / tlfb_list_yes_no_l   == '1'","su_tlfb_list_l___9"
"tlfb_list_l___10","Integer","","Recommended","What other drugs have you heard of? Interviewer: Do not read this list to the child. Only click the drugs that they mention. (10, Hallucinogen drug: salvia)","0 ; 1","0 = No; 1 = Yes / tlfb_list_yes_no_l   == '1'","su_tlfb_list_l___10"
"tlfb_list_l___11","Integer","","Recommended","What other drugs have you heard of? Interviewer: Do not read this list to the child. Only click the drugs that they mention. (11, Steroids such as arnolds,  pumpers,  or roids)","0 ; 1","0 = No; 1 = Yes / tlfb_list_yes_no_l   == '1'","su_tlfb_list_l___11"
"tlfb_list_l___12","Integer","","Recommended","What other drugs have you heard of? Interviewer: Do not read this list to the child. Only click the drugs that they mention. (12, Other)","0 ; 1","0 = No; 1 = Yes / tlfb_list_yes_no_l   == '1'","su_tlfb_list_l___12"
"tlfb_list_l___18","Integer","","Recommended","What other drugs have you heard of? Interviewer: Do not read this list to the child. Only click the drugs that they mention. (18, None)","0 ; 1","0 = No; 1 = Yes / tlfb_list_yes_no_l   == '1'","su_tlfb_list_l___18"
"tlfb_alc_sip_l","Integer","","Recommended","A sip of alcohol such as beer, wine or liquor (rum, vodka, gin, whiskey)","0 ; 1","0 = No; 1 = Yes / tlfb_alc_l   == '1' ||  tlfb_alc_c_l   == '1'","su_tlfb_alc_sip_l"
"tlfb_alc_use_l","Integer","","Recommended","A full drink of beer, wine or liquor (rum, vodka, gin, whiskey)","0 ; 1","0 = No; 1 = Yes / tlfb_alc_sip_l   == '1' ||   tlfb_alc_sip_c_l   == '1'","su_tlfb_alc_use_l"
