"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"tox1_results_y","Integer","","Recommended","","Collection 1: Were any toxicology results positive?","1::10","3=Not applicable (not randomized) ; 1=Yes ; 2=No ; 4=Participant unable to complete ; 5=Participant refused ; 7=Institution not authorized to collect samples due to COVID ; 8=Staff discomfort due to COVID ; 9=Exceed 15min of < 6ft distance from youth (COVID) ; 10=Not approved by ABCD for collection ; 6=Not collected (other)","biospec_tox1_results"
"tox1_dot_y","String","30","Recommended"," tox1_results_y   == '1' ||  tox1_results_y   == '2'","Collection 1: date and time saliva toxicology sample done:","","Click 'Now' to use current date and time","biospec_tox1_dot"
"tox1_results_yn_y","Integer","","Recommended"," tox1_results_y   == '1' ||  tox1_results_y   == '2'","Are test results unexpected based on self-report and or clinical observation?","0 ; 1","1 = Yes; 0 = No; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox1_results_yn"
"tox1_coc_y","Integer","","Recommended"," tox1_results_y   == '1'","Positive for Cocaine?","1 ; 2 ; 3","1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox1_coc"
"tox1_op_y","Integer","","Recommended"," tox1_results_y   == '1'","Positive for Opiate?","1 ; 2 ; 3","1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox1_op"
"tox1_bzo_y","Integer","","Recommended"," tox1_results_y   == '1'","Positive for Benzodiazepine?","1 ; 2 ; 3","1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox1_bzo"
"tox1_thc_y","Integer","","Recommended"," tox1_results_y   == '1'","Positive for THC?","1 ; 2 ; 3","1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox1_thc"
"tox1_amp_y","Integer","","Recommended"," tox1_results_y   == '1'","Positive for Amphetamine?","1 ; 2 ; 3","1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox1_amp"
"tox1_meth_y","Integer","","Recommended"," tox1_results_y   == '1'","Positive for Methamphetamine?","1 ; 2 ; 3","1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox1_meth"
"tox1_mtd_y","Integer","","Recommended"," tox1_results_y   == '1'","Positive for Methadone?","1 ; 2 ; 3","1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox1_mtd"
"tox2_need","Integer","","Recommended","","Is Toxicology Test Day 2 needed for this participant?","0 ; 1","1 = Yes; 0 = No","biospec_tox2_need"
"tox2_results_y","Integer","","Recommended"," tox2_need   == '1'","Collection 1: Were any toxicology results positive?","1 ; 2 ; 3 ; 4 ; 5 ; 6","1 = Yes; 2 = No; 3 = Not applicable (not part of 10%); 4 = Participant unable to complete; 5 = Participant refused; 6 = Not collected (other)","biospec_tox2_results"
"tox2_dot_y","String","30","Recommended"," tox2_results_y   == '1' ||  tox2_results_y   == '2' &&  tox2_need   == '1'","Collection 1: date and time saliva toxicology sample done:","","Click 'Now' to use current date and time","biospec_tox2_dot"
"tox2_results_yn_y","Integer","","Recommended"," tox2_results_y   == '1' ||  tox2_results_y   == '2'","Are test results unexpected based on self-report and or clinical observation?","0 ; 1","1 = Yes; 0 = No; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox2_results_yn"
"tox2_coc_y","Integer","","Recommended"," tox2_results_y   == '1' &&  tox2_need   == '1'","Positive for Cocaine?","1 ; 2 ; 3","1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox2_coc"
"tox2_op_y","Integer","","Recommended"," tox2_results_y   == '1' &&  tox2_need   == '1'","Positive for Opiate?","1 ; 2 ; 3","1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox2_op"
"tox2_bzo_y","Integer","","Recommended"," tox2_results_y   == '1' &&  tox2_need   == '1'","Positive for Benzodiazepine?","1 ; 2 ; 3","1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox2_bzo"
"tox2_thc_y","Integer","","Recommended"," tox2_results_y   == '1' &&  tox2_need   == '1'","Positive for THC?","1 ; 2 ; 3","1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox2_thc"
"tox2_amp_y","Integer","","Recommended"," tox2_results_y   == '1' &&  tox2_need   == '1'","Positive for Amphetamine?","1 ; 2 ; 3","1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox2_amp"
"tox2_meth_y","Integer","","Recommended"," tox2_results_y   == '1' &&  tox2_need   == '1'","Positive for Methamphetamine?","1 ; 2 ; 3","1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox2_meth"
"tox2_mtd_y","Integer","","Recommended"," tox2_results_y   == '1' &&  tox2_need   == '1'","Positive for Methadone?","1 ; 2 ; 3","1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.","biospec_tox2_mtd"
