"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_aud_raw_1218_p","Integer","","Recommended","You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months. Your child found that he or she needs to drink a lot more to get the same high.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1203_p","Integer","","Recommended","Since your child has been drinking regularly, has your child found that he or she needs to drink a lot more to get the same high?","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1204_p","Integer","","Recommended","Was there ever a time that your child spent a great deal of time either trying to obtain alcohol, drinking alcohol, or hung over?","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1206_p","Integer","","Recommended","You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months. Drinking caused problems or arguments with parents or friends, or with people at school or at work.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1207_p","Integer","","Recommended","You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months.Your child often drank more than he or she planned.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1208_p","Integer","","Recommended","You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months. Your child went to school or work after he or she had been drinking or when he or she was hung over.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1209_p","Integer","","Recommended","You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months. Your child drove when he or she was drunk.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1210_p","Integer","","Recommended","You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months. Your child did something dangerous while drinking.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1211_p","Integer","","Recommended","You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months. Your child threw up or had an accident and hurt himself/herself when drunk.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1212_p","Integer","","Recommended","You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months Your child's drinking made his/her moods notably worse.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1213_p","Integer","","Recommended","You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months. Your child felt preoccupied by the desire to drink.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1214_p","Integer","","Recommended","You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months. Your child's drinking time replaced the time he or she used to spend doing his or her usual activities, like sports, hobbies, spending time with family or friends, or work or school.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1215_p","Integer","","Recommended","You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months. Your child often thought about wanting to cut back on his/her alcohol use.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1216_p","Integer","","Recommended","You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months.Your child tried to quit but couldn't.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1217_p","Integer","","Recommended","You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months.Your child had the shakes or other bad symptoms after he or she cut down on their alcohol use.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1202_p","Integer","","Recommended","Was there ever a time that your child had the shakes or other bad symptoms after he or she cut down on their alcohol use?","0;1","0=No; 1=Yes",""
"ksads_aud_raw_1219_p","Integer","","Recommended","You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months. Your child spent (on average) more than 20 hours a week either trying to obtain alcohol, drinking alcohol, or hung over.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_2115_p","Integer","","Recommended","Was there ever a time when your child drank on 2 or more occasions in a 12 month period?","0;1","0=No; 1=Yes",""
"ksads_aud_raw_2116_p","Integer","","Recommended","Was there ever a time when your child drank on 6 or more occasions in a 12 month period?","0;1","0=No; 1=Yes",""
"ksads_aud_raw_2117_p","Integer","","Recommended","Was there ever a time when your child drank on 12 or more occasions in a 12 month period?","0;1","0=No; 1=Yes",""
"ksads_aud_raw_2118_p","Integer","","Recommended","Since your child first started using alcohol, did he or she ever had a period of three months or longer without using?","0;1","0=No; 1=Yes",""
"ksads_aud_raw_2119_p","Integer","","Recommended","What is the longest period of time your child has gone without drinking? Please enter weeks, months, or years.","0;1","0=No; 1=Yes",""
"ksads_aud_raw_589_p","String","60","Recommended","You said that your child had a time when he or she had more than three alcoholic drinks more than once in a week. When did this begin?","","",""
"ksads_aud_raw_591_p","String","60","Recommended","You said that your child had a time when drinking caused him or her problems with parents, friends, or at school or at work. When did this begin?","","",""
"ksads_aud_raw_592_p","String","60","Recommended","You said that your child had a time when he or she drank on 12 or more occasions within a 12 month period. When did this begin?","","",""
"ksads_aud_raw_593_p","String","60","Recommended","You said that your child had a time when he or she had more than three alcoholic drinks more than once in a week; and drinking caused him or her problems with parents, friends, or at school or at work. When did this begin?","","",""
"ksads_aud_raw_594_p","String","60","Recommended","You said that your child had a time when he or she drank on TWO or more occasions within a 12 month period. When did this begin?","","",""
"ksads_aud_raw_595_p","String","60","Recommended","You said that your child had a time when he or she drank on SIX or more occasions within a 12 month period. When did this begin?","","",""
"ksads_aud_raw_1184_p","String","60","Recommended","What did your child do?Please enter","","",""
"ksads_aud_raw_1187_p","String","60","Recommended","What did your child do?Please enter","","",""
"ksads_aud_raw_1201_p","Integer","","Recommended","Was there ever a time that your child tried to quit but couldn't?","0;1","0=No; 1=Yes",""
"ksads_aud_raw_578_p","Integer","","Recommended","What are your child's favorite alcoholic beverages to drink? (You can mark more than one):","1::12","1=Beer; 2=Wine ; 3=Vodka ; 4=Gin ; 5=Tequila ; 6=Whiskey ; 7=Rum ; 8=Bourbon ; 9=Scotch ; 10=Mixed drinks; 11=Other; 12=Don't drink alcohol",""
"ksads_aud_raw_579_p","Integer","","Recommended","Where does your child typically drink? (Check all that apply):","1::6","1=At parties; 2=At friends' house(s); 3=At clubs; 4=At parks or other outdoor places; 5=At home; 6=Other",""
