"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_adhd_raw_978_p","Integer","","Recommended","In the past two weeks, how often has your child put off or avoided doing things that were hard for him or her because they required a lot of attention?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_991_p","Integer","","Recommended","Do the problems we have just been talking about cause difficulties for your child in any of the following areas:With family","0;1","0=No; 1=Yes",""
"ksads_adhd_raw_990_p","Integer","","Recommended","Do the problems we have just been talking about cause difficulties for your child in any of the following areas:With friends","0;1","0=No; 1=Yes",""
"ksads_adhd_raw_988_p","Integer","","Recommended","In the past two weeks, how often has your child talked when he or she wasn't supposed to, or had people complain that he or she talked too much?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_987_p","Integer","","Recommended","In the past two weeks, how often has your child interrupted someone when they were talking?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_986_p","Integer","","Recommended","In the past two weeks, how often has your child had trouble waiting for his or her turn or waiting for other things?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_985_p","Integer","","Recommended","In the past two weeks, how often has your child blurt out answers in school without being called on, or blurt out answers when someone wasn't talking to him or her?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_984_p","Integer","","Recommended","In the past two weeks, how often has your child had trouble being quiet when he or she was supposed to be quiet?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_983_p","Integer","","Recommended","In the past two weeks, how often has your child been on the go, moving from one place to another?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_982_p","Integer","","Recommended","In the past two weeks, how often has your child run or climbed on things when he or she was not supposed to?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_981_p","Integer","","Recommended","In the past two weeks, how often has your child felt fidgety, like it was hard to sit without bouncing his or her leg or getting up and moving around?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_980_p","Integer","","Recommended","In the past two weeks, how often has your child forgotten something somewhere or forgotten to do something he or she was supposed to do?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_979_p","Integer","","Recommended","In the past two weeks, how often has your child lost his or her homework, pencils, jacket, cell phone, or anything else big or small?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_992_p","Integer","","Recommended","Do the problems we have just been talking about cause difficulties for your child in any of the following areas:At school","0;1","0=No; 1=Yes",""
"ksads_adhd_raw_977_p","Integer","","Recommended","In the past two weeks, how often has your child had trouble organizing his or her homework or other tasks?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_976_p","Integer","","Recommended","In the past two weeks, how often has your child not followed instructions that a parent or teacher said to him or her, or instructions on an assignment or test?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_975_p","Integer","","Recommended","In the past 2 weeks, how often has your child forgotten or tuned out what you or their teachers said to him or her?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_974_p","Integer","","Recommended","You said in the past your child had trouble with attention and staying seated back in September 2008 and also in the past two weeks. When answering these next set of question, I'll be asking you about both the past two weeks and the time in the past when he or she had these problems. In the past two weeks, how many days has your child made a careless mistake?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_973_p","Integer","","Recommended","In the past two weeks, how many days has your child made a careless mistake?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_adhd_raw_453_p","String","60","Recommended","You said that in the past your child had a lot of trouble keeping focused and paying attention; was often easily distracted; often had trouble staying seated; was impulsive and often acted before he or she thought. When was that?","","",""
"ksads_adhd_raw_452_p","String","60","Recommended","You said that in the past your child was often easily distracted; often had trouble staying seated; was impulsive and often acted before he or she thought. When was that?","","",""
"ksads_adhd_raw_451_p","String","60","Recommended","You said that in the past your child had a lot of trouble keeping focused and paying attention; often had trouble staying seated; was impulsive and often acted before he or she thought. When was that?","","",""
"ksads_adhd_raw_450_p","String","60","Recommended","You said that in the past your child had a lot of trouble keeping focused and paying attention; was often easily distracted; was impulsive and often acted before he or she thought. When was that?","","",""
"ksads_adhd_raw_449_p","String","60","Recommended","You said that in the past your child had a lot of trouble keeping focused and paying attention; was often easily distracted; and often had trouble staying seated. When was that?","","",""
"ksads_adhd_raw_448_p","String","60","Recommended","You said that in the past your child often had trouble staying seated; was impulsive and often acted before he or she thought. When was that?","","",""
"ksads_adhd_raw_1004_p","Integer","","Recommended","Back in September 2008, did your child often run or climb when he/she wasn't supposed to?","0;1","0=No; 1=Yes",""
"ksads_adhd_raw_1018_p","Integer","","Recommended","You reported that your child had the symptoms we've just talked about both currently and in the past. Was there ever a 6 month period when your child didn't have these symptoms?","0;1","0=No; 1=Yes",""
"ksads_adhd_raw_1016_p","Integer","","Recommended","Back in September 2008, did the problems we have just been talking about cause difficulties for your child in any of the following areas:With any other activities","0;1","0=No; 1=Yes",""
"ksads_adhd_raw_1015_p","Integer","","Recommended","Back in September 2008, did the problems we have just been talking about cause difficulties for your child in any of the following areas:At work","0;1","0=No; 1=Yes",""
"ksads_adhd_raw_1014_p","Integer","","Recommended","Back in September 2008, did the problems we have just been talking about cause difficulties for your child in any of the following areas:At school","0;1","0=No; 1=Yes",""
"ksads_adhd_raw_1013_p","Integer","","Recommended","Back in September 2008, did the problems we have just been talking about cause difficulties for your child in any of the following areas:With family","0;1","0=No; 1=Yes",""
"ksads_adhd_raw_1012_p","Integer","","Recommended","Back in September 2008, did the problems we have just been talking about cause difficulties for your child in any of the following areas:With friends","0;1","0=No; 1=Yes",""
"ksads_adhd_raw_1010_p","Integer","","Recommended","Back in September 2008, did your child often talk when he/she wasn't supposed to, or have people complain that he/she talked too much?","0;1","0=No; 1=Yes",""
