"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_asd_raw_565_p","String","60","Recommended","You said that in the past two weeks your child was frequently easily upset by changes in routines. When did this begin?","","",""
"ksads_asd_raw_577_p","String","60","Recommended","You said that in the past your child had unusual body movements; was frequently easily upset by changes in routines, and had trouble maintaining eye contact with people. When was that? If this was true of them more than once, let me know when it was the worst.","","",""
"ksads_asd_raw_576_p","String","60","Recommended","You said that in the past your child was frequently easily upset by changes in routines, and had trouble maintaining eye contact with people. When was that? If this was true of them more than once, let me know when it was the worst.","","",""
"ksads_asd_raw_575_p","String","60","Recommended","You said that in the past your child had unusual body movements; and had trouble maintaining eye contact with people. When was that? If this was true of them more than once, let me know when it was the worst.","","",""
"ksads_asd_raw_574_p","String","60","Recommended","You said that in the past your child had unusual body movements; and was frequently easily upset by changes in routines. When was that? If this was true of them more than once, let me know when it was the worst.","","",""
"ksads_asd_raw_573_p","String","60","Recommended","You said that in the past your child had trouble maintaining eye contact with people. When was that? If this was true of them more than once, let me know when it was the worst.","","",""
"ksads_asd_raw_572_p","String","60","Recommended","You said that in the past your child was frequently easily upset by changes in routines. When was that? If this was true of them more than once, let me know when it was the worst.","","",""
"ksads_asd_raw_571_p","String","60","Recommended","You said that in the past your child had unusual body movements. When was that? If this was true of them more than once, let me know when it was the worst.","","",""
"ksads_asd_raw_570_p","String","60","Recommended","You said that in the past two weeks your child had unusual body movements; was frequently easily upset by changes in routines, and had trouble maintaining eye contact with people. When did this begin?","","",""
"ksads_asd_raw_569_p","String","60","Recommended","You said that in the past two weeks your child was frequently easily upset by changes in routines, and had trouble maintaining eye contact with people. When did this begin?","","",""
"ksads_asd_raw_568_p","String","60","Recommended","You said that in the past two weeks your child had unusual body movements; and had trouble maintaining eye contact with people. When did this begin?","","",""
"ksads_asd_raw_567_p","String","60","Recommended","You said that in the past two weeks your child had unusual body movements; and was frequently easily upset by changes in routines. When did this begin?","","",""
"ksads_asd_raw_566_p","String","60","Recommended","You said that in the past two weeks your child had trouble maintaining eye contact with people. When did this begin?","","",""
"ksads_asd_raw_564_p","String","60","Recommended","You said that in the past two weeks your child had unusual body movements. When did this begin?","","",""
"ksads_asd_raw_563_p","Integer","","Recommended","Was there ever a time that your child had trouble maintaining eye contact when talking with others?","0;1","0=No; 1=Yes",""
"ksads_asd_raw_562_p","Integer","","Recommended","In the past two weeks, how often has your child had trouble maintaining eye contact and looking at you or other people when they are talking with your child?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_asd_raw_561_p","Integer","","Recommended","Was there ever a time that your child was frequently easily upset by changes in routines or activities, and you had to work real hard to keep things the same?","0;1","0=No; 1=Yes",""
"ksads_asd_raw_560_p","Integer","","Recommended","In the past two weeks, how often have you worked real hard to keep routines and activities the same so your child would not get upset?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_asd_raw_559_p","Integer","","Recommended","Was there ever a time that your child frequently did these sorts of unusual body movements?","0;1","0=No; 1=Yes",""
"ksads_asd_raw_558_p","Integer","","Recommended","In the past two weeks, how often did your child do unusual body movements like hand flapping, head weaving, body rocking, or body spinning?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
