"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"dna_blood_y","Integer","","Recommended","","Blood DNA sample collected?","1 ; 0 ; 3 ; 4 ; 2","1 = Yes; 0 = Participant unable to complete; 3 = Participant refused; 4 = Not collected (other); 2 = Not applicable (Non Twin sites only)","biospec_dna_blood"
"dna_blood_dot_y","String","30","Recommended"," dna_blood_y   == 1","Blood DNA sample date and time collected:","","","biospec_dna_blood_date"
"dna_blood_recollect","Integer","","Recommended"," dna_blood_y   == 1","Sample recollect request from RUCDR?","0 ; 1","1 = Yes; 0 = No","biospec_dna_blood_recollect"
"dna_blood_recoll_date","String","30","Recommended"," dna_blood_recollect   ==1","Recollected blood DNA sample date collected:","","","biospec_dna_blood_recoll_date"
