"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"bfq_marijuana_amt_p_dk","Integer","","Recommended","How many times per day?","","999=Don't know",""
"bfq_med1_fu_p","Integer","","Recommended","Any other prescription medications?","0;1","1=Yes ;  0=No; [bfq_rxnorm_med1_p] <> ''",""
"bfq_med1_how_much_p","String","200","Recommended","How much each time?","","[bfq_rxnorm_med1_p] <> '' and [bfq_med1_how_much_p_dk] = ''",""
"bfq_med1_how_much_p_dk","Integer","","Recommended","How much each time?","","999=Don't know [bfq_rxnorm_med1_p] <> '' and [bfq_med1_how_much_p] = ''",""
"bfq_med1_prn_p","Integer","","Recommended","PRN (as needed) Medication?","0;1;999","1=Yes ;  0=No ;  999=Don't Know [bfq_rxnorm_med1_p] <> ''",""
"bfq_med1_times_p","String","200","Recommended","How many times per day?","","[bfq_rxnorm_med1_p] <> '' and [bfq_med1_times_p_dk] = ''",""
"bfq_med1_times_p_dk","Integer","","Recommended","How many times per day?","","999=Don't know [bfq_rxnorm_med1_p] <> '' and [bfq_med1_times_p] = ''",""
"bfq_med1_unit_p","Integer","","Recommended","Unit(s):","1::10","1=gram (g) ;  2=microgram (mcg) ;  3=milligram (mg) ;  4=kilogram (kg) ;  5=megagram (mgg) ;  6=liter (L) ;  7=ounce (oz) ;  8=pound (lb) ;  9=quart (qt) ;  10=International Units (IU) [bfq_rxnorm_med1_p] <> '' and [bfq_med1_how_much_p_dk] = ''",""
"bfq_med2_fu_p","Integer","","Recommended","Any other prescription medications?","0;1","1=Yes ;  0=No [bfq_rxnorm_med2_p] <> ''",""
"bfq_med2_how_much_p","String","200","Recommended","How much each time?","","[bfq_rxnorm_med2_p] <> '' and [bfq_med2_how_much_p_dk] = ''",""
"bfq_med2_how_much_p_dk","Integer","","Recommended","How much each time?","","999=Don't know [bfq_rxnorm_med2_p] <> '' and [bfq_med2_how_much_p] = ''",""
"bfq_med2_prn_p","Integer","","Recommended","PRN (as needed) Medication?","0;1;999","1=Yes ;  0=No ;  999=Don't Know [bfq_rxnorm_med2_p] <> ''",""
"bfq_med2_times_p","String","200","Recommended","How many times per day?","","[bfq_rxnorm_med2_p] <> '' and [bfq_med2_times_p_dk] = ''",""
"bfq_med2_times_p_dk","Integer","","Recommended","How many times per day?","","999=Don't know [bfq_rxnorm_med2_p] <> '' and [bfq_med2_times_p] = ''",""
"bfq_med2_unit_p","Integer","","Recommended","Unit(s):","1::10","1=gram (g) ;  2=microgram (mcg) ;  3=milligram (mg) ;  4=kilogram (kg) ;  5=megagram (mgg) ;  6=liter (L) ;  7=ounce (oz) ;  8=pound (lb) ;  9=quart (qt) ;  10=International Units (IU) [bfq_rxnorm_med2_p] <> '' and [bfq_med2_how_much_p_dk] = ''",""
"bfq_med3_how_much_p","String","200","Recommended","How much each time?","","[bfq_rxnorm_med3_p] <> '' and [bfq_med3_how_much_p_dk] = ''",""
"bfq_med3_how_much_p_dk","Integer","","Recommended","How much each time?","","999=Don't know [bfq_rxnorm_med3_p] <> '' and [bfq_med3_how_much_p] = ''",""
"bfq_med3_prn_p","Integer","","Recommended","PRN (as needed) Medication?","0;1;999","1=Yes ;  0=No ;  999=Don't Know [bfq_rxnorm_med3_p] <> '' and [bfq_med3_times_p_dk] = ''",""
"bfq_med3_times_p","String","200","Recommended","How many times per day?","","[bfq_rxnorm_med3_p] <> '' and [bfq_med3_times_p_dk] = ''",""
"bfq_marijuana_p","Integer","","Recommended","Marijuana?","0;1;999","1=Yes ;  0=No ;  999=Don't know [bfq_breastfeed_time_p]<>''",""
"bfq_alcohol_avg_p","String","200","Recommended","Average drinks per/week","","[bfq_alcohol_p] ='1' and [bfq_alcohol_avg_p_dk] = ''",""
"bfq_alcohol_avg_p_dk","Integer","","Recommended","Average drinks per/week","","999=Don't know [bfq_alcohol_p] ='1' and [bfq_alcohol_avg_p] = ''",""
"bfq_alcohol_effects_p","String","200","Recommended","How many drinks did it take to feel the effects of alcohol?","","[bfq_alcohol_p] ='1' and [bfq_alcohol_effects_p_dk] = ''",""
"bfq_alcohol_effects_p_dk","Integer","","Recommended","How many drinks did it take to feel the effects of alcohol?","","999=Don't know [bfq_alcohol_p] ='1' and [bfq_alcohol_effects_p] = ''",""
"bfq_alcohol_max_p","String","200","Recommended","Maximum drinks in one sitting?","","[bfq_alcohol_p] ='1' and [bfq_alcohol_max_p_dk] = ''",""
"bfq_alcohol_max_p_dk","Integer","","Recommended","Maximum drinks in one sitting?","","999=Don't know [bfq_alcohol_p] ='1' and [bfq_alcohol_max_p] = ''",""
"bfq_alcohol_p","Integer","","Recommended","Alcohol?","0;1;999","1=Yes ;  0=No ;  999=Don't know [bfq_breastfeed_time_p]<>''",""
"bfq_breastfeed_p","Integer","","Recommended","When the child was a baby, did (you/ the biological mother) breastfeed him/her?","0;1;999","0=No - Formula Only ;  1=Yes, s/he was breastfed ;  999=Don't Know",""
"bfq_breastfeed_time_p","Integer","","Recommended","If yes, for how long was s/he breastfed?","1::8;999","1=Several days ;  2=1-3 months  ;  3=4-6 months ;  4=7-9 months ;  5=10-12 months ;  6=13-18 months ;  7=19-24 months ;  8=more than 24 months ;  999=Don't Know [bfq_breastfeed_p] = '1'",""
"bfq_caff_amt_p","String","200","Recommended","How many times per day?","","[bfq_caff_p] ='1' and [bfq_caff_amt_p_dk] = ''",""
"bfq_med3_times_p_dk","Integer","","Recommended","How many times per day?","","999=Don't know [bfq_rxnorm_med3_p] <> '' and [bfq_med3_times_p] = ''",""
"bfq_caff_p","Integer","","Recommended","Caffeine?","0;1;999","1=Yes ;  0=No ;  999=Don't know [bfq_breastfeed_time_p]<>''",""
"bfq_cigs_per_day_p","String","200","Recommended","How many times per day?","","[bfq_tobacco_p] = '1' and [bfq_cigs_per_day_p_dk] = ''",""
"bfq_cigs_per_day_p_dk","Integer","","Recommended","How many times per day?","","999=Don't know [bfq_tobacco_p] = '1' and [bfq_cigs_per_day_p] = ''",""
"bfq_coc_crack_amt_p","String","200","Recommended","How many times per day?","","[bfq_coc_crack_p] = '1' and [bfq_coc_crack_amt_p_dk] = ''",""
"bfq_coc_crack_amt_p_dk","Integer","","Recommended","How many times per day?","","999=Don't know [bfq_coc_crack_p] = '1' and [bfq_coc_crack_amt_p] = ''",""
"bfq_coc_crack_p","Integer","","Recommended","Cocaine/Crack?","0;1;999","1=Yes ;  0=No ;  999=Don't know [bfq_breastfeed_time_p]<>''",""
