"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_cdr_raw_1058_t","Integer","","Recommended","Was there ever another time that you often stayed out past your curfew?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_1049_t","Integer","","Recommended","Was there ever another time that you broke in to a home, store, or building that you weren't supposed to go into?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_1050_t","Integer","","Recommended","In the past two weeks, how often have you threatened and robbed someone, or assaulted and robbed someone?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_cdr_raw_1051_t","Integer","","Recommended","Was there ever a time that you threatened and robbed someone, or assaulted and robbed someone?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_1052_t","Integer","","Recommended","Was there ever another time that you threatened and robbed someone, or assaulted and robbed someone?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_1053_t","Integer","","Recommended","In the past two weeks, how often have you started a fire, outside of a fireplace or campfire, some place you weren't supposed to start a fire?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_cdr_raw_1054_t","Integer","","Recommended","Was there ever a time you started a fire, outside of a fireplace or campfire, some place you weren't supposed to start a fire?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_1055_t","Integer","","Recommended","Was there ever another time you started a fire, outside of a fireplace or campfire, some place you weren't supposed to start a fire?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_1056_t","Integer","","Recommended","In the past two weeks, how often have you stayed out past your curfew?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_cdr_raw_1057_t","Integer","","Recommended","Was there ever a time that you often stayed out past your curfew?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_1048_t","Integer","","Recommended","Was there ever a time that you broke in to a home, store, or building that you werenÃ¢ÂÂt supposed to go into?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_1059_t","Integer","","Recommended","In the past two weeks, have you stayed out all night without permission or run away?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_cdr_raw_1060_t","Integer","","Recommended","Did you stay out all night or run away because someone was hurting or messing with you at home?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_1061_t","Integer","","Recommended","Was there ever a time that you stayed out all night without permission or ran away?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_1062_t","Integer","","Recommended","Was there ever another time that you stayed out all night without permission or ran away?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_1063_t","Integer","","Recommended","Did you stay out all night or run away because someone was hurting or messing with you at home?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_1064_t","Integer","","Recommended","In the past two weeks, have you threatened anyone with a brick, stick, knife, gun, or other weapon, or actually used some form of weapon to hurt someone?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_cdr_raw_1065_t","Integer","","Recommended","Was there ever a time you threatened someone with a brick, stick, knife, gun, or other weapon, or actually used some form of weapon to hurt someone?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_1066_t","Integer","","Recommended","Was there ever another time you threatened someone with a brick, stick, knife, gun, or other weapon, or actually used some form of weapon to hurt someone?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_541_t","String","60","Recommended","You said that in the past you often told lies, cut school, got into physical fights with people and stole things.ÃÂ When was that? If this was true of you for a very long time, let me know when it started.","","",""
"ksads_cdr_raw_533_t","String","60","Recommended","You said that in the past you often told lies, often got into a lot of physical fights with people and often made fun of or picked on other kids. When was that? If this was true of you for a very long time, let me know when it started.","","",""
"ksads_cdr_raw_534_t","String","60","Recommended","You said that in the past you often told lies, often got into a lot of physical fights with people and often stole things worth at least $20. When was that? If this was true of you for a very long time, let me know when it started.","","",""
"ksads_cdr_raw_535_t","String","60","Recommended","You said that in the past you often told lies, often made fun of or picked on other kids and often stole things worth at least $20. When was that? If this was true of you for a very long time, let me know when it started.","","",""
"ksads_cdr_raw_536_t","String","60","Recommended","You said that in the past you often cut school without the permission of your parents, often got into a lot of physical fights with people and often made fun of or picked on other kids. When was that? If this was true of you for a very long time, let me know when it started.","","",""
"ksads_cdr_raw_537_t","String","60","Recommended","You said that in the past you often cut school without the permission of your parents, often got into a lot of physical fights with people and often stole things worth at least $20. When was that? If this was true of you for a very long time, let me know when it started.","","",""
"ksads_cdr_raw_538_t","String","60","Recommended","You said that in the past you often cut school without the permission of your parents, often made fun of or picked on other kids and often stole things worth at least $20. When was that? If this was true of you for a very long time, let me know when it started.","","",""
"ksads_cdr_raw_539_t","String","60","Recommended","You said that in the past you often got into a lot of physical fights with people, often made fun of or picked on other kids and often stole things worth at least $20. When was that? If this was true of you for a very long time, let me know when it started.","","",""
"ksads_cdr_raw_540_t","String","60","Recommended","You said that in the past you often told lies, cut school, got into physical fights with people and made fun of or picked on other kids. When was that? If this was true of you for a very long time, let me know when it started.","","",""
"ksads_cdr_raw_1067_t","Integer","","Recommended","In the past two weeks, how often have you tripped someone on purpose, given someone a wedgie, or done something else to hurt someone on purpose?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_cdr_raw_542_t","String","60","Recommended","You said that in the past you often told lies, got into physical fights with people, made fun of or picked on other kids and stole things. When was that? If this was true of you for a very long time, let me know when it started.","","",""
"ksads_cdr_raw_543_t","String","60","Recommended","You said that in the past you often cut school, got into physical fights with people, made fun of or picked on other kids and stole things. When was that? If this was true of you for a very long time, let me know when it started.","","",""
"ksads_cdr_raw_544_t","String","60","Recommended","You said that in the past you often told lies, cut school, got into physical fights with people, made fun of or picked on other kids and stole things. When was that? If this was true of you for a very long time, let me know when it started.","","",""
"ksads_cdr_raw_545_t","String","60","Recommended","You said that in the past you often told lies, cut school, made fun of or picked on other kids and stole things. When was that? If this was true of you for a very long time, let me know when it started.","","",""
"ksads_cdr_raw_1044_t","Integer","","Recommended","In the past two weeks, how often have you on purpose, damaged or vandalized school property, someone's car, a fence, building, or something else?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_cdr_raw_1045_t","Integer","","Recommended","Was there ever a time that on purpose you damaged or vandalized school property, someone's car, a fence, building, or something else?","0;1","0=No; 1=Yes",""
"ksads_cdr_raw_1046_t","Integer","","Recommended","Was there ever another time that on purpose you damaged or vandalized school property, someone's car, a fence, building, or something else?","0;1","0=No; 1=Yes",""
