"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Recommended","The event name for which the data was collected","","","event_name"
"fitbo_wear_survey_date","Date","","Recommended","fitbo_wear survey complete date","","",""
"fitpo_wear","Integer","","Recommended","Did you wear the Fitbit consistently?","","",""
"fitpo_taken_off","Integer","","Recommended","How often did you have to take the Fitbit off?","1::4","1= Never ; 2= Rarely ; 3= Sometimes ; 4= Often",""
"fitpo_tech_issues","Integer","","Recommended","How often did you have technical issues?","1::4","1= Never ; 2= Rarely ; 3= Sometimes ; 4= Often",""
"fitpo_check_tracker","Integer","","Recommended","How often did you check the Fitbit tracker?","1::4","1= Never ; 2= Rarely ; 3= Sometimes ; 4= Often",""
"fitpo_use_apps","Integer","","Recommended","How often did you use the app and/or website to see your Fitbit activity?","1::4","1= Never ; 2= Rarely ; 3= Sometimes ; 4= Often",""
"fitpo_overnight_wear","Integer","","Recommended","How often did you have to take the Fitbit off just before going to bed, or during the night?","1::4","1= Never ; 2= Rarely ; 3= Sometimes ; 4= Often",""
"fitpo_sports","Integer","","Recommended","How often did you have to take the Fitbit off during Sports?","1::4","1= Never ; 2= Rarely ; 3= Sometimes ; 4= Often",""
"fitpo_which_sports","String","200","Recommended","Please clarify which sports:","","[fitpo_sports] > 1""""",""
"fitbo_when_sport","Integer","","Recommended","When:","1::3","1=Weekends only ; 2=Weekdays only ; 3=Both weekends and weekdays; [fitpo_sports] > 1""""",""
"fitpo_experience","Integer","","Recommended","My Fitbit experience was positive","1::5","1=Strongly agree ; 2=Agree ; 3=Neither agree nor disagree ; 4=Disagree ; 5=Strongly disagree",""
"fitpo_activity","Integer","","Recommended","I changed my level of activity and/or sleep based on the information from the tracker","1::5","1=Strongly agree ; 2=Agree ; 3=Neither agree nor disagree ; 4=Disagree ; 5=Strongly disagree",""
"fitpo_longer_wear","Integer","","Recommended","If asked, I would wear the Fitbit for longer","1::5","1=Strongly agree ; 2=Agree ; 3=Neither agree nor disagree ; 4=Disagree ; 5=Strongly disagree",""
"fitpo_own_tracker","Integer","","Recommended","Have you got your own activity tracker that you use?","0;1","0 = No; 1 = Yes",""
"fitpo_past_3_weeks___1","Integer","","Recommended","Please check the box for any of the following items that applied over the past 3 weeks: 1, were you in school","0;1","0 = No; 1 = Yes",""
"fitpo_past_3_weeks___2","Integer","","Recommended","Please check the box for any of the following items that applied over the past 3 weeks:  2, were you at home during the day?","0;1","0 = No; 1 = Yes",""
"fitpo_past_3_weeks___3","Integer","","Recommended","Please check the box for any of the following items that applied over the past 3 weeks: 3, were you at camp (dat or overnight camp)?","0;1","0 = No; 1 = Yes",""
"fitpo_past_3_weeks___4","Integer","","Recommended","Please check the box for any of the following items that applied over the past 3 weeks:  4, were you away on vacation?","0;1","0 = No; 1 = Yes",""
"fitpo_past_3_weeks___5","Integer","","Recommended","Please check the box for any of the following items that applied over the past 3 weeks: 5, were you sick?","0;1","0 = No; 1 = Yes",""
"fitpo_past_3_weeks___6","Integer","","Recommended","Please check the box for any of the following items that applied over the past 3 weeks: 6, were you in a different place from where you usually are?","0;1","0 = No; 1 = Yes",""
"fitpo_cv_situation","Integer","","Recommended","Has your daily routine (I.e. things you typically do every day, at about the same time each day) changed due to the coronavirus situation?","0;1","0 = No; 1 = Yes",""
"fitpo_use_in_past_3_wks","Integer","","Recommended","Which option below best describes your use of the Fitbit in the past 3 weeks?","1::3","1=I wore the Fitbit more during the past 3 weeks compared to my first use ; 2=I wore the Fitbit the same during the past 3 weeks compared to my first use ; 3=I wore the Fitbit less during the past 3 weeks compared to my first use",""
"fitpo_sleep_time","Integer","","Recommended","I have gone to sleep:","1::7","1=more than 2 hours later than usual ; 2=1-2 hours later than usual ; 3=less than 1 hour later than usual ; 4=no change in bedtime ; 5=less than 1 hour earlier than usual ; 6=1-2 hours earlier than usual ; 7=more than 2 hours earlier than usual",""
"fitpo_woken_up","Integer","","Recommended","I have woken up:","1::7","1=more than 2 hours later than usual ; 2=1-2 hours later than usual ; 3=less than 1 hour later than usual ; 4=no change in bedtime ; 5=less than 1 hour earlier than usual ; 6=1-2 hours earlier than usual ; 7=more than 2 hours earlier than usual",""
"fitpo_sleeping","Integer","","Recommended","I have been sleeping:","1::5","1=much less than usual ; 2=less than usual ; 3=the same as usual ; 4=rather more than usual ; 5=much more than usual",""
"fitpo_physical_activity","Integer","","Recommended","I have been physically active:","1::5","1=much less than usual ; 2=less than usual ; 3=the same as usual ; 4=rather more than usual ; 5=much more than usual",""
"fitpo_how_phys_act___1","Integer","","Recommended","How are you getting physical activity? (select all that are applicable)? 1, Walking","0;1","0 = No; 1 = Yes",""
"fitpo_how_phys_act___2","Integer","","Recommended","How are you getting physical activity? (select all that are applicable)?  2, Bike ride","0;1","0 = No; 1 = Yes",""
"fitpo_how_phys_act___3","Integer","","Recommended","How are you getting physical activity? (select all that are applicable)? 3, Work-out/aerobics","0;1","0 = No; 1 = Yes",""
"fitpo_how_phys_act___4","Integer","","Recommended","How are you getting physical activity? (select all that are applicable)? 4, Yoga","0;1","0 = No; 1 = Yes",""
"fitpo_how_phys_act___5","Integer","","Recommended","How are you getting physical activity? (select all that are applicable)? 6, Basketball","0;1","0 = No; 1 = Yes",""
"fitpo_how_phys_act___6","Integer","","Recommended","How are you getting physical activity? (select all that are applicable)? 7, Scooter/skate-boarding","0;1","0 = No; 1 = Yes",""
"fitpo_how_phys_act___7","Integer","","Recommended","How are you getting physical activity? (select all that are applicable)? 7, Scooter/skate-boarding","0;1","0 = No; 1 = Yes",""
"fitpo_how_phys_act___8","Integer","","Recommended","How are you getting physical activity? (select all that are applicable)? 8, Swimming","0;1","0 = No; 1 = Yes",""
"fitpo_how_phys_act___9","Integer","","Recommended","How are you getting physical activity? (select all that are applicable)?  9, Weight-lifting","0;1","0 = No; 1 = Yes",""
"fitpo_how_phys_act___10","Integer","","Recommended","How are you getting physical activity? (select all that are applicable)?  10, Using exercise equipment (e.g. treadmill)","0;1","0 = No; 1 = Yes",""
"fitpo_how_phys_act___11","Integer","","Recommended","How are you getting physical activity? (select all that are applicable)? 11, Roller-skating/Roller-blading","0;1","0 = No; 1 = Yes",""
"fitpo_how_phys_act___12","Integer","","Recommended","How are you getting physical activity? (select all that are applicable)?  12, Other","0;1","0 = No; 1 = Yes",""
"fitpo_other_describe","String","200","Recommended","If Other""  please describe:""","","[fitpo_how_phys_act(12)] = '1'",""
