"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"crpbi_parent1_y","Integer","","Recommended","","First caregiver (caregiver participating in study/completing protocol). Makes me feel better after talking over my worries with him/her","1::3","1 = Not like him/her; 2 = Somewhat like him/her; 3 = A lot like him/her","crpbi_acceptance_studycaregiver1,crpbi_studycaregiver1"
"crpbi_parent2_y","Integer","","Recommended","","First caregiver (caregiver participating in study/completing protocol).  Smiles at me very often.","1::3","1 = Not like him/her; 2 = Somewhat like him/her; 3 = A lot like him/her","crpbi_acceptance_studycaregiver2,crpbi_studycaregiver2"
"crpbi_parent3_y","Integer","","Recommended","","First caregiver (caregiver participating in study/completing protocol).  Is able to make me feel better when I am upset.","1::3","1 = Not like him/her; 2 = Somewhat like him/her; 3 = A lot like him/her","crpbi_acceptance_studycaregiver3,crpbi_studycaregiver3"
"crpbi_parent4_y","Integer","","Recommended","","First caregiver (caregiver participating in study/completing protocol).  Believes in showing his/her love for me.","1::3","1 = Not like him/her; 2 = Somewhat like him/her; 3 = A lot like him/her","crpbi_acceptance_studycaregiver4,crpbi_studycaregiver4"
"crpbi_parent5_y","Integer","","Recommended","","First caregiver (caregiver participating in study/completing protocol).  Is easy to talk to.","1::3","1 = Not like him/her; 2 = Somewhat like him/her; 3 = A lot like him/her","crpbi_acceptance_studycaregiver5,crpbi_studycaregiver5"
"crpbi_caregiver1_y","Integer","","Recommended","","Is there a second adult who cares for you, that you spend a significant amount of time with, like your other parent, step-parent, grandparent, aunt or uncle?","0 ; 1","1 = Yes; 0 = No","crpbi_acceptance_caregiver1"
"crpbi_caregiver2_y","Integer","","Recommended"," crpbi_caregiver1_y   == 1","Who is the second caregiver? If more than one caregiver, choose the person you spend the most time with.","1::7","1 = mother; 2 = father; 3 = grandmother; 4 = grandfather; 5 = aunt; 6 = uncle; 7 = other","crpbi_acceptance_caregiver2"
"crpbi_caregiver12_y","Integer","","Recommended"," crpbi_caregiver1_y   == 1","Makes me feel better after talking over my worries with them.","1::3","1=Not like them ; 2=Somewhat like them ; 3=A lot like them","crpbi_acceptance_caregiver12"
"crpbi_caregiver13_y","Integer","","Recommended"," crpbi_caregiver1_y   == 1","Second caregiver. Smiles at me very often.","1::3","1=Not like them ; 2=Somewhat like them ; 3=A lot like them","crpbi_acceptance_caregiver13"
"crpbi_caregiver14_y","Integer","","Recommended"," crpbi_caregiver1_y   == 1","Second caregiver. Is able to make me feel better when I am upset.","1::3","1=Not like them ; 2=Somewhat like them ; 3=A lot like them","crpbi_acceptance_caregiver14"
"crpbi_caregiver15_y","Integer","","Recommended"," crpbi_caregiver1_y   == 1","Believes in showing their love for me.","1::3","1=Not like them ; 2=Somewhat like them ; 3=A lot like them","crpbi_acceptance_caregiver15"
"crpbi_caregiver16_y","Integer","","Recommended"," crpbi_caregiver1_y   == 1","Second caregiver. Is easy to talk to.","1::3","1=Not like them ; 2=Somewhat like them ; 3=A lot like them","crpbi_acceptance_caregiver16"
"eventname","String","60","Recommended","","The event name for which the data was collected","","",""
"crpbi_studycaregiver_id","Integer","","Recommended","","Who is the caregiver that is participating in the study with you today?","1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7","1 = mother; 2 = father; 3 = grandmother; 4 = grandfather; 5 = aunt; 6 = uncle; 7 = other",""
"timept","Integer","","Recommended","","Time Point","","888 = not applicable; 999 = missing",""
