"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","","Visit name","","","eventname"
"accult_select_language","Integer","","Recommended","","Test given in Spanish? Â¿EspaÃ±ol?","0 ; 1","0 = No; 1 = Yes","devhx_select_language___1,devhx_select_language_p"
"devhx_1_p","Integer","","Recommended","","Are you the child's biological mother?/ ¿Es usted la madre biológica del niño o de la niña?","1 ; 0","1 = Yes /Sí; 0 = No /No",""
"birth_weight_lbs","Float","","Recommended"," isNull(devhx_2_p_dk)","Birth weight pounds","","","devhx_2_birth_wt_lbs_p,devhx_2_p"
"devhx_2_p_dk","Integer","","Recommended","isNull(birth_weight_lbs)","Birth weight, pounds. Don't know /No lo sé","999","999 = Don't know /No lo sé","devhx_2_birth_wt_lbs_dk_p,devhx_2_dk_p"
"birth_weight_oz","Float","","Recommended"," isNull(devhx_2b_p_dk)","Birth weight ounces","","","devhx_2b_birth_wt_oz_p,devhx_2b_p"
"devhx_2b_p_dk","Integer","","Recommended","isNull(birth_weight_oz)","Birth weight, ounces. Don't know /No lo sé","999","999 = Don't know /No lo sé","devhx_2b_birth_wt_oz_dk_p,devhx_2b_dk_p"
"devhx_3_p","Float","30","Recommended"," isNull(devhx_3_p_dk)","How old were you/biological mother when the child was born? /¿Cuántos años tenía usted (o la madre biológica) cuando nació el niño o la niña?","12::60","If you don't know, please choose ""don't know"" in what follows below   / Si no sabe, por favor escoja ""no se"" en lo que sigue abajo.","devhx_3_age_at_birth_mother_p"
"devhx_3_p_dk","Integer","","Recommended"," isNull(devhx_3_p)","Age at birth of the child. Don't know /No lo sé","999","999 = Don't know /No lo sé","devhx_3_age_at_birth_mother_dk_p,devhx_3_dk_p"
"devhx_4_p","Float","30","Recommended"," isNull(devhx_4_p_dk)","How old was the child's biological father when the child was born?","","If you don't know, please choose ""don't know"" in what follows below   / Si no sabe, por favor escoja ""no se"" en lo que sigue abajo.","devhx_4_age_at_birth_father_p"
"devhx_4_p_dk","Integer","","Recommended"," isNull(devhx_4_p)","How old was the child's biological father when the child was born?","999","999 = Don't know /No lo sé","devhx_4_age_at_birth_father_dk_p,devhx_4_dk_p"
"devhx_5_p","Integer","","Recommended","","Does your child have a twin? /¿Su niño(a) tiene un gemelo?","1 ; 0 ; 999","1 = Yes /Sí; 0 = No /No; 999 = Don't know/ No lo sé","devhx_5_twin_p"
"devhx_6_p","Integer","","Recommended","","Was your pregnancy with this child a planned pregnancy? /Fue su embarazo con este(a) niño(a) un embarazo planeado?","1 ; 0 ; 999","1 = Yes /Sí; 0 = No /No; 999 = Don't know/ No lo sé","devhx_6_pregnancy_planned_p"
"devhx_7_p","Integer","","Recommended","isNull(devhx_7_p_dk)","How far along (in weeks) were you with your child when you found out that you were pregnant? /¿Qué tan avanzada (en semanas) estaba usted con su hijo(a) cuando se enteró de que estaba embarazada?","1 :: 40","weeks/semanas; If you don't know, please choose ""don't know"" in what follows below /   Si no sabe, por favor escoja ""no se"" en lo que sigue abajo.","devhx_7_far_along_p"
"devhx_7_p_dk","Integer","","Recommended"," isNull(devhx_7_p)","Pregnancy time, when found out. Don't know /No lo sé","999","999 = Don't know /No lo sé","devhx_7_dk_p,devhx_7_far_along_dk_p"
"devhx_8_prescript_yes","String","30","Recommended"," devhx_1_p   == 1","Before  you found out you were pregnant, but while you might have been pregnant with this child, did you use any of the following?","","Descriptive field","devhx_8_prescript_yes_p"
"devhx_8_prescript_med","Integer","","Recommended","","Before  the biological mother/you found out  she was pregnant, but while  she/you might have been pregnant with this child, did  she/you  use any of the following?/ Antes de que la madre biológica se halla enterado que estaba embarazada, pero mientras ella pudiera haber estado embarazada con este(a) niño(a), utilizó algo de los siguiente?  Prescription medications?  /¿Medicamentos recetados?","1 ; 0 ; 999","1 = Yes /Sí; 0 = No /No; 999 = Don't know/ No lo sé","devhx_8_prescript_med_p"
"devhx_8_rxnorm_med1","String","200","Recommended"," devhx_8_prescript_med   == 1","Medication Name (please choose the formulation that most closely matches the medication; no need to include dosage)  /Nombre del Medicamento (por favor, elija la formulación que más se aproxime a la medicación tomada por su niño(a); no hay necesidad de incluir la dosis)","","","devhx_8_rxnorm_med1_p"
"devhx_8_med1_prn","Integer","","Recommended"," devhx_8_prescript_med   == 1 &&  isNull(devhx_8_med1_times_dk)","Before  the biological mother/you found out  she was pregnant, but while  she/you might have been pregnant with this child, did  she/you  use any of the following?/ Antes de que la madre biológica se halla enterado que estaba embarazada, pero mientras ella pudiera haber estado embarazada con este(a) niño(a), utilizó algo de los siguiente?  PRN (as needed) Medication? / ¿Es un medicamento PRN, es decir un medicamento que se puede tomar según necesidad?","1 ; 0; 999","1 = Yes /Sí; 0 = No /No; 999='Don't Know/No Sé","devhx_8_med1_prn_p"
"devhx_8_med1_times","Integer","30","Recommended"," devhx_8_prescript_med   == 1 &&  isNull(devhx_8_med1_times_dk)","Before knowing of pregnancy. Medication 1 used. How many times per day?/ ¿Cuantas veces al día?","0 :: 25","If you don't know, please choose ""don't know"" in what follows below   / Si no sabe, por favor escoja ""no se"" en lo que sigue abajo.","devhx_8_med1_times_p"
"devhx_8_med1_times_dk","Integer","","Recommended"," devhx_8_prescript_med   == 1 &&  isNull(devhx_8_med1_times)","Before knowing of pregnancy. Medication 1 used. How many times per day. Don't know /No lo sé","999","999 = Don't know /No lo sé","devhx_8_med1_times_dk_p"
"devhx_8_med1_how_much","Float","30","Recommended"," devhx_8_prescript_med   == 1 &&  isNull(devhx_8_med1_how_much_dk)","Before knowing of pregnancy. Medication 1 used. How much each time? /¿Que tanto cada vez?","","If you don't know, please choose ""don't know"" in what follows below   / Si no sabe, por favor escoja ""no se"" en lo que sigue abajo.","devhx_8_med1_how_much_p"
"devhx_8_med1_how_much_dk","Integer","","Recommended"," devhx_8_prescript_med   == 1 &&  isNull(devhx_8_med1_how_much)","Before knowing of pregnancy. Medication 1 used. How much each time. Don't know /No lo sé","999","999 = Don't know /No lo sé","devhx_8_med1_how_much_dk_p"
"devhx_8_med1_unit","Integer","","Recommended"," devhx_8_prescript_med   == 1 &&  isNull(devhx_8_med1_how_much_dk)","Before knowing of pregnancy. Medication 1 used. Unit(s)/ Unidad(es)","1::10","1 = gram (g); 2 = microgram (msg); 3 = milligram (mg); 4 = kilogram (kg); 5 = megagram (MGG); 6 = liter (L); 7 = ounce (oz); 8 = pound (lb); 9 = quart (qt); 10=International Unites (IU)","devhx_8_med1_unit_p"
