"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_eatingdis_raw_1136_p","Integer","","Recommended","Please note below all the different methods that your child currently uses to control his or her weight.Other (fill in)","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1148_p","Integer","","Recommended","Note below all the things that are true when your child binge eats.My child feels like he or she has no control when they binge eat","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1147_p","Integer","","Recommended","Note below all the things that are true when your child binge eats.My child feels depressed after binge eating","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1146_p","Integer","","Recommended","Note below all the things that are true when your child binge eats.My child feels disgusted or guilty after binge eating","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1145_p","Integer","","Recommended","Note below all the things that are true when your child binge eats.My child eats alone because he or she is embarrassed","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1144_p","Integer","","Recommended","Note below all the things that are true when your child binge eats.My child eats a lot even though he or she is not hungry","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1143_p","Integer","","Recommended","Note below all the things that are true when your child binge eats.My child eats until he or she is uncomfortable and feels too full","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1142_p","Integer","","Recommended","Note below all the things that are true when your child binge eats.My child eats much more rapidly than normal","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1140_p","String","60","Recommended","How long has your child been binge eating at least once a week? Please enter weeks, months, or years.","","",""
"ksads_eatingdis_raw_1139_p","Integer","","Recommended","You said before that sometimes your child binge eats. On average, does he or she binge eat at least once a week?","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1138_p","String","60","Recommended","GetDynamicQuestion('2.13.8.Q2')","","",""
"ksads_eatingdis_raw_1137_p","Integer","","Recommended","On average, does your child use at least one of these methods to try to control his or her weight one or more times per week?","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1149_p","Integer","","Recommended","How much discomfort or distress does binge eating cause your child?","0::10","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10",""
"ksads_eatingdis_raw_1135_p","Integer","","Recommended","Please note below all the different methods that your child currently uses to control his or her weight.Only eating foods or drinks with minimal calories (e.g., carrots, celery, zero calorie drinks)","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1134_p","Integer","","Recommended","Please note below all the different methods that your child currently uses to control his or her weight.Exercising a lot","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1133_p","Integer","","Recommended","Please note below all the different methods that your child currently uses to control his or her weight.Throwing up","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1132_p","Integer","","Recommended","Please note below all the different methods that your child currently uses to control his or her weight.Water pills","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1131_p","Integer","","Recommended","Please note below all the different methods that your child currently uses to control his or her weight.Laxatives","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1130_p","Integer","","Recommended","Please note below all the different methods that your child currently uses to control his or her weight.Diet pills","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1128_p","Integer","","Recommended","Does your child feel like his or her self-worth is tied to his or her weight?","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_403_p","String","60","Recommended","You said that in the past there was a time when your child worried about becoming fat; made him or herself throw up, did things to control their weight, like exercise excessively, restrict food, took laxatives, or diet pills and had eating binges. When was that? If this was true of your child more than once, let me know when it was the worst","","",""
"ksads_eatingdis_raw_402_p","String","60","Recommended","You said that in the past your child made him or herself throw up once a week or more, did things to control his or her weight like exercise excessively, restrict food, took laxatives, or diet pills and had eating binges, when your child ate way more than he or she needed to the point of feeling sick. When was that? If this was true of your child more than once, let me know when it was the worst","","",""
"ksads_eatingdis_raw_401_p","String","60","Recommended","You said that in the past your child worried all the time about becoming fat, did things to control their weight like exercise excessively, restrict food, took laxatives, or diet pills and had eating binges, when your child ate way more than he or she needed to the point of feeling sick. When was that? If this was true of your child more than once, let me know when it was the worst","","",""
"ksads_eatingdis_raw_400_p","String","60","Recommended","You said that in the past your child worried all the time about becoming fat, made him or herself throw up once a week or more and had eating binges, when your child ate way more than he or she needed to the point of feeling sick. When was that? If this was true of your child more than once, let me know when it was the worst","","",""
"ksads_eatingdis_raw_1161_p","String","60","Recommended","For how long back then did your child use this method to control their weight at least once a week? Please enter weeks, months, or years.","","",""
"ksads_eatingdis_raw_1173_p","Integer","","Recommended","How much discomfort or distress did binge eating cause your child back then?","0::10","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10",""
"ksads_eatingdis_raw_1172_p","Integer","","Recommended","Note below all the things that were true when your child binge ate back then.My child felt like he or she had no control when he or she binge ate","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1171_p","Integer","","Recommended","Note below all the things that were true when your child binge ate back then.My child felt depressed after binge eating","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1170_p","Integer","","Recommended","Note below all the things that were true when your child binge ate back then.My child felt disgusted or guilty after binge eating","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1169_p","Integer","","Recommended","Note below all the things that were true when your child binge ate back then.My child ate alone because he or she was embarrassed","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1168_p","Integer","","Recommended","Note below all the things that were true when your child binge ate back then.My child ate a lot even though he or she was not hungry","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1167_p","Integer","","Recommended","Note below all the things that were true when your child binge ate back then.My child ate until he or she was uncomfortable and felt too full","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1166_p","Integer","","Recommended","Note below all the things that were true when your child binge ate back then.My child ate much more rapidly than normal","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1164_p","String","60","Recommended","How long did your child binge eat at least once a week back then? Please enter weeks, months, or years.","","",""
"ksads_eatingdis_raw_1163_p","Integer","","Recommended","dbo.GetDynamicQuestion('2.13.9.Q3')","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1162_p","String","60","Recommended","For how long back then did your child use at least one of these methods one or more times a week? Please enter weeks, months, or years.","","",""
"ksads_eatingdis_raw_399_p","String","60","Recommended","You said that in the past your child worried all the time about becoming fat, made him or herself throw up once a week or more and did things to control their weight like exercise excessively, restrict food, took laxatives, or diet pills. When was that? If this was true of your child more than once, let me know when it was the worst","","",""
"ksads_eatingdis_raw_1160_p","Integer","","Recommended","On average back then, did your child use at least one of these methods to try to control his or her weight one or more times per week?","0;1","0=No; 1=Yes",""
