"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads2_1_1_p","String","30","Recommended","Symptom - Depressed Mood, Present","","",""
"ksads2_1_2_p","String","30","Recommended","Symptom - Depressed Mood, Past","","",""
"ksads2_1_3_p","String","30","Recommended","Symptom - Irritability, Present","","",""
"ksads2_1_4_p","String","30","Recommended","Symptom - Irritability, Past","","",""
"ksads2_1_5_p","String","30","Recommended","Symptom - Anhedonia, Present","","",""
"ksads2_1_6_p","String","30","Recommended","Symptom - Anhedonia, Past","","",""
"ksads2_1_147_p","String","30","Recommended","Symptom - Insomnia when depressed, Past","","",""
"ksads2_1_148_p","String","30","Recommended","Symptom - Hypersomnia, Present","","",""
"ksads2_1_149_p","String","30","Recommended","Symptom - Hypersomnia, Past","","",""
"ksads2_1_150_p","String","30","Recommended","Symptom - Fatigue, Present","","",""
"ksads2_1_151_p","String","30","Recommended","Symptom - Fatigue, Past","","",""
"ksads2_1_152_p","String","30","Recommended","Symptom - Concentration Disturbance, Present","","",""
"ksads2_1_153_p","String","30","Recommended","Symptom - Concentration Disturbance, Past","","",""
"ksads2_1_154_p","String","30","Recommended","Symptom - Indecision, Present","","",""
"ksads2_1_155_p","String","30","Recommended","Symptom - Indecision, Past","","",""
"ksads2_1_156_p","String","30","Recommended","Symptom - Decreased Appetite, Present","","",""
"ksads2_1_157_p","String","30","Recommended","Symptom - Decreased Appetite, Past","","",""
"ksads2_1_158_p","String","30","Recommended","Symptom - Weight Loss, Present","","",""
"ksads2_1_159_p","String","30","Recommended","Symptom - Weight Loss, Past","","",""
"ksads2_1_160_p","String","30","Recommended","Symptom - Increased Appetite, Present","","",""
"ksads2_1_161_p","String","30","Recommended","Symptom - Increased Appetite, Past","","",""
"ksads2_1_162_p","String","30","Recommended","Symptom - Weight Gain, Present","","",""
"ksads2_1_163_p","String","30","Recommended","Symptom - Weight Gain, Past","","",""
"ksads2_1_164_p","String","30","Recommended","Symptom - Psychomotor Agitation in Depressive Disorder, Present","","",""
"ksads2_1_165_p","String","30","Recommended","Symptom - Psychomotor Agitation in Depressive Disorder, Past","","",""
"ksads2_1_166_p","String","30","Recommended","Symptom - Psychomotor Retardation, Present","","",""
"ksads2_1_167_p","String","30","Recommended","Symptom - Psychomotor Retardation, Past","","",""
"ksads2_1_168_p","String","30","Recommended","Symptom - Guilt, Present","","",""
"ksads2_1_169_p","String","30","Recommended","Symptom - Guilt, Past","","",""
"ksads2_1_170_p","String","30","Recommended","Symptom - Hopeless, Present","","",""
"ksads2_1_171_p","String","30","Recommended","Symptom - Hopeless, Past","","",""
"ksads2_1_172_p","String","30","Recommended","Symptom - Decreased Self-Esteem, Present","","",""
"ksads2_1_173_p","String","30","Recommended","Symptom - Decreased Self-Esteem, Past","","",""
"ksads2_1_174_p","String","30","Recommended","Symptom - Impairment in functioning due to depression, Present","","",""
"ksads2_1_175_p","String","30","Recommended","Symptom - Impairment in functioning due to depression, Past","","",""
"ksads2_1_176_p","String","30","Recommended","Symptom - Presence of two or more depressive symptoms, Present","","",""
"ksads2_1_177_p","String","30","Recommended","Symptom - Presence of two or more depressive symptoms, Past","","",""
"ksads2_1_790_p","String","30","Recommended","Diagnosis - Major Depressive Disorder Present","","",""
"ksads2_1_791_p","String","30","Recommended","Diagnosis - Major Depressive Disorder, Current, in Partial Remission (F32.4)","","",""
"ksads2_1_792_p","String","30","Recommended","Diagnosis - Major Depressive Disorder, Past (F32.9)","","",""
"ksads2_1_793_p","String","30","Recommended","Diagnosis - Persistent Depressive Disorder (Dysthymia) PRESENT F34.1","","",""
"ksads2_1_794_p","String","30","Recommended","Diagnosis - Persistent Depressive Disorder (Dysthymia) In Partial Remission F34.1","","",""
"ksads2_1_795_p","String","30","Recommended","Diagnosis - Persistent Depressive Disorder (Dysthymia) PAST F34.1","","",""
"ksads2_1_796_p","String","30","Recommended","Diagnosis - Unspecified Depressive Disorder Current (F32.9)","","",""
"ksads2_1_797_p","String","30","Recommended","Diagnosis - Other Specified Depressive Disorder (F32.8)","","",""
"ksads2_1_950_p","String","30","Recommended","Life Event or Stressor, Present","","",""
"ksads2_2_7_p","String","30","Recommended","Symptom - Elevated Mood, Present","","",""
"ksads2_2_8_p","String","30","Recommended","Symptom - Elevated Mood, Past","","",""
"ksads2_2_9_p","String","30","Recommended","Symptom - Explosive Irritability, Present","","",""
"ksads2_2_10_p","String","30","Recommended","Symptom - Explosive Irritability, Past","","",""
"ksads2_2_11_p","String","30","Recommended","Symptom - Decreased Need for Sleep, Present","","",""
"ksads2_2_12_p","String","30","Recommended","Symptom - Decreased Need for Sleep, Past","","",""
"ksads2_2_178_p","String","30","Recommended","Symptom - Preliminary substance rule out bipolar past","","",""
"ksads2_2_179_p","String","30","Recommended","Symptom - Elevated / Euphoric Mood, Present","","",""
"ksads2_2_180_p","String","30","Recommended","Symptom - Manic Irritability, Present","","",""
"ksads2_2_181_p","String","30","Recommended","Symptom - Grandiosity, Present","","",""
"ksads2_2_182_p","String","30","Recommended","Symptom - Grandiosity, Past","","",""
"ksads2_2_183_p","String","30","Recommended","Symptom - Pressured Speech, Present","","",""
"ksads2_2_184_p","String","30","Recommended","Symptom - Pressured Speech, Past","","",""
"ksads2_2_185_p","String","30","Recommended","Symptom - Racing Thoughts, Present","","",""
"ksads2_2_186_p","String","30","Recommended","Symptom - Racing Thoughts, Past","","",""
"ksads2_2_187_p","String","30","Recommended","Symptom - Flight of Ideas, Present","","",""
"ksads2_2_188_p","String","30","Recommended","Symptom - Flight of Ideas, Past","","",""
"ksads2_2_189_p","String","30","Recommended","Symptom - Increased Goal Directed Activity, Present","","",""
"ksads2_2_190_p","String","30","Recommended","Symptom - Increased Goal Directed Activity, Past","","",""
"ksads2_2_191_p","String","30","Recommended","Symptom - Increased Energy, Present","","",""
"ksads2_2_192_p","String","30","Recommended","Symptom - Increased Energy, Past","","",""
"ksads2_2_193_p","String","30","Recommended","Symptom - Psychomotor Agitation in Bipolar Disorder, Present","","",""
"ksads2_2_194_p","String","30","Recommended","Symptom - Psychomotor Agitation in Bipolar Disorder, Past","","",""
"ksads2_2_195_p","String","30","Recommended","Symptom - Distractibility, Present","","",""
"ksads2_2_196_p","String","30","Recommended","Symptom - Increased Distractibility, Present","","",""
"ksads2_2_197_p","String","30","Recommended","Symptom - Distractibility, Past","","",""
"ksads2_2_198_p","String","30","Recommended","Symptom - Increased Distractibility, Past","","",""
"ksads2_2_199_p","String","30","Recommended","Symptom - Excessive Involvement in high risk activities, Present","","",""
