"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","lmt_subject_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","lmt_scr_assess_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"lmt_run","String","30","Recommended","Run","","","lmt_scr_run"
"lmt_scr_perc_correct","Float","","Recommended","Percentage correct of all 32 presented trials","","",""
"lmt_scr_perc_wrong","Float","","Recommended","Percentage wrong (including timed out) out of 32 trials.","","",""
"lmt_scr_num_correct","Integer","","Recommended","Number correct","","",""
"lmt_scr_num_wrong","Integer","","Recommended","Number wrong, not including timed out","","",""
"lmt_scr_num_timed_out","Integer","","Recommended","Number timed out due to lack of response","","",""
"lmt_scr_avg_rt","Float","","Recommended","Average reaction time for trials. Does not include timed out trials.","","",""
"lmt_scr_rt_correct","Float","","Recommended","Average reaction for correct trials","","",""
"lmt_scr_rt_wrong","Float","","Recommended","Average reaction for incorrect trials. Does not include timed out.","","",""
"lmt_scr_efficiency","Float","","Recommended","LMT Efficiency","","Percentage correct divided by average reaction for correct trials",""
"lmt_scr_correct_rt_stimtype1","Float","","Recommended","Latency (msec) for Correct Per Stimulus Type (Backward Down Left)","","",""
"lmt_scr_correct_rt_stimtype2","Float","","Recommended","Latency (msec) for Correct Per Stimulus Type (Backward Down Right)","","",""
"lmt_scr_correct_rt_stimtype3","Float","","Recommended","Latency (msec) for Correct Per Stimulus Type (Backward Up Left)","","",""
"lmt_scr_correct_rt_stimtype4","Float","","Recommended","Latency (msec) for Correct Per Stimulus Type (Backward Up Right)","","",""
"lmt_scr_correct_rt_stimtype5","Float","","Recommended","Latency (msec) for Correct Per Stimulus Type (Forward Down Left)","","",""
"lmt_scr_correct_rt_stimtype6","Float","","Recommended","Latency (msec) for Correct Per Stimulus Type (Forward Down Right)","","",""
"lmt_scr_correct_rt_stimtype7","Float","","Recommended","Latency (msec) for Correct Per Stimulus Type (Forward Up Left)","","",""
"lmt_scr_correct_rt_stimtype8","Float","","Recommended","Latency (msec) for Correct Per Stimulus Type (Forward Up Right)","","",""
"lmt_scr_correct_num_stimtype1","Integer","","Recommended","Count Number Correct Per Stimulus Type (Backward Down Left)","","",""
"lmt_scr_correct_num_stimtype2","Integer","","Recommended","Count Number Correct Per Stimulus Type (Backward Down Right)","","",""
"lmt_scr_correct_num_stimtype3","Integer","","Recommended","Count Number Correct Per Stimulus Type (Backward Up Left)","","",""
"lmt_scr_correct_num_stimtype4","Integer","","Recommended","Count Number Correct Per Stimulus Type (Backward Up Right)","","",""
"lmt_scr_correct_num_stimtype5","Integer","","Recommended","Count Number Correct Per Stimulus Type (Forward Down Left)","","",""
"lmt_scr_correct_num_stimtype6","Integer","","Recommended","Count Number Correct Per Stimulus Type (Forward Down Right)","","",""
"lmt_scr_correct_num_stimtype7","Integer","","Recommended","Count Number Correct Per Stimulus Type (Forward Up Left)","","",""
"lmt_scr_correct_num_stimtype8","Integer","","Recommended","Count Number Correct Per Stimulus Type (Forward Up Right)","","",""
"lmt_scr_wrong_rt_stimtype1","Float","","Recommended","Latency (msec) for Wrong Per Stimulus Type (Backward Down Left)","","",""
"lmt_scr_wrong_rt_stimtype2","Float","","Recommended","Latency (msec) for Wrong Per Stimulus Type (Backward Down Right)","","",""
"lmt_scr_wrong_rt_stimtype3","Float","","Recommended","Latency (msec) for Wrong Per Stimulus Type (Backward Up Left)","","",""
"lmt_scr_wrong_rt_stimtype4","Float","","Recommended","Latency (msec) for Wrong Per Stimulus Type (Backward Up Right)","","",""
"lmt_scr_wrong_rt_stimtype5","Float","","Recommended","Latency (msec) for Wrong Per Stimulus Type (Forward Down Left)","","",""
"lmt_scr_wrong_rt_stimtype6","Float","","Recommended","Latency (msec) for Wrong Per Stimulus Type (Forward Down Right)","","",""
"lmt_scr_wrong_rt_stimtype7","Float","","Recommended","Latency (msec) for Wrong Per Stimulus Type (Forward Up Left)","","",""
"lmt_scr_wrong_rt_stimtype8","Float","","Recommended","Latency (msec) for Wrong Per Stimulus Type (Forward Up Right)","","",""
"lmt_scr_wrong_num_stimtype1","Integer","","Recommended","Count Number Wrong Per Stimulus Type (Backward Down Left)","","",""
"lmt_scr_wrong_num_stimtype2","Integer","","Recommended","Count Number Wrong Per Stimulus Type (Backward Down Right)","","",""
"lmt_scr_wrong_num_stimtype3","Integer","","Recommended","Count Number Wrong Per Stimulus Type (Backward Up Left)","","",""
"lmt_scr_wrong_num_stimtype4","Integer","","Recommended","Count Number Wrong Per Stimulus Type (Backward Up Right)","","",""
"lmt_scr_wrong_num_stimtype5","Integer","","Recommended","Count Number Wrong Per Stimulus Type (Forward Down Left)","","",""
"lmt_scr_wrong_num_stimtype6","Integer","","Recommended","Count Number Wrong Per Stimulus Type (Forward Down Right)","","",""
"lmt_scr_wrong_num_stimtype7","Integer","","Recommended","Count Number Wrong Per Stimulus Type (Forward Up Left)","","",""
"lmt_scr_wrong_num_stimtype8","Integer","","Recommended","Count Number Wrong Per Stimulus Type (Forward Up Right)","","",""
"lmt_scr_tout_num_stimtype1","Integer","","Recommended","Count Number Timed Out Per Stimulus Type (Backward Down Left)","","",""
"lmt_scr_tout_num_stimtype2","Integer","","Recommended","Count Number Timed Out Per Stimulus Type (Backward Down Right)","","",""
"lmt_scr_tout_num_stimtype3","Integer","","Recommended","Count Number Timed Out Per Stimulus Type (Backward Up Left)","","",""
"lmt_scr_tout_num_stimtype4","Integer","","Recommended","Count Number Timed Out Per Stimulus Type (Backward Up Right)","","",""
"lmt_scr_tout_num_stimtype5","Integer","","Recommended","Count Number Timed Out Per Stimulus Type (Forward Down Left)","","",""
"lmt_scr_tout_num_stimtype6","Integer","","Recommended","Count Number Timed Out Per Stimulus Type (Forward Down Right)","","",""
"lmt_scr_tout_num_stimtype7","Integer","","Recommended","Count Number Timed Out Per Stimulus Type (Forward Up Left)","","",""
"lmt_scr_tout_num_stimtype8","Integer","","Recommended","Count Number Timed Out Per Stimulus Type (Forward Up Right)","","",""
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
