"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"tfmri_sa_beta_visitid","String","60","Recommended","Visit name","","","tfmri_sst_all_beta_visitid"
"tfmri_sa_beta_tr","Float","","Recommended","Pulse repetition time in seconds","","","tfmri_sst_all_beta_tr"
"tfmri_sa_beta_numtrs","Integer","","Recommended","Number of frames in acquisition","","","tfmri_sst_all_beta_num.trs,tfmri_sst_all_beta_numtrs"
"tfmri_sa_beta_dof","Integer","","Recommended","Degrees of freedom","","","tfmri_sst_all_beta_dof"
"tfmri_sa_beta_nvols","Integer","","Recommended","Number of frames after removing dummy frames","","","tfmri_sst_all_beta_nvols"
"tfmri_sa_beta_stvols","Integer","","Recommended","Number of frames with FD < 0.2","","","tfmri_sst_all_beta_subthresh.nvols,tfmri_sst_all_beta_subthreshnvols"
"tfmri_sa_beta_mm","Float","","Recommended","Average framewise displacement in mm","","","tfmri_sst_all_beta_mean.motion,tfmri_sst_all_beta_meanmotion"
"tfmri_sa_beta_maxmotion","Float","","Recommended","Maximum framewise displacement in mm","","","tfmri_sst_all_beta_max.motion,tfmri_sst_all_beta_maxmotion"
"tfmri_sa_beta_meantrans","Float","","Recommended","Average framewise translation in mm","","","tfmri_sst_all_beta_mean.trans,tfmri_sst_all_beta_meantrans"
"tfmri_sa_beta_maxtrans","Float","","Recommended","Maximum framewise translation in mm","","","tfmri_sst_all_beta_max.trans,tfmri_sst_all_beta_maxtrans"
"tfmri_sa_beta_meanrot","Float","","Recommended","Average framewise rotation in radians","","","tfmri_sst_all_beta_mean.rot,tfmri_sst_all_beta_meanrot"
"tfmri_sa_beta_maxrot","Float","","Recommended","Maximum framewise rotation in radians","","","tfmri_sst_all_beta_max.rot,tfmri_sst_all_beta_maxrot"
"tfmri_sacgvf_bscs_cbwmlh","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI left-cerebral-white-matter","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_cerebral.white.matter.lh,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_cerebralwhitematterlh"
"tfmri_sacgvf_bscs_lavtelh","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI left-lateral-ventricle","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_lateral.ventricle.lh,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_lateralventriclelh"
"tfmri_sacgvf_bscs_inflatvtlh","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI left-inf-lat-vent","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_inf.lat.vent.lh,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_inflatventlh"
"tfmri_sacgvf_bscs_crbwmlh","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI left-cerebellum-white-matter","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_cerebellum.white.matter.lh,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_cerebellumwhitematterlh"
"tfmri_sacgvf_bscs_crbcxlh","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI left-cerebellum-cortex","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_cerebellum.cortex.lh,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_cerebellumcortexlh"
"tfmri_sacgvf_bscs_tplh","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI left-thalamus-proper","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_thalamus.proper.lh,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_thalamusproperlh"
"tfmri_sacgvf_bscs_cdelh","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI left-caudate","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_caudate.lh,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_caudatelh"
"tfmri_sacgvf_bscs_pulh","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI left-putamen","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_putamen.lh,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_putamenlh"
"tfmri_sacgvf_bscs_pdlh","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI left-pallidum","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_pallidum.lh,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_pallidumlh"
"tfmri_sacgvf_bscs_3rdvte","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI 3rd-ventricle","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_3rd.ventricle,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_3rdventricle"
"tfmri_sacgvf_bscs_4thvte","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI 4th-ventricle","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_4th.ventricle,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_4thventricle"
"tfmri_sacgvf_bscs_bs","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI brain-stem","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_brain.stem,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_brainstem"
"tfmri_sacgvf_bscs_hpuslh","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI left-hippocampus","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_hippocampus.lh,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_hippocampuslh"
"tfmri_sacgvf_bscs_aylh","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI left-amygdala","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_amygdala.lh,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_amygdalalh"
"tfmri_sacgvf_bscs_csf","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI csf","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_csf,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_csf"
"tfmri_sacgvf_bscs_aalh","Float","","Recommended","Mean beta weight for SST correct go versus fixation contrast in ASEG ROI left-accumbens-area","","","tfmri_sst_all_correct.go.vs.fixation_beta_subcort.aseg_accumbens.area.lh,tfmri_sst_all_correctgovsfixation_beta_subcortaseg_accumbensarealh"
