"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ncog_device","String","128","Recommended","What was the make and model of the phone with technical issues? (e.g. iPhone 8, iPhone XR, Samsung Galaxy S10e, Pixel 3 XL, OnePlus 7T Pro, LG G8 ThinkQ, etc)","","[ncog_session] = '2' or [ncog_session] = '3' or [ncog_session] = '5'",""
"neurocog_2_device","Integer","","Recommended","NCog Session:","1::5","1=Completed in full without disruption ; 2=Completed in full with temporary technical disruption ; 3=Completed partially due to technical disruption ; 4=Completed partially due to not having a smart phone ; 5=Did not complete due to other technical issues [sched_delay] = '9'",""
"neurocog_device","Integer","","Recommended","NCog Session:","1::5","1=Completed in full without disruption ; 2=Completed in full with temporary technical disruption ; 3=Completed partially due to technical disruption ; 4=Did not complete due to not being able to share screen ; 5=Did not complete due to technical issues [sched_delay] = '9'",""
"neurocog_2_lmt___1","Integer","","Recommended","Method of LMT administration [Check all that apply]: 1, Audio","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_2_lmt___2","Integer","","Recommended","Method of LMT administration [Check all that apply]:  2, Video/Webcam","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_2_lmt___3","Integer","","Recommended","Method of LMT administration [Check all that apply]: 3, In person (ONLY if issues arise and hybrid)","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_2_god___1","Integer","","Recommended","Method of GoD administration [Check all that apply]: 1, Audio","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_2_god___2","Integer","","Recommended","Method of GoD administration [Check all that apply]:  2, Video/Webcam","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_2_god___3","Integer","","Recommended","Method of GoD administration [Check all that apply]: 3, In person (ONLY if issues arise and hybrid)","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_2_flanker___1","Integer","","Recommended","Method of Flanker administration [Check all that apply]: 1, Audio","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_2_flanker___2","Integer","","Recommended","Method of Flanker administration [Check all that apply]:  2, Video/Webcam","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_2_flanker___3","Integer","","Recommended","Method of Flanker administration [Check all that apply]: 3, In person (ONLY if issues arise and hybrid)","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_2_sit___1","Integer","","Recommended","Method of SIT administration [Check all that apply]: 1, Audio","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_2_sit___2","Integer","","Recommended","Method of SIT administration [Check all that apply]:  2, Video/Webcam","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_2_sit___3","Integer","","Recommended","Method of SIT administration [Check all that apply]: 3, In person (ONLY if issues arise and hybrid)","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_2_ravlt___1","Integer","","Recommended","Method of RAVLT administration [Check all that apply]: 1, Audio","1;0","1=Yes; 0=No [sched_hybrid] = '1' and [event-name]!='4_year_follow_up_y_arm_1'",""
"neurocog_2_ravlt___2","Integer","","Recommended","Method of RAVLT administration [Check all that apply]:  2, Video/Webcam","1;0","1=Yes; 0=No [sched_hybrid] = '1' and [event-name]!='4_year_follow_up_y_arm_1'",""
"neurocog_2_ravlt___3","Integer","","Recommended","Method of RAVLT administration [Check all that apply]: 3, In person (ONLY if issues arise and hybrid)","1;0","1=Yes; 0=No [sched_hybrid] = '1' and [event-name]!='4_year_follow_up_y_arm_1'",""
"neurocog_2_remote___1","Integer","","Recommended","Remote method of Neurocognitive tasks pt 2 administration [Check all that apply]:  1, Audio","1;0","1=Yes; 0=No  [sched_delay] = '9' AND [sched_hybrid] = '0'",""
"neurocog_2_remote___2","Integer","","Recommended","Remote method of Neurocognitive tasks pt 2 administration [Check all that apply]:  2, Video/Webcam","1;0","1=Yes; 0=No  [sched_delay] = '9' AND [sched_hybrid] = '0'",""
"neurocog_2_bird___1","Integer","","Recommended","Method of BIRD administration [Check all that apply]: 1, Audio","1;0","1=Yes; 0=No ([sched_delay] = '9' and [sched_hybrid] = '1') and [event-name] = '4_year_follow_up_y_arm_1'",""
"neurocog_2_bird___2","Integer","","Recommended","Method of BIRD administration [Check all that apply]:  2, Video/Webcam","1;0","1=Yes; 0=No ([sched_delay] = '9' and [sched_hybrid] = '1') and [event-name] = '4_year_follow_up_y_arm_1'",""
"neurocog_2_bird___3","Integer","","Recommended","Method of BIRD administration [Check all that apply]: 3, In person (ONLY if issues arise and hybrid)","1;0","1=Yes; 0=No ([sched_delay] = '9' and [sched_hybrid] = '1') and [event-name] = '4_year_follow_up_y_arm_1'",""
"neurocog_card___1","Integer","","Recommended","Method of  Dimensional Change Card Sort administration [Check all that apply]: 1, Audio","1;0","1=Yes; 0=No ([sched_delay] = '9' and [sched_hybrid] = '1') AND ([event-name] != '4_year_follow_up_y_arm_1')",""
"neurocog_card___2","Integer","","Recommended","Method of  Dimensional Change Card Sort administration [Check all that apply]: 2, Video/Webcam","1;0","1=Yes; 0=No ([sched_delay] = '9' and [sched_hybrid] = '1') AND ([event-name] != '4_year_follow_up_y_arm_1')",""
"neurocog_card___3","Integer","","Recommended","Method of  Dimensional Change Card Sort administration [Check all that apply]:  3, In person (ONLY if issues arise and hybrid)","1;0","1=Yes; 0=No ([sched_delay] = '9' and [sched_hybrid] = '1') AND ([event-name] != '4_year_follow_up_y_arm_1')",""
"neurocog_flanker___1","Integer","","Recommended","Method of Flanker (in-person only) administration [Check all that apply]: 1, Audio","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_flanker___2","Integer","","Recommended","Method of Flanker (in-person only) administration [Check all that apply]: 2, Video/Webcam","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_flanker___3","Integer","","Recommended","Method of Flanker (in-person only) administration [Check all that apply]:  3, In person (REQUIRED)","1;0","1=Yes; 0=No [sched_hybrid] = '1'",""
"neurocog_intro_ipad_y","Integer","","Recommended","Which iPAD model will you use?","1::5","1=iPad Air II (otterbox defender series cover) ; 2=9.7'' iPad PRO (otterbox defender series cover) ; 4=9.7'' iPad (NON-Pro) (otterbox defender series cover) ; 5=10.2'' iPad (NON-Pro) (otterbox defender series cover) ; 3=Other iPad model or Model/cover combination [sched_delay] = '9' and [sched_hybrid] = '0'",""
