"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_ocd_raw_1972_p","Integer","","Recommended","Does having these thoughts cause problems for your child in any of the following areas:With family","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1984_p","Integer","","Recommended","Does having to do these things cause problems for your child in any of the following areas:At work","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1983_p","Integer","","Recommended","Does having to do these things cause problems for your child in any of the following areas:At school","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1982_p","Integer","","Recommended","Does having to do these things cause problems for your child in any of the following areas:With family","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1981_p","Integer","","Recommended","Does having to do these things cause problems for your child in any of the following areas:With friends","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1979_p","Integer","","Recommended","What is the reason your child does these things? Check all that apply.","1::4","1=To reduce my anxiety; 2=To prevent myself from becoming anxious; 3=To prevent something bad from happening; 4=Other",""
"ksads_ocd_raw_1978_p","Integer","","Recommended","dbo.GetDynamicQuestion('2.11.8.Q1')","1::5","1=None; 2=Less than 1 hr; 3=1-3 hrs; 4=3-8 hours; 5=Over 8 hours",""
"ksads_ocd_raw_1977_p","Integer","","Recommended","How much discomfort or distress do these thoughts cause your child?","0::10","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10",""
"ksads_ocd_raw_1976_p","Integer","","Recommended","Does having these thoughts cause problems for your child in any of the following areas:In other places or times","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1975_p","Integer","","Recommended","Does having these thoughts cause problems for your child in any of the following areas:In after school activities","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1974_p","Integer","","Recommended","Does having these thoughts cause problems for your child in any of the following areas:At work","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1973_p","Integer","","Recommended","Does having these thoughts cause problems for your child in any of the following areas:At school","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1985_p","Integer","","Recommended","Does having to do these things cause problems for your child in any of the following areas:In after school activities","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1971_p","Integer","","Recommended","Does having these thoughts cause problems for your child in any of the following areas:With friends","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1969_p","Integer","","Recommended","About how much time does your child spend each day thinking these thoughts?","1::5","1=None; 2=Less than 1 hr; 3=1-3 hrs; 4=3-8 hours; 5=Over 8 hours",""
"ksads_ocd_raw_1968_p","Integer","","Recommended","Does your child usually try to ignore the thoughts or do something to make them less stressful?","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1967_p","Integer","","Recommended","dbo.GetDynamicQuestion('2.11.3.Q1')","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_325_p","String","60","Recommended","How long did it last back then? Please enter weeks, months, or years.","","",""
"ksads_ocd_raw_324_p","Integer","","Recommended","Which things did your child have to do over and over back then? Check all that applyOther (specify)","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_323_p","Integer","","Recommended","Which things did your child have to do over and over back then? Check all that applyMentally repeating certain words or numbers","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_322_p","Integer","","Recommended","Which things did your child have to do over and over back then? Check all that applyMoving in a certain way or repeating certain actions","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_321_p","Integer","","Recommended","Which things did your child have to do over and over back then? Check all that applyNeeding to count and recount","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_320_p","Integer","","Recommended","Which things did your child have to do over and over back then? Check all that applyTouching things a certain way","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1997_p","Integer","","Recommended","Back then, did having these thoughts cause problems for your child in any of the following areas:In other places or times","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_2008_p","Integer","","Recommended","How much discomfort or distress did having to do these things cause your child?","0::10","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10",""
"ksads_ocd_raw_2007_p","Integer","","Recommended","Back then, did having to do these things cause problems for your child in any of the following areas:In other places or times","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_2006_p","Integer","","Recommended","Back then, did having to do these things cause problems for your child in any of the following areas:In after school activities","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_2005_p","Integer","","Recommended","Back then, did having to do these things cause problems for your child in any of the following areas:At work","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_2004_p","Integer","","Recommended","Back then, did having to do these things cause problems for your child in any of the following areas:At school","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_2003_p","Integer","","Recommended","Back then, did having to do these things cause problems for your child in any of the following areas:With family","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_2002_p","Integer","","Recommended","Back then, did having to do these things cause problems for your child in any of the following areas:With friends","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_2000_p","Integer","","Recommended","Back then, what was the reason your child did these things? Check all that apply.","1::4","1=To reduce my anxiety; 2=To prevent myself from becoming anxious; 3=To prevent something bad from happening; 4=Other",""
"ksads_ocd_raw_1999_p","Integer","","Recommended","dbo.GetDynamicQuestion('2.11.8.Q2')","1::5","1=None; 2=Less than 1 hr; 3=1-3 hrs; 4=3-8 hours; 5=Over 8 hours",""
"ksads_ocd_raw_1998_p","Integer","","Recommended","Back then, how much discomfort or distress did these thoughts cause your child?","0::10","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10",""
"ksads_ocd_raw_319_p","Integer","","Recommended","Which things did your child have to do over and over back then? Check all that applyChecking something over and over","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1996_p","Integer","","Recommended","Back then, did having these thoughts cause problems for your child in any of the following areas:In after school activities","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1995_p","Integer","","Recommended","Back then, did having these thoughts cause problems for your child in any of the following areas:At work","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1994_p","Integer","","Recommended","Back then, did having these thoughts cause problems for your child in any of the following areas:At school","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1993_p","Integer","","Recommended","Back then, did having these thoughts cause problems for your child in any of the following areas:With family","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1992_p","Integer","","Recommended","Back then, did having these thoughts cause problems for your child in any of the following areas:With friends","0;1","0=No; 1=Yes",""
"ksads_ocd_raw_1990_p","Integer","","Recommended","About how much time did your child spend each day thinking these thoughts back then?","1::5","1=None; 2=Less than 1 hr; 3=1-3 hrs; 4=3-8 hours; 5=Over 8 hours",""
