"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"plus2_bl1","String","30","Recommended"," baseline_visits_num   ==1","Participant is completing their baseline visit in one day. Please change form status to 'complete' and then submit.","","Descriptive field","su_plus2_bl1_p"
"pls2_need_p","Integer","","Recommended"," baseline_visits_num >=2","Will Neurocog and/or MRI be completed in this session?","0 ; 1","1 = Yes; 0 = No","su_pls2_need_p"
"pls2_select_language___1","Integer","","Recommended"," pls2_need_p   == 1","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","su_pls2_select_language_p"
"pls2_p_intro","String","30","Recommended"," pls2_need_p   == 1","Please take a moment to answer some questions about your son/daughter's medication use within the past day.

If medication is not listed in the drop-down menu (with the exception of multivitamins), scroll down to notes section and enter information there. For multivitamins, please choose  ""Vitamin"" from the drop-down menu. Por favor dedique unos momentos a contestar algunas preguntas sobre los medicamentos que ha tomado o usado su niño(a) en el último día.

Si la medicación no está en el menú desplegable (con la excepción de multivitaminas), desplácese hacia abajo a la sección de notas e ingrese la información ahí. Para multivitaminas, por favor escoja ""Vitamina"" en el menú desplegable.","","Descriptive field","su_pls2_intro_p"
"pls2_p_used_med","Integer","","Recommended"," pls2_need_p   == 1","P. Has your son/daughter used any Over-the-Counter or Prescription medications in the last 24 hours? / ¿Su niño(a) ha tomado o usado algún medicamento recetado o de venta libre en las últimas 24 horas? Y. Have you used any over-the-counter or prescription medications in the last 24 hours?","1 ; 0","1 = Yes /Sí; 0 = No /No","su_pls2_used_med_p"
"pls2_p_med1_rxnorm","String","200","Recommended"," pls2_p_used_med   == 1","Medication Name (please choose the formulation that most closely matches the medication taken by your child; no need to include dosage)  Nombre del Medicamento (por favor, elija la formulación que más se aproxime a la medicación tomada por su niño(a); no hay necesidad de incluir la dosis)","","This variable may include all variants available in the Bioportal RxNorm database (https://bioportal.bioontology.org). Please refer to this database for additional information on trade/generic names and formulations.","su_pls2_med1_rxnorm_p"
"pls2_p_otc_rx_days_y","Integer","","Recommended"," notNull(pls2_p_med1_rxnorm)","Is the medication extended-release (XR)? ¿El medicamento es de liberación prolongada (XR)?M","1 ; 2","1 = Yes; 2 = No No","su_pls2_xr_p"
"pls2_p_youth_ago","Float","30","Recommended"," notNull(pls2_p_med1_rxnorm)","How long ago did your son/daughter take the medication? ¿Hace cuánto tiempo que su niño(a) tomó o usó dicho medicamento?","","(in hours; 30 mins=0.5) (en horas; 30 min = 0.5)","su_pls2_youth_ago_p"
"pls2_p_med2_rxnorm","String","200","Recommended"," notNull(pls2_p_med1_rxnorm)","Medication Name (please choose the formulation that most closely matches the medication taken by your child; no need to include dosage)  Nombre del Medicamento (por favor, elija la formulación que más se aproxime a la medicación tomada por su niño(a); no hay necesidad de incluir la dosis)","","This variable may include all variants available in the Bioportal RxNorm database (https://bioportal.bioontology.org). Please refer to this database for additional information on trade/generic names and formulations.","su_pls2_med2_rxnorm_p"
"pls2_p_otc_rx_days_y_2","Integer","","Recommended"," notNull(pls2_p_med2_rxnorm)","Is the medication extended-release (XR)? ¿El medicamento es de liberación prolongada (XR)?M","1 ; 2","1 = Yes; 2 = No No","su_pls2_xr_2_p"
"pls2_p_youth_ago_2","Float","30","Recommended","notNull( pls2_p_med2_rxnorm)","How long ago did your son/daughter take the medication? ¿Hace cuánto tiempo que su niño(a) tomó o usó dicho medicamento?","","(in hours; 30 mins=0.5) (en horas; 30 min = 0.5)","su_pls2_youth_ago_2_p"
"pls2_p_med3_rxnorm","String","400","Recommended"," notNull(pls2_p_med2_rxnorm)","Medication Name (please choose the formulation that most closely matches the medication taken by your child; no need to include dosage)  Nombre del Medicamento (por favor, elija la formulación que más se aproxime a la medicación tomada por su niño(a); no hay necesidad de incluir la dosis)","","This variable may include all variants available in the Bioportal RxNorm database (https://bioportal.bioontology.org). Please refer to this database for additional information on trade/generic names and formulations.","su_pls2_med3_rxnorm_p"
"pls2_p_otc_rx_days_y_3","Integer","","Recommended","notNull(pls2_p_med3_rxnorm)","Is the medication extended-release (XR)? ¿El medicamento es de liberación prolongada (XR)?M","1 ; 2","1 = Yes; 2 = No No","su_pls2_xr_3_p"
"pls2_p_youth_ago_3","Float","30","Recommended"," notNull(pls2_p_med3_rxnorm)","How long ago did your son/daughter take the medication? ¿Hace cuánto tiempo que su niño(a) tomó o usó dicho medicamento?","","(in hours; 30 mins=0.5) (en horas; 30 min = 0.5)","su_pls2_youth_ago_3_p"
"pls2_p_med4_rxnorm","String","200","Recommended"," notNull(pls2_p_med3_rxnorm)","Medication Name (please choose the formulation that most closely matches the medication taken by your child; no need to include dosage)  Nombre del Medicamento (por favor, elija la formulación que más se aproxime a la medicación tomada por su niño(a); no hay necesidad de incluir la dosis)","","This variable may include all variants available in the Bioportal RxNorm database (https://bioportal.bioontology.org). Please refer to this database for additional information on trade/generic names and formulations.","su_pls2_med4_rxnorm_p"
"pls2_p_otc_rx_days_y_4","Integer","","Recommended"," notNull(pls2_p_med4_rxnorm)","Is the medication extended-release (XR)? ¿El medicamento es de liberación prolongada (XR)?M","1 ; 2","1 = Yes; 2 = No No","su_pls2_xr_4_p"
"pls2_p_youth_ago_4","Float","30","Recommended"," notNull(pls2_p_med4_rxnorm)","How long ago did your son/daughter take the medication? ¿Hace cuánto tiempo que su niño(a) tomó o usó dicho medicamento?","","(in hours; 30 mins=0.5) (en horas; 30 min = 0.5)","su_pls2_youth_ago_4_p"
"pls2_p_med5_rxnorm","String","200","Recommended"," notNull(pls2_p_med4_rxnorm)","Medication Name (please choose the formulation that most closely matches the medication taken by your child; no need to include dosage)  Nombre del Medicamento (por favor, elija la formulación que más se aproxime a la medicación tomada por su niño(a); no hay necesidad de incluir la dosis)","","This variable may include all variants available in the Bioportal RxNorm database (https://bioportal.bioontology.org). Please refer to this database for additional information on trade/generic names and formulations.","su_pls2_med5_rxnorm_p"
"pls2_p_otc_rx_days_y_5","Integer","","Recommended"," notNull(pls2_p_med5_rxnorm)","Is the medication extended-release (XR)? ¿El medicamento es de liberación prolongada (XR)?M","1 ; 2","1 = Yes; 2 = No No","su_pls2_xr_5_p"
"pls2_p_youth_ago_5","Float","30","Recommended"," notNull(pls2_p_med5_rxnorm)","How long ago did your son/daughter take the medication? ¿Hace cuánto tiempo que su niño(a) tomó o usó dicho medicamento?","","(in hours; 30 mins=0.5) (en horas; 30 min = 0.5)","su_pls2_youth_ago_5_p"
