"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_psychosis_raw_1704_p","Integer","","Recommended","Now I am going to ask you about some different ideas kids sometimes have. In the past two weeks or any other time in the past, did your child thinkPeople could put thoughts in your child's head that are not their own?","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1716_p","Integer","","Recommended","dbo.GetDynamicQuestion('2.4.12.Q2')","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1715_p","Integer","","Recommended","Does having the thoughts we have just been talking about cause difficulties for your child in any of the following areas:With any other activities","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1714_p","Integer","","Recommended","Does having the thoughts we have just been talking about cause difficulties for your child in any of the following areas:At work","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1713_p","Integer","","Recommended","Does having the thoughts we have just been talking about cause difficulties for your child in any of the following areas:At school","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1712_p","Integer","","Recommended","Does having the thoughts we have just been talking about cause difficulties for your child in any of the following areas:With family","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1711_p","Integer","","Recommended","Does having the thoughts we have just been talking about cause difficulties for your child in any of the following areas:With friends","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1709_p","Integer","","Recommended","dbo.GetDynamicQuestion('2.4.14.Q1')","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1708_p","Integer","","Recommended","dbo.GetDynamicQuestion('2.4.13.Q1')","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1707_p","Integer","","Recommended","dbo.GetDynamicQuestion('2.4.12.Q1')","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1706_p","Integer","","Recommended","Now I am going to ask you about some different ideas kids sometimes have. In the past two weeks or any other time in the past, did your child thinkHad other thoughts that people might think were odd (please type in)?","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1705_p","Integer","","Recommended","Now I am going to ask you about some different ideas kids sometimes have. In the past two weeks or any other time in the past, did your child thinkThe TV or radio was sending your child messages?","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1717_p","Integer","","Recommended","dbo.GetDynamicQuestion('2.4.13.Q2')","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1703_p","Integer","","Recommended","Now I am going to ask you about some different ideas kids sometimes have. In the past two weeks or any other time in the past, did your child thinkPeople could take thoughts out of your child's mind against his or her will?","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1702_p","Integer","","Recommended","Now I am going to ask you about some different ideas kids sometimes have. In the past two weeks or any other time in the past, did your child thinkYour child's thoughts could be broadcast out loud so other people could know what he or she was thinking?","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1701_p","Integer","","Recommended","Now I am going to ask you about some different ideas kids sometimes have. In the past two weeks or any other time in the past, did your child thinkGod had chosen your child to do something special for him?","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1699_p","Integer","","Recommended","In the past when your child's mind was playing tricks on him or her, did it cause difficulties for him or her in any of the following areas:With any other activities","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1698_p","Integer","","Recommended","In the past when your child's mind was playing tricks on him or her, did it cause difficulties for him or her in any of the following areas:At work","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1697_p","Integer","","Recommended","In the past when your child's mind was playing tricks on him or her, did it cause difficulties for him or her in any of the following areas:At school","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1696_p","Integer","","Recommended","In the past when your child's mind was playing tricks on him or her, did it cause difficulties for him or her in any of the following areas:With family","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1695_p","Integer","","Recommended","In the past when your child's mind was playing tricks on him or her, did it cause difficulties for him or her in any of the following areas:With friends","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1693_p","Integer","","Recommended","In the past when your child heard, saw, felt, or smelled things that weren't there, was your child drinking a lot or using drugs?","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1692_p","Integer","","Recommended","At the time when your child was having trouble with his or her mind playing tricks on him or her, was your child also feeling super sad, cranky, or more energized than usual?","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1730_p","Integer","","Recommended","Mark off all the things that are currently true of your child.When my child talks, he or she shifts from one idea to the next without any clear connection between the different thoughts.","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1741_p","Integer","","Recommended","Mark off all the things that were true of your child in the past when they were having these symptoms we were just talking about back then.Other bizarre or unusual behavior (specify)","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1740_p","Integer","","Recommended","Mark off all the things that were true of your child in the past when they were having these symptoms we were just talking about back then.My child often sat still in a stupor, as if he or she were frozen.","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1739_p","Integer","","Recommended","Mark off all the things that were true of your child in the past when they were having these symptoms we were just talking about back then.When my child talked, he or she shifted from one idea to the next without any clear connection between the different thoughts.","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1738_p","Integer","","Recommended","Mark off all the things that were true of your child in the past when they were having these symptoms we were just talking about back then.My child's speech and thoughts were illogical.","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1737_p","Integer","","Recommended","Mark off all the things that were true of your child in the past when they were having these symptoms we were just talking about back then.My child did bizarre things, like run out of the house naked or defecate outside the toilet.","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1736_p","Integer","","Recommended","Mark off all the things that were true of your child in the past when they were having these symptoms we were just talking about back then.My child showed inappropriate affect, like laughing when things were serious.","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1735_p","Integer","","Recommended","Mark off all the things that were true of your child in the past when they were having these symptoms we were just talking about back then.My child showed very little emotion; his or her affect was mostly flat.","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1733_p","Integer","","Recommended","dbo.GetDynamicQuestion('2.4.17.Q1')","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1732_p","Integer","","Recommended","Mark off all the things that are currently true of your child.Other bizarre or unusual behavior (specify)","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1731_p","Integer","","Recommended","Mark off all the things that are currently true of your child.My child often sits still in a stupor, as if he or she were frozen.","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1691_p","Integer","","Recommended","In the past when your child's mind was playing tricks on him or her, did this happen only at night, or when your child was just waking up or falling asleep?","0;1","0=No; 1=Yes",""
"ksads_psychosis_raw_1729_p","Integer","","Recommended","Mark off all the things that are currently true of your child.My child's speech and thoughts are illogical.","0;1","0=No; 1=Yes",""
