"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_sleepprob_raw_814_t","Integer","","Recommended","In the past two weeks, how often did you have trouble falling asleep or staying asleep when you were tired and wanted to sleep?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_sleepprob_raw_816_t","Integer","","Recommended","Was there ever a time, for two weeks or longer, that you had trouble falling asleep or staying asleep when you were tired and wanted to sleep?","0;1","0=No; 1=Yes",""
"ksads_sleepprob_raw_817_t","Integer","","Recommended","Was there ever another time, for two weeks or longer, that you had trouble falling asleep or staying asleep when you were tired and wanted to sleep?","0;1","0=No; 1=Yes",""
"ksads_sleepprob_raw_815_t","String","60","Recommended","When did this begin?","","",""
"ksads_sleepprob_raw_818_t","String","60","Recommended","When was that? If this was true of you more than once, let me know when it was the worst.","","",""
