"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"smarte_ss_mdf_regroup_to","String","30","Recommended","Number timeout for regroup items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_challenge_err","String","30","Recommended","Number error for challenge items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_challenge_nt","String","30","Recommended","Attempted items for challenge items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_challenge_rt","String","30","Recommended","(Correct) response times for challenge items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_challenge_to","String","30","Recommended","Number timeout for challenge items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_noregroup_acc","String","30","Recommended","Proportion of accuracy for no-regroup items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_noregroup_corr","String","30","Recommended","Number correct for no-regroup items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_noregroup_err","String","30","Recommended","Number error for no-regroup items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_noregroup_nt","String","30","Recommended","Attempted items for no-regroup items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_noregroup_rt","String","30","Recommended","(Correct) response times for no-regroup items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_noregroup_to","String","30","Recommended","Number timeout for no-regroup items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_regroup_acc","String","30","Recommended","Proportion of accuracy for regroup items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_regroup_corr","String","30","Recommended","Number correct for regroup items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_regroup_err","String","30","Recommended","Number error for regroup items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_regroup_nt","String","30","Recommended","Attempted items for regroup items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_regroup_rt","String","30","Recommended","(Correct) response times for regroup items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_challenge_corr","String","30","Recommended","Number correct for challenge items in the mixed-digit arithmetic task","","",""
"smarte_ss_mdf_total_corr","String","30","Recommended","Total number correct for the mixed-digit arithmetic task (SMARTE mixed-digit arithmetic subscore)","","",""
"smarte_ss_sdf_norule_acc","String","30","Recommended","Proportion of accuracy for no-rule items in the single-digit arithmetic task","","",""
"smarte_ss_sdf_norule_corr","String","30","Recommended","Number correct for no-rule items in the single-digit arithmetic task","","",""
"smarte_ss_sdf_norule_err","String","30","Recommended","Number error for no-rule items in the single-digit arithmetic task","","",""
"smarte_ss_sdf_norule_nt","String","30","Recommended","Attempted items for no-rule items in the single-digit arithmetic task","","",""
"smarte_ss_sdf_norule_rt","String","30","Recommended","(Correct) response times for no-rule items in the single-digit arithmetic task","","",""
"smarte_ss_sdf_norule_to","String","30","Recommended","Number timeout for no-rule items in the single-digit arithmetic task","","",""
"smarte_ss_sdf_rule_acc","String","30","Recommended","Proportion of accuracy for rule items in the single-digit arithmetic task","","",""
"smarte_ss_sdf_rule_corr","String","30","Recommended","Number correct for rule items in the single-digit arithmetic task","","",""
"smarte_ss_sdf_rule_err","String","30","Recommended","Number error for rule items in the single-digit arithmetic task","","",""
"smarte_ss_sdf_rule_nt","String","30","Recommended","Attempted items for rule items in the single-digit arithmetic task","","",""
"smarte_ss_sdf_rule_rt","String","30","Recommended","(Correct) response times for rule items in the single-digit arithmetic task","","",""
"smarte_ss_sdf_rule_to","String","30","Recommended","Number timeout for rule items in the single-digit arithmetic task","","",""
"smarte_ss_sdf_total_corr","String","30","Recommended","Total number correct for the single-digit arithmetic task (SMARTE single-digit subscore)","","",""
"smarte_ss_mdf_challenge_acc","String","30","Recommended","Proportion of accuracy for challenge items in the mixed-digit arithmetic task","","",""
"smarte_ss_all_total_corr","String","30","Recommended","Total number correct across all three SMARTE subscores (SMARTE total score)","","",""
"smarte_ss_completedenumeration","String","30","Recommended","Was the dot enumeration task completed? (Exclude if not 1)","0;1","0=Not completed; 1=Completed","smarte_ss_completed_enumeration"
"smarte_ss_completed_fluency","String","30","Recommended","Was the single-digit arithmetic task completed? (Exclude if not 1)","0;1","0=Not completed; 1=Completed",""
"smarte_ss_completed_recall","String","30","Recommended","Was the mixed-digit arithmetic task completed? (Exclude if not 1)","0;1","0=Not completed; 1=Completed",""
"smarte_ss_dot_1to4subit_acc","String","30","Recommended","Proportion of accuracy for 1-4 dots arrays in the enumeration task","","",""
"smarte_ss_dot_1to4subit_corr","String","30","Recommended","Number correct for 1-4 dots arrays in the enumeration task","","",""
"smarte_ss_dot_1to4subit_err","String","30","Recommended","Number error for 1-4 dots arrays in the enumeration task","","",""
"smarte_ss_dot_1to4subit_nt","String","30","Recommended","Attempted items for 1-4 dots arrays in the enumeration task","","",""
"smarte_ss_dot_1to4subit_rt","String","30","Recommended","(Correct) response times for 1-4 dots arrays in the enumeration task","","",""
"smarte_ss_dot_1to4subit_to","String","30","Recommended","Number timeout for 1-4 dots arrays in the enumeration task","","",""
"smarte_ss_dot_6to9group_acc","String","30","Recommended","Proportion of accuracy for grouped 6-9 dots arrays in the enumeration task","","",""
"smarte_ss_dot_6to9group_corr","String","30","Recommended","Number correct for grouped 6-9 dots arrays in the enumeration task","","",""
"smarte_ss_dot_6to9group_nt","String","30","Recommended","Attempted items for grouped 6-9 dots arrays in the enumeration task","","",""
"smarte_ss_dot_total_corr","String","30","Recommended","Total number correct for the enumeration task (SMARTE ennumeration subscore)","","",""
"smarte_ss_dot_6to9nogroup_to","String","30","Recommended","Number timeout for random 6-9 dots arrays in the enumeration task","","",""
"smarte_ss_dot_6to9nogroup_rt","String","30","Recommended","(Correct) response times for random 6-9 dots arrays in the enumeration task","","",""
"smarte_ss_dot_6to9nogroup_nt","String","30","Recommended","Attempted items for random 6-9 dots arrays in the enumeration task","","",""
"smarte_ss_dot_6to9nogroup_err","String","30","Recommended","Number error for random 6-9 dots arrays in the enumeration task","","",""
"smarte_ss_dot_6to9nogroup_corr","String","30","Recommended","Number correct for random 6-9 dots arrays in the enumeration task","","",""
"smarte_ss_dot_6to9nogroup_acc","String","30","Recommended","Proportion of accuracy for random 6-9 dots arrays in the enumeration task","","",""
"smarte_ss_dot_6to9group_to","String","30","Recommended","Number timeout for grouped 6-9 dots arrays in the enumeration task","","",""
"smarte_ss_dot_6to9group_rt","String","30","Recommended","(Correct) response times for grouped 6-9 dots arrays in the enumeration task","","",""
"smarte_ss_dot_6to9group_err","String","30","Recommended","Number error for grouped 6-9 dots arrays in the enumeration task","","",""
