"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","","Visit name","","","eventname"
"hormone_sal_sex","Integer","","Recommended","","Hormone saliva sample tube cap color:","1::9","1=Pink/Purple (female) ; 2=Blue (male) ; 3=Participant unable to complete ; 4=Participant/Parent refused ; 6=Institution not authorized to collect samples due to COVID ; 7=Staff discomfort due to COVID ; 8=Exceed 15min of < 6ft distance from youth (COVID) ; 9=Not approved by ABCD for collection ; 5=Not collected (other)","biospec_hormone_sal_sex"
"hormone_sal_wake_y","String","30","Recommended"," hormone_sal_sex   == 1 ||  hormone_sal_sex   == 2","What time did you wake up today?","","","biospec_hormone_sal_wake"
"hormone_sal_caff_y","Integer","","Recommended"," hormone_sal_sex   == 1 ||  hormone_sal_sex   == 2","Have you had any caffeine in the last 12 hours?","0 ; 1","1 = Yes; 0 = No","biospec_hormone_sal_caff"
"hormone_sal_caff_mg_y","String","30","Recommended"," hormone_sal_caff_y  ==1","How many drinks (mg) did you have?

 RA: Please use the following link to determine total miligrams per serving size and open the link in new window: caffeine chart","","record drinks as total miligrams (use 'caffeine chart' link)","biospec_hormone_sal_caff_mg"
"hormone_sal_active","Integer","","Recommended"," hormone_sal_sex   == 1 ||  hormone_sal_sex   == 2","In the last 12 hours, did you exercise vigorously (sweating, breathing hard) for at least 20 minutes?","0 ; 1","1 = Yes; 0 = No","biospec_hormone_sal_active"
"hormone_sal_active_minutes_y","String","30","Recommended"," hormone_sal_active   == 1","For how long did you exercise?","","record time as minutes, minimum is approx 20 minutes","biospec_hormone_sal_active_minutes"
"hormone_sal_start_y","String","30","Recommended"," hormone_sal_sex   == 1 ||  hormone_sal_sex   == 2","Hormone saliva sample time collection started?","","","biospec_hormone_sal_start"
"hormone_sal_end_y","String","30","Recommended"," hormone_sal_sex   == 1 ||  hormone_sal_sex   == 2","Hormone saliva sample time collection finished?","","","biospec_hormone_sal_end"
"hormone_sal_bc_y","String","30","Recommended"," hormone_sal_sex   == 1 ||  hormone_sal_sex   == 2","Hormone saliva barcode:","","Use the Barcode Scanner - do NOT type barcode label","biospec_hormone_sal_bc"
"hormons_sal_freeztemp_y","Integer","","Recommended"," hormone_sal_sex   == 1 ||  hormone_sal_sex   == 2","Hormone sample storage temperature:","1 ; 2","1 = -20 C freezer; 2 = -80 C freezer | Indicate temperature of 3-month storage freezer here.","biospec_hormons_sal_freeztemp"
"hormone_sal_freezer_y","String","30","Recommended"," hormone_sal_sex   == 1 ||  hormone_sal_sex   == 2","Time sample moved to freezer:","","","biospec_hormone_sal_freezer"
"hormon_sal_notes_y___1","Integer","","Recommended"," hormone_sal_sex   == 1 ||  hormone_sal_sex   == 2","Note any concerns about sample (all that apply) (1, None)","0 ; 1","0 = No; 1 = Yes","biospec_hormon_sal_notes___1"
"hormon_sal_notes_y___2","Integer","","Recommended"," hormone_sal_sex   == 1 ||  hormone_sal_sex   == 2","Note any concerns about sample (all that apply) ( 2, Contaminated)","0 ; 1","0 = No; 1 = Yes","biospec_hormon_sal_notes___2"
"hormon_sal_notes_y___3","Integer","","Recommended"," hormone_sal_sex   == 1 ||  hormone_sal_sex   == 2","Note any concerns about sample (all that apply) ( 3, Discoloration)","0 ; 1","0 = No; 1 = Yes","biospec_hormon_sal_notes___3"
"hormon_sal_notes_y___4","Integer","","Recommended"," hormone_sal_sex   == 1 ||  hormone_sal_sex   == 2","Note any concerns about sample (all that apply) ( 4, Excessive bubbles)","0 ; 1","0 = No; 1 = Yes","biospec_hormon_sal_notes___4"
"hormon_sal_notes_y___5","Integer","","Recommended"," hormone_sal_sex   == 1 ||  hormone_sal_sex   == 2","Note any concerns about sample (all that apply) ( 5, Very little saliva provided)","0 ; 1","0 = No; 1 = Yes","biospec_hormon_sal_notes___5"
"hormon_sal_notes_y___6","Integer","","Recommended"," hormone_sal_sex   == 1 ||  hormone_sal_sex   == 2","Note any concerns about sample (all that apply) ( 6, Other)","0 ; 1","0 = No; 1 = Yes","biospec_hormon_sal_notes___6"
