"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"sai_yr3_lmusic_hrs_base_p","Integer","","Recommended","When your child was 9 or 10 years old, about how many hours per week did your child spend listening to music on their own in their free time?","0::12;999","0=Less than 1 hour; 1=1 hours or more but less than 2 hours ; 2=2 hours or more but less than 3 hours ; 3=3 hours or more but less than 4 hours ; 4=4 hours or more but less than 5 hours ; 5=5 hours or more but less than 6 hours ; 6=6 hours or more but less than 8 hours ; 7=8 hours or more but less than 12 hours ; 8=12 hours or more but less than 18 hours; 9=18 hours or more but less than 24 hours ; 10=24 hours or more but less than 36 hours ; 11=36 hours or more but less than 72 hours ; 12=More than 72 hours ; 999=Don't know",""
"sai_yr3_lmusic_p","Integer","","Recommended","Does your child listen to music on their own in their free time?","0;1","1=Yes; 0=No",""
"sai_yr3_lmusic_hrs_p12_p","Integer","","Recommended","In the past year, about how many hours per week did your child spend listening to music on their own in their free time?","0::12;999","0=Less than 1 hour; 1=1 hours or more, but less than 2 hours ; 2=2 hours or more, but less than 3 hours ; 3=3 hours or more, but less than 4 hours ; 4=4 hours or more, but less than 5 hours ; 5=5 hours or more, but less than 6 hours ; 6=6 hours or more, but less than 8 hours ; 7=8 hours or more, but less than 12 hours ; 8=12 hours or more, but less than 18 hours; 9=18 hours or more, but less than 24 hours ; 10=24 hours or more, but less than 36 hours ; 11=36 hours or more, but less than 72 hours ; 12=More than 72 hours ; 999=Don't know",""
"sai_yr3_lmusic_yrs_p","Integer","","Recommended","For how many years has your child listened to music on their own in their free time?","1::12;999","1=1 year ; 2=2 years ; 3=3 years ; 4=4 years ; 5=5 years ; 6=6 years ; 7=7 years ; 8=8 years ; 9=9 years ; 10=10 years ; 11=11 years ; 12=Greater than 11 years ; 999=Don't know",""
"sai_yr3_p_select_language___1","Integer","","Recommended","¿Espanol?","0;1","0=No ; 1=Yes",""
"sai_yr3_read_hrs_base_p","Integer","","Recommended","When your child was 9 or 10 years old , about how many hours per week did your child spend reading on their own in their free time?","0::12;999","0=Less than 1 hour; 1=1 hours or more but less than 2 hours ; 2=2 hours or more but less than 3 hours ; 3=3 hours or more but less than 4 hours ; 4=4 hours or more but less than 5 hours ; 5=5 hours or more but less than 6 hours ; 6=6 hours or more but less than 8 hours ; 7=8 hours or more but less than 12 hours ; 8=12 hours or more but less than 18 hours; 9=18 hours or more but less than 24 hours ; 10=24 hours or more but less than 36 hours ; 11=36 hours or more but less than 72 hours ; 12=More than 72 hours ; 999=Don't know",""
"sai_yr3_read_p","Integer","","Recommended","Does your child read on their own in their free time?","0;1","1=Yes; 0=No",""
"sai_yr3_read_hrs_p12_p","Integer","","Recommended","In the past year, about how many hours per week did your child spend reading on their own in their free time?","0::12;999","0=Less than 1 hour; 1=1 hours or more but less than 2 hours ; 2=2 hours or more but less than 3 hours ; 3=3 hours or more but less than 4 hours ; 4=4 hours or more but less than 5 hours ; 5=5 hours or more but less than 6 hours ; 6=6 hours or more but less than 8 hours ; 7=8 hours or more but less than 12 hours ; 8=12 hours or more but less than 18 hours; 9=18 hours or more but less than 24 hours ; 10=24 hours or more but less than 36 hours ; 11=36 hours or more but less than 72 hours ; 12=More than 72 hours ; 999=Don't know",""
"sai_yr3_read_yrs_p","Integer","","Recommended","For how many years has your child read on their own in their free time?","1::12;999","1=1 year ; 2=2 years ; 3=3 years ; 4=4 years ; 5=5 years ; 6=6 years ; 7=7 years ; 8=8 years ; 9=9 years ; 10=10 years ; 11=11 years ; 12=Greater than 11 years ; 999=Don't know",""
