"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","Visit name","","","eventname"
"school_2_y","Integer","","Recommended","In my school, students have lots of chances to help decide things like class activities and rules.","1::4","1 = NO!; 2 = no; 3 = yes; 4 = YES! //Mark (the BIG) YES! if you think the statement is definitely true for you. Mark (the little) yes if you think the statement is mostly true for you. Mark (the little) no if you think the statement is mostly not true for you. Mark (the BIG) NO! if you think the statement is definitely not true for you","school_risk_phenx_2"
"school_3_y","Integer","","Recommended","I get along with my teachers.","1::4","1 = NO!; 2 = no; 3 = yes; 4 = YES! //Mark (the BIG) YES! if you think the statement is definitely true for you. Mark (the little) yes if you think the statement is mostly true for you. Mark (the little) no if you think the statement is mostly not true for you. Mark (the BIG) NO! if you think the statement is definitely not true for you","school_risk_phenx_3"
"school_4_y","Integer","","Recommended","My teacher(s) notices when I am doing a good job and lets me know about it.","1::4","1 = NO!; 2 = no; 3 = yes; 4 = YES! //Mark (the BIG) YES! if you think the statement is definitely true for you. Mark (the little) yes if you think the statement is mostly true for you. Mark (the little) no if you think the statement is mostly not true for you. Mark (the BIG) NO! if you think the statement is definitely not true for you","school_risk_phenx_4"
"school_5_y","Integer","","Recommended","There are lots of chances for students in my school to get involved in sports, clubs, or other school activities outside of class.","1::4","1 = NO!; 2 = no; 3 = yes; 4 = YES! //Mark (the BIG) YES! if you think the statement is definitely true for you. Mark (the little) yes if you think the statement is mostly true for you. Mark (the little) no if you think the statement is mostly not true for you. Mark (the BIG) NO! if you think the statement is definitely not true for you","school_risk_phenx_5"
"school_6_y","Integer","","Recommended","I feel safe at my school.","1::4","1 = NO!; 2 = no; 3 = yes; 4 = YES! //Mark (the BIG) YES! if you think the statement is definitely true for you. Mark (the little) yes if you think the statement is mostly true for you. Mark (the little) no if you think the statement is mostly not true for you. Mark (the BIG) NO! if you think the statement is definitely not true for you","school_risk_phenx_6"
"school_7_y","Integer","","Recommended","The school lets my parents know when I have done something well.","1::4","1 = NO!; 2 = no; 3 = yes; 4 = YES! //Mark (the BIG) YES! if you think the statement is definitely true for you. Mark (the little) yes if you think the statement is mostly true for you. Mark (the little) no if you think the statement is mostly not true for you. Mark (the BIG) NO! if you think the statement is definitely not true for you","school_risk_phenx_7"
"school_8_y","Integer","","Recommended","I like school because I do well in class.","1::4","1 = NO!; 2 = no; 3 = yes; 4 = YES! //Mark (the BIG) YES! if you think the statement is definitely true for you. Mark (the little) yes if you think the statement is mostly true for you. Mark (the little) no if you think the statement is mostly not true for you. Mark (the BIG) NO! if you think the statement is definitely not true for you","school_risk_phenx_8"
"school_9_y","Integer","","Recommended","I feel I'm just as smart as other kids my age.","1::4","1 = NO!; 2 = no; 3 = yes; 4 = YES! //Mark (the BIG) YES! if you think the statement is definitely true for you. Mark (the little) yes if you think the statement is mostly true for you. Mark (the little) no if you think the statement is mostly not true for you. Mark (the BIG) NO! if you think the statement is definitely not true for you","school_risk_phenx_9"
"school_10_y","Integer","","Recommended","There are lots of chances to be part of class discussions or activities.","1::4","1 = NO!; 2 = no; 3 = yes; 4 = YES! //Mark (the BIG) YES! if you think the statement is definitely true for you. Mark (the little) yes if you think the statement is mostly true for you. Mark (the little) no if you think the statement is mostly not true for you. Mark (the BIG) NO! if you think the statement is definitely not true for you","school_risk_phenx_10"
"school_12_y","Integer","","Recommended","In general, I like school a lot.","1::4","1 = NO!; 2 = no; 3 = yes; 4 = YES! //Mark (the BIG) YES! if you think the statement is definitely true for you. Mark (the little) yes if you think the statement is mostly true for you. Mark (the little) no if you think the statement is mostly not true for you. Mark (the BIG) NO! if you think the statement is definitely not true for you","school_risk_phenx_12"
"school_15_y","Integer","","Recommended","Usually, school bores me.","1::4","1 = NO!; 2 = no; 3 = yes; 4 = YES! //Mark (the BIG) YES! if you think the statement is definitely true for you. Mark (the little) yes if you think the statement is mostly true for you. Mark (the little) no if you think the statement is mostly not true for you. Mark (the BIG) NO! if you think the statement is definitely not true for you","school_risk_phenx_15"
"school_17_y","Integer","","Recommended","Getting good grades is not so important to me.","1::4","1 = NO!; 2 = no; 3 = yes; 4 = YES! //Mark (the BIG) YES! if you think the statement is definitely true for you. Mark (the little) yes if you think the statement is mostly true for you. Mark (the little) no if you think the statement is mostly not true for you. Mark (the BIG) NO! if you think the statement is definitely not true for you","school_risk_phenx_17"
"school_admin","Integer","","Recommended","Please indicate how instrument was administered:","1::3","1=RA-Administered ; 2=Youth Self-Administered ; 3=Combination [event_name_number] > '21'",""
"school_device","Integer","","Recommended","Youth's Device:","1::3","1=Phone Screen ; 2=Tablet/iPad Screen ; 3=Computer Screen  [school_remote(2)] = ''1'' or [school_remote(3)] = ''1''",""
