"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"vancouver_admin","Integer","","Recommended","Please indicate how instrument was administered:","1::3","1=RA-Administered ; 2=Youth Self-Administered ; 3=Combination [event_name_number] > '21'",""
"vancouver_q1_dd","Integer","","Recommended","Your heritage culture (other than  American) is:","0::96","0=None ; 1=African ; 2=African-American, Black ; 3=Afro-Caribbean ; 4=Arabian ; 5=Argentinian ; 6=Armenian ; 7=Asian ; 8=Australian ; 9=Austrian ; 10=Belgian ; 11=Biracial or Multiracial ; 12=Brazilian ; 13=British ; 14=Cambodian ; 15=Canadian ; 16=Caribbean ; 17=Catholic ; 18=Celtic ; 19=Central-American ; 20=Chagga ; 22=Chinese ; 23=Christian ; 24=Colombian ; 25=Creole ; 26=Croatian ; 27=Cuban ; 28=Czech ; 29=Dominican ; 30=Dutch Danes ; 31=Eastern European ; 32=Eastern Orthodox Christian ; 33=Ecuadorian ; 34=English ; 35=European ; 36=Filipino ; 37=Finnish ; 38=French ; 39=French Canadian ; 40=Fundamentalist ; 41=German ; 42=Greek ; 43=Guatemalan ; 44=Haitian ; 45=Hawaiian ; 46=Hispanic ; 47=Honduran ; 48=Hungarian ; 49=Indian, Asian Indian ; 50=Indonesian ; 51=Irish ; 52=Israeli ; 53=Italian ; 54=Jamaican ; 55=Japanese ; 56=Jewish ; 57=Korean ; 58=Latin ; 59=Latter-day Saint (LDS) ; 60=Lebanese ; 61=Lithuanian ; 62=Mexican ; 63=Middle-Eastern ; 64=Midwesterner ; 65=Moroccan ; 66=Muslim ; 67=Native American, American Indian ; 68=Nicaraguan ; 69=Northern European ; 70=Norwegian ; 71=Pacific Islander ; 72=Pentecostal ; 73=Persian ; 74=Peruvian ; 75=Polish ; 76=Protestant ; 77=Puerto-Rican ; 78=Romanian ; 79=Russian ; 80=Salvadorian ; 81=Scandinavian ; 82=Scottish ; 83=Slovak ; 84=South American ; 85=Southerner ; 86=Swedish ; 87=Swiss ; 88=Taiwanese ; 89=Thai ; 90=Turkish ; 91=Venezuelan ; 92=Vietnamese ; 93=Welsh ; 94=West Indian ; 95=Western European ; 96=Other",""
"vancouver_q1_other","String","200","Recommended","Your ""other"" heritage culture is:","","",""
"vancouver_q2","Integer","","Recommended","I often participate in my heritage cultural traditions.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q3","Integer","","Recommended","I often participate in mainstream American cultural traditions.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q4","Integer","","Recommended","I enjoy social activities with people from the same heritage culture as myself.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q6","Integer","","Recommended","I am comfortable interacting with people of the same heritage culture as myself.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q7","Integer","","Recommended","I am comfortable interacting with typical American people.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q8","Integer","","Recommended","I enjoy entertainment (e.g. movies, music) from my heritage culture.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q9","Integer","","Recommended","I enjoy typical American entertainment (e.g. movies, music).","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q10","Integer","","Recommended","I often behave in ways that are typical of my heritage culture.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q11","Integer","","Recommended","I often behave in ways that are typically American.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q12","Integer","","Recommended","It is important for me to maintain or develop the practices of my heritage culture.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q13","Integer","","Recommended","It is important for me to maintain or develop American mainstream cultural practices.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q14","Integer","","Recommended","I believe in the values of my heritage culture.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q15","Integer","","Recommended","I believe in mainstream American values.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q16","Integer","","Recommended","I am interested in having friends from my heritage culture.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q17","Integer","","Recommended","I am interested in having typical American friends.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
"vancouver_q5","Integer","","Recommended","I enjoy social activities with typical American people.","1::9","1=Disagree ; 2=2 ; 3=3 ; 4=4 ; 5=5 ; 6=6 ; 7=7 ; 8=8 ; 9=Agree [vancouver_q1_dd] > '0'",""
